mistral_t0,qwen_t0,qwen_low,class_orig
0.0,0.0,0.0,0.0
0.8181818181818182,-0.0909090909090909,-0.0909090909090909,0.0
0.7241379310344828,-0.0344827586206896,-0.0344827586206896,0.0
0.625,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.9166666666666666,0.25,0.25,-0.0833333333333333
0.6666666666666666,0.0,0.0,-0.1111111111111111
0.6666666666666666,0.037037037037037,0.037037037037037,0.0
0.375,0.0625,0.0625,0.0
0.6944444444444444,-0.0555555555555555,-0.0555555555555555,0.0277777777777777
0.6176470588235294,-0.088235294117647,-0.088235294117647,-0.0294117647058823
0.782608695652174,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0
0.6666666666666666,0.0,0.0,0.0
0.5517241379310345,0.0344827586206896,0.0344827586206896,0.0344827586206896
0.9523809523809524,-0.0952380952380952,-0.0952380952380952,0.0
0.717948717948718,-0.1794871794871795,-0.0769230769230769,-0.0256410256410256
0.8918918918918919,-0.054054054054054,-0.054054054054054,-0.027027027027027
0.625,0.125,0.125,0.0
0.6923076923076923,-0.0769230769230769,-0.0769230769230769,0.0
0.6571428571428571,0.0285714285714285,0.0285714285714285,-0.0285714285714285
0.6923076923076923,0.0769230769230769,0.0769230769230769,0.0
0.6176470588235294,0.1176470588235294,0.088235294117647,0.0294117647058823
0.6764705882352942,-0.1176470588235294,-0.1176470588235294,0.0
0.8260869565217391,0.0869565217391304,0.0869565217391304,0.0
0.5652173913043478,-0.0869565217391304,-0.0869565217391304,0.0434782608695652
0.6153846153846154,-0.3461538461538461,-0.3461538461538461,0.0769230769230769
0.4186046511627907,-0.1162790697674418,-0.1162790697674418,0.0
0.4,-0.1428571428571428,-0.1428571428571428,0.0571428571428571
0.75,-0.078125,-0.078125,0.0
0.7037037037037037,-0.074074074074074,-0.074074074074074,0.0
0.4772727272727273,-0.0227272727272727,-0.0227272727272727,0.0227272727272727
0.5245901639344263,0.0491803278688524,0.0491803278688524,-0.0163934426229508
0.6,-0.15,-0.15,0.05
0.65,0.0,0.0,0.0
0.7169811320754716,-0.0943396226415094,-0.0943396226415094,-0.0188679245283018
0.6097560975609756,-0.073170731707317,-0.073170731707317,0.0
0.5555555555555556,-0.037037037037037,-0.037037037037037,0.037037037037037
0.631578947368421,-0.3684210526315789,-0.3684210526315789,0.1052631578947368
0.6792452830188679,-0.0943396226415094,-0.0943396226415094,-0.0377358490566037
0.7391304347826086,0.0869565217391304,0.0869565217391304,-0.0869565217391304
0.7528089887640449,-0.247191011235955,-0.247191011235955,0.0224719101123595
0.717948717948718,-0.1025641025641025,-0.1025641025641025,0.0256410256410256
0.8125,-0.0625,-0.0625,0.125
0.4166666666666667,-0.2083333333333333,-0.2083333333333333,-0.0416666666666666
