dropout_bin,mean,std,min,count
0.10-0.20,0.006391522940248251,0.0017390207688390384,0.004090632777661085,4
0.20-0.30,0.006904009205754846,0.0038403625482209317,0.003816374810412526,12
0.30-0.40,0.0066439252140996765,0.013558434209493268,0.002583384048193693,43
0.40-0.50,0.005769966999650933,0.007089048467462192,0.0025447141379117966,16
