number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.009570503607392311,2026-08-06 00:30:37.891981,2026-08-06 00:30:45.804360,0 days 00:00:07.912379,8,0.2509703020233287,8,0.00014520155189190646,Adam,16,150,COMPLETE
1,0.007014768198132515,2026-08-06 00:30:45.805127,2026-08-06 00:30:50.894800,0 days 00:00:05.089673,8,0.3526745731501828,8,0.0008648043703904447,Adam,8,95,COMPLETE
2,0.011027876287698746,2026-08-06 00:30:50.895148,2026-08-06 00:30:54.595626,0 days 00:00:03.700478,16,0.2963771821952044,4,0.0006862568133780853,Adam,16,119,COMPLETE
3,0.010481682606041431,2026-08-06 00:30:54.596006,2026-08-06 00:30:57.386496,0 days 00:00:02.790490,8,0.2638184021706647,8,0.00028220687860982456,Adam,32,42,COMPLETE
4,0.042690083384513855,2026-08-06 00:30:57.386872,2026-08-06 00:31:03.134990,0 days 00:00:05.748118,8,0.19471303603506798,4,0.00021408114375828774,Adam,8,150,COMPLETE
5,0.012532198801636696,2026-08-06 00:31:03.135364,2026-08-06 00:31:07.439643,0 days 00:00:04.304279,8,0.2919299145166672,8,0.00030569778761589325,RMSprop,16,80,COMPLETE
6,0.026311643421649933,2026-08-06 00:31:07.440037,2026-08-06 00:31:13.512949,0 days 00:00:06.072912,16,0.25594788389573364,13,0.0001354196878576977,Adam,8,150,COMPLETE
7,0.009089600294828415,2026-08-06 00:31:13.513315,2026-08-06 00:31:18.792445,0 days 00:00:05.279130,16,0.24163526698595952,8,0.00037338102438485204,Adam,8,150,COMPLETE
8,0.009090986102819443,2026-08-06 00:31:18.792807,2026-08-06 00:31:24.751637,0 days 00:00:05.958830,16,0.3873432974294536,13,0.0002814243002870925,RMSprop,8,150,COMPLETE
9,0.009422226808965206,2026-08-06 00:31:24.752008,2026-08-06 00:31:26.531220,0 days 00:00:01.779212,8,0.1942873657868763,4,0.0005663496265918304,RMSprop,32,32,COMPLETE
10,0.0066148024052381516,2026-08-06 00:31:26.531645,2026-08-06 00:31:29.286145,0 days 00:00:02.754500,8,0.44887401859580073,8,0.0009830781096937461,RMSprop,8,40,COMPLETE
11,0.00870661623775959,2026-08-06 00:31:29.286553,2026-08-06 00:31:32.309096,0 days 00:00:03.022543,8,0.4460906399341654,8,0.0009466697205848095,RMSprop,8,48,COMPLETE
12,0.0052452608942985535,2026-08-06 00:31:32.309478,2026-08-06 00:31:34.567010,0 days 00:00:02.257532,8,0.3671137357765766,8,0.0009616656020248319,RMSprop,8,36,COMPLETE
13,0.005486742593348026,2026-08-06 00:31:34.567374,2026-08-06 00:31:38.989596,0 days 00:00:04.422222,8,0.4449351090857091,8,0.0005343117358017023,RMSprop,8,86,COMPLETE
14,0.006530298851430416,2026-08-06 00:31:38.990018,2026-08-06 00:31:41.930612,0 days 00:00:02.940594,8,0.3760272292720648,8,0.0005137408196139233,RMSprop,8,42,COMPLETE
15,0.009491642005741596,2026-08-06 00:31:41.931388,2026-08-06 00:31:45.145710,0 days 00:00:03.214322,8,0.13036990520404418,13,0.000493680141770365,RMSprop,32,41,COMPLETE
16,0.007116608787328005,2026-08-06 00:31:45.146103,2026-08-06 00:31:49.259205,0 days 00:00:04.113102,8,0.4054621896308246,8,0.0006791333491040501,RMSprop,8,71,COMPLETE
17,0.006968272849917412,2026-08-06 00:31:49.259643,2026-08-06 00:31:52.259015,0 days 00:00:02.999372,8,0.33436716246310966,8,0.000690278022370163,RMSprop,8,44,COMPLETE
18,0.011838359758257866,2026-08-06 00:31:52.259393,2026-08-06 00:31:57.884947,0 days 00:00:05.625554,16,0.42519851013703625,13,0.00040890001567000004,RMSprop,16,134,COMPLETE
19,0.00953295174986124,2026-08-06 00:31:57.885327,2026-08-06 00:32:00.852353,0 days 00:00:02.967026,8,0.33072670635972445,4,0.0007810388734227216,RMSprop,32,68,COMPLETE
20,0.011308139190077782,2026-08-06 00:32:00.852714,2026-08-06 00:32:08.233726,0 days 00:00:07.381012,8,0.364447490706869,8,0.000184967101405583,RMSprop,8,150,COMPLETE
21,0.006304900161921978,2026-08-06 00:32:08.234100,2026-08-06 00:32:10.970689,0 days 00:00:02.736589,8,0.401200984371039,8,0.0005411449380559994,RMSprop,8,46,COMPLETE
22,0.006113291718065739,2026-08-06 00:32:10.971045,2026-08-06 00:32:16.392254,0 days 00:00:05.421209,8,0.4076015892339486,8,0.00044434474558682427,RMSprop,8,109,COMPLETE
23,0.005008303560316563,2026-08-06 00:32:16.392651,2026-08-06 00:32:21.519510,0 days 00:00:05.126859,8,0.4290635523024692,8,0.0004034463074553151,RMSprop,8,102,COMPLETE
24,0.008849973790347576,2026-08-06 00:32:21.519863,2026-08-06 00:32:26.301028,0 days 00:00:04.781165,8,0.43170372529681245,8,0.00036265987308241847,RMSprop,8,93,COMPLETE
25,0.009182787500321865,2026-08-06 00:32:26.301426,2026-08-06 00:32:30.437702,0 days 00:00:04.136276,8,0.32730622622914296,8,0.00022524176306268508,RMSprop,8,79,COMPLETE
26,0.005174952559173107,2026-08-06 00:32:30.438055,2026-08-06 00:32:33.443458,0 days 00:00:03.005403,16,0.4180943285969445,8,0.0006306475264123045,RMSprop,8,79,COMPLETE
27,0.0053351218812167645,2026-08-06 00:32:33.443834,2026-08-06 00:32:36.973868,0 days 00:00:03.530034,16,0.41426099713134285,8,0.0006189902400679552,RMSprop,8,97,COMPLETE
28,0.011977273039519787,2026-08-06 00:32:36.974279,2026-08-06 00:32:40.137857,0 days 00:00:03.163578,16,0.38546035729915806,4,0.00010479968644527086,RMSprop,32,102,COMPLETE
29,0.007292678114026785,2026-08-06 00:32:40.138239,2026-08-06 00:32:43.287850,0 days 00:00:03.149611,16,0.3579094653859105,13,0.0007870668162269044,RMSprop,16,69,COMPLETE
