number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.02946009859442711,2026-08-06 01:14:41.603246,2026-08-06 01:14:46.811723,0 days 00:00:05.208477,8,0.30110202120942636,8,0.00012093586789728362,RMSprop,16,113,COMPLETE
1,0.03286949172616005,2026-08-06 01:14:46.812117,2026-08-06 01:14:49.717108,0 days 00:00:02.904991,8,0.10026824864202205,13,0.0002778621403580242,RMSprop,32,34,COMPLETE
2,0.02030229941010475,2026-08-06 01:14:49.717482,2026-08-06 01:14:54.823462,0 days 00:00:05.105980,16,0.4110717383668363,4,0.00042448095797827437,Adam,16,150,COMPLETE
3,0.010076812468469143,2026-08-06 01:14:54.823829,2026-08-06 01:14:57.385969,0 days 00:00:02.562140,16,0.13546565833799243,4,0.0005513874465305064,Adam,32,59,COMPLETE
4,0.013522539287805557,2026-08-06 01:14:57.386399,2026-08-06 01:15:00.814003,0 days 00:00:03.427604,8,0.258103637135619,4,0.0004685681045160548,Adam,16,61,COMPLETE
5,0.015783198177814484,2026-08-06 01:15:00.814375,2026-08-06 01:15:08.641666,0 days 00:00:07.827291,8,0.20823129594564632,13,0.00023670145214987383,RMSprop,16,116,COMPLETE
6,0.032457321882247925,2026-08-06 01:15:08.642040,2026-08-06 01:15:10.969836,0 days 00:00:02.327796,16,0.2572940122327559,4,0.00025961168142987306,RMSprop,32,53,COMPLETE
7,0.019112681970000267,2026-08-06 01:15:10.970315,2026-08-06 01:15:18.044014,0 days 00:00:07.073699,8,0.2822879771698312,8,0.0003886920366016868,Adam,8,150,COMPLETE
8,0.026839086785912514,2026-08-06 01:15:18.045089,2026-08-06 01:15:22.153228,0 days 00:00:04.108139,8,0.10734039047053995,4,0.0003454384024233711,RMSprop,32,72,COMPLETE
9,0.010930429212749004,2026-08-06 01:15:22.153682,2026-08-06 01:15:30.438396,0 days 00:00:08.284714,8,0.4433953138048277,13,0.00037035113556683515,Adam,32,111,COMPLETE
10,0.026346199214458466,2026-08-06 01:15:30.438774,2026-08-06 01:15:32.657924,0 days 00:00:02.219150,16,0.1542687888390707,4,0.0009245384605276004,Adam,8,46,COMPLETE
11,0.005700856447219849,2026-08-06 01:15:32.658294,2026-08-06 01:15:37.242280,0 days 00:00:04.583986,16,0.44678251420239434,13,0.0007027459340114652,Adam,32,89,COMPLETE
12,0.008883423171937466,2026-08-06 01:15:37.242643,2026-08-06 01:15:41.004318,0 days 00:00:03.761675,16,0.3633482183632259,13,0.0007725175435428815,Adam,32,70,COMPLETE
13,0.018032249063253403,2026-08-06 01:15:41.004676,2026-08-06 01:15:42.836242,0 days 00:00:01.831566,16,0.35615551911778026,13,0.0009486186690436419,Adam,32,23,COMPLETE
14,0.011157547123730183,2026-08-06 01:15:42.836693,2026-08-06 01:15:45.689183,0 days 00:00:02.852490,16,0.3626333005945705,13,0.0006667369530700421,Adam,32,48,COMPLETE
15,0.009565860964357853,2026-08-06 01:15:45.689737,2026-08-06 01:15:50.184239,0 days 00:00:04.494502,16,0.3785469977775719,13,0.0006731283554494619,Adam,32,90,COMPLETE
16,0.055328868329524994,2026-08-06 01:15:50.184605,2026-08-06 01:15:56.760476,0 days 00:00:06.575871,16,0.324818809111456,13,0.0001684698079423076,Adam,8,150,COMPLETE
17,0.010815473273396492,2026-08-06 01:15:56.760826,2026-08-06 01:15:58.857702,0 days 00:00:02.096876,16,0.44419365060651805,13,0.0007346906432405257,Adam,32,30,COMPLETE
18,0.0231202132999897,2026-08-06 01:15:58.858340,2026-08-06 01:16:02.058685,0 days 00:00:03.200345,16,0.4022000909807709,8,0.0005432601007471582,Adam,32,82,COMPLETE
19,0.009018631651997566,2026-08-06 01:16:02.059194,2026-08-06 01:16:05.469780,0 days 00:00:03.410586,16,0.3295675037467499,13,0.0008013182826487164,Adam,8,66,COMPLETE
20,0.009970498271286488,2026-08-06 01:16:05.470145,2026-08-06 01:16:09.642184,0 days 00:00:04.172039,16,0.41538873854107367,13,0.000570382444499133,Adam,32,79,COMPLETE
21,0.01876653917133808,2026-08-06 01:16:09.642556,2026-08-06 01:16:16.314105,0 days 00:00:06.671549,16,0.3287362166046286,13,0.000767758413532979,Adam,8,150,COMPLETE
22,0.006821798160672188,2026-08-06 01:16:16.314541,2026-08-06 01:16:21.928742,0 days 00:00:05.614201,16,0.33409230753321384,13,0.0009936914101911277,Adam,8,123,COMPLETE
23,0.011202394030988216,2026-08-06 01:16:21.929181,2026-08-06 01:16:27.533911,0 days 00:00:05.604730,16,0.39689810582383267,13,0.0009959428338941285,Adam,8,125,COMPLETE
24,0.016374729573726654,2026-08-06 01:16:27.534547,2026-08-06 01:16:31.641227,0 days 00:00:04.106680,16,0.22325192586461112,13,0.0008336901389657177,Adam,8,86,COMPLETE
25,0.006687216926366091,2026-08-06 01:16:31.641676,2026-08-06 01:16:35.852421,0 days 00:00:04.210745,16,0.3669040674751296,8,0.0006044564751688536,Adam,8,124,COMPLETE
26,0.008522589690983295,2026-08-06 01:16:35.852834,2026-08-06 01:16:38.908967,0 days 00:00:03.056133,16,0.4459369590676342,8,0.000619378169857658,RMSprop,8,89,COMPLETE
27,0.03299954533576965,2026-08-06 01:16:38.909329,2026-08-06 01:16:40.429280,0 days 00:00:01.519951,16,0.3076192410482643,8,0.0004767015590260427,Adam,8,28,COMPLETE
28,0.008987611159682274,2026-08-06 01:16:40.429657,2026-08-06 01:16:45.270381,0 days 00:00:04.840724,16,0.34707451838894,8,0.0005048898807727036,Adam,8,150,COMPLETE
29,0.11159506440162659,2026-08-06 01:16:45.270775,2026-08-06 01:16:46.486631,0 days 00:00:01.215856,16,0.39124141331783024,8,0.00010751565115814572,RMSprop,16,19,COMPLETE
30,0.007996889762580395,2026-08-06 01:16:46.487014,2026-08-06 01:16:50.405193,0 days 00:00:03.918179,16,0.29615287434447235,8,0.0006313266503073928,Adam,8,116,COMPLETE
31,0.0077284350991249084,2026-08-06 01:16:50.405558,2026-08-06 01:16:55.217546,0 days 00:00:04.811988,16,0.2924199966603973,8,0.0006424052601533302,Adam,8,150,COMPLETE
32,0.014044062234461308,2026-08-06 01:16:55.217927,2026-08-06 01:16:59.279862,0 days 00:00:04.061935,16,0.23131257625023635,8,0.0008956994663638255,Adam,8,122,COMPLETE
33,0.060503698885440826,2026-08-06 01:16:59.280268,2026-08-06 01:17:04.060288,0 days 00:00:04.780020,16,0.3083503668885792,8,0.00018124972980088162,Adam,8,150,COMPLETE
34,0.022881459444761276,2026-08-06 01:17:04.060667,2026-08-06 01:17:08.888353,0 days 00:00:04.827686,16,0.4201191223323866,8,0.0004325559323392171,Adam,8,150,COMPLETE
35,0.014064260758459568,2026-08-06 01:17:08.888751,2026-08-06 01:17:12.806209,0 days 00:00:03.917458,8,0.26944273635469085,8,0.0007097310744013717,Adam,16,78,COMPLETE
36,0.0729331374168396,2026-08-06 01:17:12.806581,2026-08-06 01:17:14.025847,0 days 00:00:01.219266,16,0.3419621653529936,8,0.0008448512688413402,RMSprop,8,20,COMPLETE
37,0.019944816827774048,2026-08-06 01:17:14.026217,2026-08-06 01:17:18.929896,0 days 00:00:04.903679,16,0.36960723733246276,8,0.0005867851403991028,Adam,16,150,COMPLETE
38,0.008704694919288158,2026-08-06 01:17:18.930272,2026-08-06 01:17:23.115415,0 days 00:00:04.185143,8,0.2838552008666837,4,0.00043463423211334616,Adam,8,71,COMPLETE
39,0.04973546788096428,2026-08-06 01:17:23.116070,2026-08-06 01:17:24.640795,0 days 00:00:01.524725,16,0.18875882577464004,13,0.00031532554717680943,RMSprop,8,16,COMPLETE
40,0.018313949927687645,2026-08-06 01:17:24.641199,2026-08-06 01:17:30.437540,0 days 00:00:05.796341,8,0.4254654432937823,4,0.0005070557366366222,Adam,16,117,COMPLETE
41,0.030566321685910225,2026-08-06 01:17:30.437904,2026-08-06 01:17:35.367383,0 days 00:00:04.929479,16,0.24977722002402752,8,0.0006286324371375847,Adam,8,150,COMPLETE
42,0.009777355939149857,2026-08-06 01:17:35.367752,2026-08-06 01:17:37.467958,0 days 00:00:02.100206,16,0.2928175904813666,8,0.0006784119923303207,Adam,8,47,COMPLETE
43,0.02732645906507969,2026-08-06 01:17:37.468347,2026-08-06 01:17:40.940534,0 days 00:00:03.472187,16,0.30858209418205856,8,0.0005699419865899399,Adam,8,98,COMPLETE
44,0.008175122551620007,2026-08-06 01:17:40.940893,2026-08-06 01:17:44.727753,0 days 00:00:03.786860,16,0.2676241106228969,8,0.0009997053142028255,Adam,8,108,COMPLETE
45,0.01424687635153532,2026-08-06 01:17:44.728162,2026-08-06 01:17:48.945982,0 days 00:00:04.217820,16,0.37864648644767074,8,0.0008658783036183855,Adam,8,124,COMPLETE
46,0.02146696113049984,2026-08-06 01:17:48.946418,2026-08-06 01:17:55.065184,0 days 00:00:06.118766,8,0.29174618092190074,13,0.000755636888881766,Adam,8,86,COMPLETE
47,0.02104087546467781,2026-08-06 01:17:55.065568,2026-08-06 01:17:57.209316,0 days 00:00:02.143748,16,0.2436706062663441,4,0.00021623844330152816,RMSprop,32,43,COMPLETE
48,0.010549764148890972,2026-08-06 01:17:57.209692,2026-08-06 01:18:02.188461,0 days 00:00:04.978769,16,0.32228384303258184,8,0.00040023795042751117,Adam,8,150,COMPLETE
49,0.012729941867291927,2026-08-06 01:18:02.189000,2026-08-06 01:18:09.477141,0 days 00:00:07.288141,16,0.34495440555401374,13,0.0003183387822931104,Adam,32,150,COMPLETE
50,0.00955970585346222,2026-08-06 01:18:09.477663,2026-08-06 01:18:12.785144,0 days 00:00:03.307481,16,0.1947748366214731,8,0.0006211368399427399,Adam,8,93,COMPLETE
51,0.016485504806041718,2026-08-06 01:18:12.785544,2026-08-06 01:18:16.942856,0 days 00:00:04.157312,16,0.25700842455564776,8,0.0009822936840362176,Adam,8,124,COMPLETE
52,0.014661921188235283,2026-08-06 01:18:16.943206,2026-08-06 01:18:20.408798,0 days 00:00:03.465592,16,0.27274233227865025,8,0.0009208413506347769,Adam,8,98,COMPLETE
53,0.01615173928439617,2026-08-06 01:18:20.409156,2026-08-06 01:18:23.946038,0 days 00:00:03.536882,16,0.2796310310459893,8,0.0007133772091203249,Adam,8,101,COMPLETE
54,0.014511365443468094,2026-08-06 01:18:23.946447,2026-08-06 01:18:26.845118,0 days 00:00:02.898671,16,0.31587991814661553,13,0.0008006161360593027,Adam,32,47,COMPLETE
55,0.04790942370891571,2026-08-06 01:18:26.845491,2026-08-06 01:18:28.695429,0 days 00:00:01.849938,16,0.2953723775427751,8,0.0005144558769578717,Adam,8,38,COMPLETE
56,0.02071630209684372,2026-08-06 01:18:28.695851,2026-08-06 01:18:35.386737,0 days 00:00:06.690886,16,0.26482732329867115,13,0.0006576201563076256,Adam,8,150,COMPLETE
57,0.009902020916342735,2026-08-06 01:18:35.387140,2026-08-06 01:18:37.838369,0 days 00:00:02.451229,8,0.3840666909617423,8,0.0009119407790579507,Adam,32,38,COMPLETE
58,0.05305544286966324,2026-08-06 01:18:37.838755,2026-08-06 01:18:42.555983,0 days 00:00:04.717228,16,0.3328239295527411,4,0.000998962059764568,Adam,8,135,COMPLETE
59,0.009290117770433426,2026-08-06 01:18:42.556391,2026-08-06 01:18:46.568419,0 days 00:00:04.012028,16,0.35466022641636696,13,0.0008069224518841753,RMSprop,16,86,COMPLETE
60,0.005618596449494362,2026-08-06 01:18:46.568793,2026-08-06 01:18:48.376183,0 days 00:00:01.807390,16,0.40313942152184434,8,0.0007316015219897308,Adam,32,33,COMPLETE
61,0.015984170138835907,2026-08-06 01:18:48.376592,2026-08-06 01:18:51.851858,0 days 00:00:03.475266,16,0.4305691352744753,8,0.0007356445557204516,Adam,32,90,COMPLETE
62,0.009006981737911701,2026-08-06 01:18:51.852210,2026-08-06 01:18:55.776333,0 days 00:00:03.924123,16,0.40605033706462085,8,0.0005975057076607871,Adam,32,108,COMPLETE
63,0.011593719013035297,2026-08-06 01:18:55.776740,2026-08-06 01:18:59.051595,0 days 00:00:03.274855,16,0.3638092002859074,8,0.0005427257938218819,Adam,32,87,COMPLETE
64,0.02643674984574318,2026-08-06 01:18:59.052186,2026-08-06 01:19:00.525799,0 days 00:00:01.473613,16,0.4284163677566345,8,0.0008419402433676741,Adam,32,25,COMPLETE
65,0.032527826726436615,2026-08-06 01:19:00.526199,2026-08-06 01:19:02.712406,0 days 00:00:02.186207,16,0.39460354107061396,13,0.0006627171361044887,Adam,32,32,COMPLETE
66,0.010606490075588226,2026-08-06 01:19:02.712760,2026-08-06 01:19:07.438207,0 days 00:00:04.725447,16,0.4405269985929494,8,0.0007139206648942852,Adam,8,150,COMPLETE
67,0.007961714640259743,2026-08-06 01:19:07.438560,2026-08-06 01:19:11.166270,0 days 00:00:03.727710,16,0.4138247605634317,8,0.0008934661889360642,Adam,8,110,COMPLETE
68,0.008340957574546337,2026-08-06 01:19:11.166687,2026-08-06 01:19:15.418224,0 days 00:00:04.251537,16,0.41504272243187396,13,0.000767747624492766,Adam,32,81,COMPLETE
69,0.009509067982435226,2026-08-06 01:19:15.418618,2026-08-06 01:19:19.715109,0 days 00:00:04.296491,16,0.371038197630678,8,0.0009053055209858628,Adam,8,132,COMPLETE
70,0.012706403620541096,2026-08-06 01:19:19.715485,2026-08-06 01:19:23.882178,0 days 00:00:04.166693,8,0.43591794545848694,8,0.00047973316968574954,RMSprop,8,90,COMPLETE
71,0.0628843605518341,2026-08-06 01:19:23.882553,2026-08-06 01:19:26.970379,0 days 00:00:03.087826,16,0.4083813776005715,8,0.0008747145910610013,Adam,8,72,COMPLETE
72,0.026204928755760193,2026-08-06 01:19:26.970830,2026-08-06 01:19:28.975932,0 days 00:00:02.005102,16,0.38810939329655025,8,0.0009368386832556048,Adam,8,33,COMPLETE
73,0.00795071478933096,2026-08-06 01:19:28.976395,2026-08-06 01:19:32.651156,0 days 00:00:03.674761,16,0.4487715658088898,8,0.0007966612947087413,Adam,8,107,COMPLETE
74,0.007488541305065155,2026-08-06 01:19:32.651552,2026-08-06 01:19:37.183598,0 days 00:00:04.532046,16,0.4494488314302852,8,0.0006870274380581109,Adam,8,136,COMPLETE
