dropout_bin,mean,std,min,count
0.10-0.20,0.009940867112683398,0.004941453275214642,0.004818764049559832,7
0.20-0.30,0.0071281826504590836,0.00351537320319095,0.002966945990920067,11
0.30-0.40,0.0043517512385733426,0.001259779981290098,0.0027876875828951597,28
0.40-0.50,0.00528706871133683,0.005876955032146235,0.0026074436027556658,29
