params_lookback,mean,std,min,count
4,0.019034737307164405,0.01195858962389263,0.009119284339249134,9
8,0.008624607002948996,0.004778243772688969,0.003893485525622964,54
13,0.013357681687921286,0.013249203703051795,0.005881395656615496,12
