number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.017066489905118942,2026-08-06 01:45:25.635754,2026-08-06 01:45:28.269102,0 days 00:00:02.633348,8,0.3882431213547846,8,0.0007994283644359777,RMSprop,8,50,COMPLETE
1,0.039360906928777695,2026-08-06 01:45:28.269479,2026-08-06 01:45:30.527432,0 days 00:00:02.257953,16,0.3141001125454318,4,0.0001430496326708789,Adam,16,44,COMPLETE
2,0.0072224754840135574,2026-08-06 01:45:30.527812,2026-08-06 01:45:35.487014,0 days 00:00:04.959202,16,0.38151731502425124,4,0.0003473019186205284,RMSprop,8,150,COMPLETE
3,0.011440018191933632,2026-08-06 01:45:35.487376,2026-08-06 01:45:38.299434,0 days 00:00:02.812058,16,0.2964437184937313,4,0.0005581005821073781,RMSprop,16,71,COMPLETE
4,0.1065128892660141,2026-08-06 01:45:38.299858,2026-08-06 01:45:44.847346,0 days 00:00:06.547488,8,0.1742146077873088,8,0.0001444873007148002,RMSprop,8,150,COMPLETE
5,0.026137353852391243,2026-08-06 01:45:44.847728,2026-08-06 01:45:49.692917,0 days 00:00:04.845189,16,0.407205818367096,8,0.00012269166109981863,Adam,8,150,COMPLETE
6,0.0054419212974607944,2026-08-06 01:45:49.693330,2026-08-06 01:45:53.736659,0 days 00:00:04.043329,8,0.4132732104408985,4,0.0004260215410255442,RMSprop,8,80,COMPLETE
7,0.00780534790828824,2026-08-06 01:45:53.737046,2026-08-06 01:45:58.570289,0 days 00:00:04.833243,8,0.25749567416202834,13,0.0009225250961334336,Adam,16,63,COMPLETE
8,0.054477132856845856,2026-08-06 01:45:58.570753,2026-08-06 01:46:00.168121,0 days 00:00:01.597368,8,0.32989957344517307,8,0.0002294572091968668,RMSprop,16,22,COMPLETE
9,0.008045688271522522,2026-08-06 01:46:00.168520,2026-08-06 01:46:07.026084,0 days 00:00:06.857564,8,0.20060324788571562,8,0.0001214691222363659,Adam,8,150,COMPLETE
10,0.07542645186185837,2026-08-06 01:46:07.026441,2026-08-06 01:46:10.623724,0 days 00:00:03.597283,8,0.44967749003951574,13,0.000370702495152767,RMSprop,32,43,COMPLETE
11,0.009131968952715397,2026-08-06 01:46:10.624161,2026-08-06 01:46:14.049302,0 days 00:00:03.425141,16,0.10869221827445408,4,0.0003393370175743328,RMSprop,8,93,COMPLETE
12,0.005830144509673119,2026-08-06 01:46:14.049698,2026-08-06 01:46:16.234975,0 days 00:00:02.185277,16,0.3676527768495574,4,0.0005029173783195615,RMSprop,32,47,COMPLETE
13,0.010114957578480244,2026-08-06 01:46:16.235593,2026-08-06 01:46:18.792981,0 days 00:00:02.557388,16,0.4407164531437723,4,0.0005516500239823043,RMSprop,32,59,COMPLETE
14,0.051134247332811356,2026-08-06 01:46:18.793378,2026-08-06 01:46:20.269727,0 days 00:00:01.476349,16,0.3565398145433032,4,0.0005217020717214972,RMSprop,32,21,COMPLETE
15,0.0180429145693779,2026-08-06 01:46:20.270142,2026-08-06 01:46:24.357436,0 days 00:00:04.087294,8,0.2588780656558514,4,0.00022903079111513493,RMSprop,32,78,COMPLETE
16,0.011282562278211117,2026-08-06 01:46:24.357830,2026-08-06 01:46:28.015387,0 days 00:00:03.657557,16,0.3531369564853355,13,0.0004580620378071618,RMSprop,32,72,COMPLETE
17,0.01129620149731636,2026-08-06 01:46:28.015748,2026-08-06 01:46:30.983644,0 days 00:00:02.967896,8,0.4186618298969637,4,0.0006940925280999001,RMSprop,32,43,COMPLETE
18,0.011578009463846684,2026-08-06 01:46:30.984255,2026-08-06 01:46:38.487402,0 days 00:00:07.503147,8,0.35577426192031014,4,0.00027424834568607367,Adam,8,150,COMPLETE
19,0.012836579233407974,2026-08-06 01:46:38.487813,2026-08-06 01:46:40.552259,0 days 00:00:02.064446,16,0.2273322299704437,4,0.00041394661333347754,RMSprop,32,40,COMPLETE
20,0.006314973812550306,2026-08-06 01:46:40.552692,2026-08-06 01:46:44.032956,0 days 00:00:03.480264,16,0.3997944276571744,13,0.000712845764542346,RMSprop,32,66,COMPLETE
21,0.004844801966100931,2026-08-06 01:46:44.033407,2026-08-06 01:46:46.865363,0 days 00:00:02.831956,16,0.408559167649011,13,0.0006747312306840226,RMSprop,32,48,COMPLETE
22,0.007489028386771679,2026-08-06 01:46:46.865792,2026-08-06 01:46:50.394001,0 days 00:00:03.528209,16,0.4240460451166284,13,0.0006276513227401831,RMSprop,32,65,COMPLETE
23,0.011510835960507393,2026-08-06 01:46:50.394422,2026-08-06 01:46:52.542094,0 days 00:00:02.147672,16,0.37106929747663,13,0.0009764582064913816,RMSprop,32,32,COMPLETE
24,0.004233972169458866,2026-08-06 01:46:52.542493,2026-08-06 01:46:56.206313,0 days 00:00:03.663820,16,0.3294342511984875,13,0.0004183696456275408,RMSprop,32,68,COMPLETE
25,0.009350473992526531,2026-08-06 01:46:56.207020,2026-08-06 01:47:02.022686,0 days 00:00:05.815666,16,0.3344223130028516,13,0.00028233835695731265,RMSprop,8,129,COMPLETE
26,0.013046582229435444,2026-08-06 01:47:02.023049,2026-08-06 01:47:05.242418,0 days 00:00:03.219369,8,0.29478816874477165,13,0.00046413658287727295,Adam,32,34,COMPLETE
27,0.006747969426214695,2026-08-06 01:47:05.242793,2026-08-06 01:47:08.370943,0 days 00:00:03.128150,16,0.4223366610220801,13,0.00041757589753236223,RMSprop,32,56,COMPLETE
28,0.015039079822599888,2026-08-06 01:47:08.371356,2026-08-06 01:47:16.150965,0 days 00:00:07.779609,8,0.3288035065049993,13,0.00021247846709335582,RMSprop,16,112,COMPLETE
29,0.009811521507799625,2026-08-06 01:47:16.151392,2026-08-06 01:47:19.876514,0 days 00:00:03.725122,8,0.2922891109792277,13,0.0008165103447106934,RMSprop,8,48,COMPLETE
30,0.033681027591228485,2026-08-06 01:47:19.876873,2026-08-06 01:47:21.674952,0 days 00:00:01.798079,16,0.388692023670986,13,0.0006316871254781199,RMSprop,8,26,COMPLETE
31,0.017238982021808624,2026-08-06 01:47:21.675325,2026-08-06 01:47:24.492708,0 days 00:00:02.817383,16,0.37530699427027614,4,0.0004744237810847158,RMSprop,32,66,COMPLETE
32,0.023486303165555,2026-08-06 01:47:24.493236,2026-08-06 01:47:26.750065,0 days 00:00:02.256829,16,0.39731161916403945,4,0.00039310622179292756,RMSprop,32,48,COMPLETE
33,0.012959625571966171,2026-08-06 01:47:26.750489,2026-08-06 01:47:29.171526,0 days 00:00:02.421037,16,0.34900941607354813,4,0.0007666130113500072,RMSprop,32,52,COMPLETE
34,0.013065553270280361,2026-08-06 01:47:29.171911,2026-08-06 01:47:31.549244,0 days 00:00:02.377333,16,0.3087209507904074,4,0.00029943133149764326,RMSprop,32,53,COMPLETE
35,0.023711465299129486,2026-08-06 01:47:31.549621,2026-08-06 01:47:33.701218,0 days 00:00:02.151597,16,0.37511555235646893,8,0.0005975477290021738,RMSprop,32,48,COMPLETE
36,0.027590252459049225,2026-08-06 01:47:33.701585,2026-08-06 01:47:40.011415,0 days 00:00:06.309830,16,0.40830213876818605,13,0.0005226116179176749,Adam,16,137,COMPLETE
37,0.008020089007914066,2026-08-06 01:47:40.011831,2026-08-06 01:47:43.598832,0 days 00:00:03.587001,16,0.4364701005454603,4,0.0003537409535058542,RMSprop,8,99,COMPLETE
38,0.009531332179903984,2026-08-06 01:47:43.599202,2026-08-06 01:47:48.086907,0 days 00:00:04.487705,8,0.2720993576697307,8,0.0004849249585883566,Adam,16,89,COMPLETE
