number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.009702743962407112,2026-08-06 02:20:14.373429,2026-08-06 02:20:19.741234,0 days 00:00:05.367805,8,0.38967372098455866,13,0.0009324104161618122,Adam,8,73,COMPLETE
1,0.013248492032289505,2026-08-06 02:20:19.741669,2026-08-06 02:20:24.500773,0 days 00:00:04.759104,16,0.4386369993435432,8,0.0001254936639745576,RMSprop,8,150,COMPLETE
2,0.021017398685216904,2026-08-06 02:20:24.501252,2026-08-06 02:20:27.738395,0 days 00:00:03.237143,16,0.1664543953708286,13,0.0002457644003341813,RMSprop,32,61,COMPLETE
3,0.009177403524518013,2026-08-06 02:20:27.738767,2026-08-06 02:20:30.773508,0 days 00:00:03.034741,16,0.4381870198657075,8,0.0005413095924300961,Adam,32,76,COMPLETE
4,0.01796073280274868,2026-08-06 02:20:30.773859,2026-08-06 02:20:34.734597,0 days 00:00:03.960738,8,0.35808123647700973,4,0.0004955281995551834,RMSprop,8,78,COMPLETE
5,0.049760058522224426,2026-08-06 02:20:34.734983,2026-08-06 02:20:38.070701,0 days 00:00:03.335718,16,0.3934197882566047,13,0.0001953059491440976,Adam,8,61,COMPLETE
6,0.018179528415203094,2026-08-06 02:20:38.071058,2026-08-06 02:20:41.915035,0 days 00:00:03.843977,16,0.3930206497981756,13,0.0007143774590816881,Adam,16,75,COMPLETE
7,0.02528180181980133,2026-08-06 02:20:41.915430,2026-08-06 02:20:51.610204,0 days 00:00:09.694774,8,0.42320791949516795,13,0.00019307425155861988,RMSprop,8,150,COMPLETE
8,0.0935119241476059,2026-08-06 02:20:51.610560,2026-08-06 02:20:56.384043,0 days 00:00:04.773483,16,0.1552991160449516,8,0.0002387609300878654,Adam,32,134,COMPLETE
9,0.008793325163424015,2026-08-06 02:20:56.384400,2026-08-06 02:21:06.140371,0 days 00:00:09.755971,8,0.3841183469340423,13,0.00023051999004908774,RMSprop,8,150,COMPLETE
10,0.015415231697261333,2026-08-06 02:21:06.140739,2026-08-06 02:21:13.055461,0 days 00:00:06.914722,8,0.2887313298969746,4,0.00011787260033321848,RMSprop,16,150,COMPLETE
11,0.049299053847789764,2026-08-06 02:21:13.055831,2026-08-06 02:21:15.254917,0 days 00:00:02.199086,8,0.3081768338728244,8,0.00042601093096899444,Adam,32,30,COMPLETE
12,0.011197343468666077,2026-08-06 02:21:15.255340,2026-08-06 02:21:18.844641,0 days 00:00:03.589301,16,0.3347306914807875,8,0.00036484700194686055,Adam,32,93,COMPLETE
13,0.009720079600811005,2026-08-06 02:21:18.844988,2026-08-06 02:21:21.497454,0 days 00:00:02.652466,8,0.4482688839453475,8,0.0005659916542942007,RMSprop,32,45,COMPLETE
14,0.01910427026450634,2026-08-06 02:21:21.497847,2026-08-06 02:21:24.473978,0 days 00:00:02.976131,16,0.23506742553297771,4,0.000288001473300056,RMSprop,16,71,COMPLETE
15,0.030754582956433296,2026-08-06 02:21:24.474391,2026-08-06 02:21:30.897718,0 days 00:00:06.423327,8,0.23655758272643515,13,0.0006804829906142123,Adam,8,88,COMPLETE
16,0.013578316196799278,2026-08-06 02:21:30.898370,2026-08-06 02:21:36.592317,0 days 00:00:05.693947,8,0.35023212595601916,8,0.00033802125737821925,Adam,32,110,COMPLETE
17,0.15853680670261383,2026-08-06 02:21:36.592711,2026-08-06 02:21:38.078907,0 days 00:00:01.486196,16,0.10704865108537953,13,0.00018617770863082,RMSprop,8,16,COMPLETE
18,0.04058988019824028,2026-08-06 02:21:38.079280,2026-08-06 02:21:39.477613,0 days 00:00:01.398333,16,0.2525633033347038,8,0.00015375279358604665,Adam,32,17,COMPLETE
19,0.008813357912003994,2026-08-06 02:21:39.477982,2026-08-06 02:21:42.855574,0 days 00:00:03.377592,8,0.4122238719609296,4,0.00042685118151516397,RMSprop,16,61,COMPLETE
