params_units,mean,std,min,count
8,0.010501435480546207,0.007063561099645204,0.0044109271839261055,40
16,0.013660726810081137,0.010257143008883298,0.005430224351584911,18
32,0.017081959693528274,0.012621388476921252,0.0049500796012580395,17
