number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.004076430108398199,2026-08-06 04:27:59.061706,2026-08-06 04:28:03.113866,0 days 00:00:04.052160,8,0.3802424156142844,4,0.0009680025376555099,Adam,16,49,COMPLETE
1,0.01049080304801464,2026-08-06 04:28:03.114282,2026-08-06 04:28:10.253220,0 days 00:00:07.138938,16,0.10849826107309213,8,0.00030108897576425154,Adam,8,150,COMPLETE
2,0.015231273137032986,2026-08-06 04:28:10.253770,2026-08-06 04:28:14.371158,0 days 00:00:04.117388,8,0.28882487162726456,8,0.00019481246474634277,RMSprop,32,45,COMPLETE
3,0.004934472031891346,2026-08-06 04:28:14.371559,2026-08-06 04:28:17.899549,0 days 00:00:03.527990,8,0.37370028126883725,4,0.0001391679858893972,RMSprop,32,41,COMPLETE
4,0.016803810372948647,2026-08-06 04:28:17.899945,2026-08-06 04:28:22.325598,0 days 00:00:04.425653,16,0.1115614210115509,4,0.000253350822013223,Adam,16,88,COMPLETE
5,0.006018889602273703,2026-08-06 04:28:22.325960,2026-08-06 04:28:32.020434,0 days 00:00:09.694474,8,0.30082459378059434,8,0.00011764228581957823,RMSprop,8,150,COMPLETE
6,0.011952386237680912,2026-08-06 04:28:32.020886,2026-08-06 04:28:36.544546,0 days 00:00:04.523660,16,0.11606908984330987,8,0.00022652243496890613,RMSprop,32,81,COMPLETE
7,0.006954934913665056,2026-08-06 04:28:36.544938,2026-08-06 04:28:40.573816,0 days 00:00:04.028878,16,0.24804413953311144,8,0.0006152551567988907,Adam,32,61,COMPLETE
8,0.0149680832400918,2026-08-06 04:28:40.574392,2026-08-06 04:28:42.553685,0 days 00:00:01.979293,16,0.11645673634828696,13,0.0008207580309490052,Adam,16,16,COMPLETE
9,0.005571331363171339,2026-08-06 04:28:42.554089,2026-08-06 04:28:47.129954,0 days 00:00:04.575865,8,0.4192898416992343,13,0.0005088088059329037,RMSprop,16,59,COMPLETE
10,0.003324321238324046,2026-08-06 04:28:47.130335,2026-08-06 04:28:52.152424,0 days 00:00:05.022089,8,0.4480834942710841,4,0.0004330276456112165,Adam,16,72,COMPLETE
11,0.003944238647818565,2026-08-06 04:28:52.152785,2026-08-06 04:28:55.878425,0 days 00:00:03.725640,8,0.43896713869141846,4,0.0009876408370491198,Adam,16,43,COMPLETE
12,0.003225550288334489,2026-08-06 04:28:55.878798,2026-08-06 04:29:01.731305,0 days 00:00:05.852507,8,0.447142070290966,4,0.0004846881911664892,Adam,16,83,COMPLETE
13,0.00379728595726192,2026-08-06 04:29:01.732275,2026-08-06 04:29:06.557900,0 days 00:00:04.825625,8,0.3548039111325656,4,0.000438991794743863,Adam,16,54,COMPLETE
14,0.011909238062798977,2026-08-06 04:29:06.558309,2026-08-06 04:29:10.660928,0 days 00:00:04.102619,8,0.2162051955043207,4,0.0004332929415686225,Adam,16,54,COMPLETE
15,0.0026074436027556658,2026-08-06 04:29:10.661357,2026-08-06 04:29:17.575326,0 days 00:00:06.913969,8,0.43954557504556774,4,0.000350362699921007,Adam,16,114,COMPLETE
16,0.00303721078671515,2026-08-06 04:29:17.575730,2026-08-06 04:29:23.854447,0 days 00:00:06.278717,8,0.33064194149995474,4,0.0003168696237777878,Adam,8,106,COMPLETE
17,0.0035618161782622337,2026-08-06 04:29:23.854849,2026-08-06 04:29:32.550156,0 days 00:00:08.695307,8,0.33154839751432624,13,0.0003163438966037156,Adam,8,132,COMPLETE
18,0.0051528215408325195,2026-08-06 04:29:32.550506,2026-08-06 04:29:39.857696,0 days 00:00:07.307190,8,0.1953560113704647,4,0.00017202991151334658,Adam,8,125,COMPLETE
19,0.003101712092757225,2026-08-06 04:29:39.858081,2026-08-06 04:29:46.191617,0 days 00:00:06.333536,8,0.32869843633088497,4,0.00033444298058224464,Adam,8,114,COMPLETE
20,0.003300422104075551,2026-08-06 04:29:46.192106,2026-08-06 04:29:52.648781,0 days 00:00:06.456675,8,0.4061268519603913,13,0.0006666773479784749,Adam,8,97,COMPLETE
21,0.0031559232156723738,2026-08-06 04:29:52.649165,2026-08-06 04:29:57.275801,0 days 00:00:04.626636,8,0.3231780648905991,4,0.00034455385006494486,Adam,8,71,COMPLETE
22,0.005936663597822189,2026-08-06 04:29:57.276187,2026-08-06 04:30:03.570840,0 days 00:00:06.294653,8,0.25883092870103697,4,0.00033962122667348816,Adam,8,110,COMPLETE
23,0.0037683083210140467,2026-08-06 04:30:03.571210,2026-08-06 04:30:11.697160,0 days 00:00:08.125950,8,0.3312500186670078,4,0.00026104517642858827,Adam,8,150,COMPLETE
24,0.004520445596426725,2026-08-06 04:30:11.697633,2026-08-06 04:30:17.318447,0 days 00:00:05.620814,8,0.39095141376213305,4,0.0003838427651182031,Adam,8,87,COMPLETE
25,0.0034746138844639063,2026-08-06 04:30:17.318834,2026-08-06 04:30:25.623811,0 days 00:00:08.304977,8,0.35112086581348245,4,0.00020615603237541413,Adam,8,150,COMPLETE
26,0.004818764049559832,2026-08-06 04:30:25.624191,2026-08-06 04:30:30.082174,0 days 00:00:04.457983,16,0.1874911806033535,4,0.0002667524761346499,RMSprop,8,110,COMPLETE
27,0.003036149311810732,2026-08-06 04:30:30.082522,2026-08-06 04:30:35.338252,0 days 00:00:05.255730,8,0.3039845842074113,4,0.000578576142371858,Adam,8,84,COMPLETE
28,0.0068849422968924046,2026-08-06 04:30:35.338815,2026-08-06 04:30:39.797572,0 days 00:00:04.458757,8,0.2349323560808388,13,0.0006059325575878209,Adam,32,51,COMPLETE
29,0.005477137863636017,2026-08-06 04:30:39.798007,2026-08-06 04:30:44.231626,0 days 00:00:04.433619,8,0.2860468771159417,4,0.0007691372172533321,Adam,8,69,COMPLETE
30,0.0053994012996554375,2026-08-06 04:30:44.231984,2026-08-06 04:30:48.523711,0 days 00:00:04.291727,8,0.155322113203199,4,0.0005181897252612599,Adam,16,59,COMPLETE
31,0.003674680832773447,2026-08-06 04:30:48.524283,2026-08-06 04:30:53.965460,0 days 00:00:05.441177,8,0.30791777765410994,4,0.00037735073756490063,Adam,8,91,COMPLETE
32,0.0027876875828951597,2026-08-06 04:30:53.965980,2026-08-06 04:30:58.633291,0 days 00:00:04.667311,8,0.36783097450044583,4,0.00027977547224143076,Adam,8,64,COMPLETE
33,0.003096736501902342,2026-08-06 04:30:58.633654,2026-08-06 04:31:07.091860,0 days 00:00:08.458206,8,0.3677054194328574,4,0.00016846145442729856,Adam,8,150,COMPLETE
34,0.0029511002358049154,2026-08-06 04:31:07.092616,2026-08-06 04:31:15.902169,0 days 00:00:08.809553,8,0.3969415279999193,4,0.0002939784901579677,Adam,8,150,COMPLETE
35,0.0030454741790890694,2026-08-06 04:31:15.902646,2026-08-06 04:31:20.991139,0 days 00:00:05.088493,16,0.40891044851367503,8,0.00024261640849686637,RMSprop,8,109,COMPLETE
36,0.005231022369116545,2026-08-06 04:31:20.991547,2026-08-06 04:31:24.741879,0 days 00:00:03.750332,8,0.3807735901516537,4,0.00020707716184885868,Adam,32,46,COMPLETE
37,0.005438000895082951,2026-08-06 04:31:24.742488,2026-08-06 04:31:35.003942,0 days 00:00:10.261454,8,0.4272316168696309,8,0.000279969547953866,RMSprop,8,150,COMPLETE
38,0.004529012832790613,2026-08-06 04:31:35.004548,2026-08-06 04:31:38.702575,0 days 00:00:03.698027,16,0.39056131890064444,4,0.00014370356893977609,Adam,32,69,COMPLETE
39,0.006149175576865673,2026-08-06 04:31:38.702938,2026-08-06 04:31:42.894991,0 days 00:00:04.192053,8,0.354767905906361,4,0.0003799672056651662,Adam,16,63,COMPLETE
40,0.0027187983505427837,2026-08-06 04:31:42.895329,2026-08-06 04:31:49.146786,0 days 00:00:06.251457,16,0.40833942477677265,8,0.00028647060393064165,RMSprop,8,150,COMPLETE
41,0.0037638721987605095,2026-08-06 04:31:49.147427,2026-08-06 04:31:54.454023,0 days 00:00:05.306596,16,0.40698056421205575,8,0.00028635526946019864,RMSprop,8,122,COMPLETE
42,0.03401654213666916,2026-08-06 04:31:54.454444,2026-08-06 04:31:56.216897,0 days 00:00:01.762453,16,0.43098247519933874,8,0.00022796913729582606,RMSprop,8,16,COMPLETE
43,0.0048410482704639435,2026-08-06 04:31:56.217309,2026-08-06 04:32:02.190468,0 days 00:00:05.973159,16,0.39155356353572923,8,0.0002941005000889758,RMSprop,8,139,COMPLETE
44,0.004118144977837801,2026-08-06 04:32:02.190884,2026-08-06 04:35:03.782766,0 days 00:03:01.591882,16,0.4179231457744407,8,0.0008580838421540917,RMSprop,8,46,COMPLETE
45,0.004207526799291372,2026-08-06 04:35:03.785426,2026-08-06 04:35:08.439702,0 days 00:00:04.654276,16,0.3709178730183785,8,0.00024168224443679666,RMSprop,16,66,COMPLETE
46,0.012895078398287296,2026-08-06 04:35:08.440082,2026-08-06 04:35:14.345715,0 days 00:00:05.905633,16,0.4275533651120416,13,0.0001068904748238641,RMSprop,8,150,COMPLETE
47,0.002966945990920067,2026-08-06 04:35:14.346231,2026-08-06 04:35:18.707850,0 days 00:00:04.361619,8,0.2749532470504901,4,0.0005740857347512766,Adam,16,69,COMPLETE
48,0.0027124129701405764,2026-08-06 04:35:18.708529,2026-08-06 04:35:25.596097,0 days 00:00:06.887568,8,0.44414785038406857,8,0.00018933922869854107,Adam,16,106,COMPLETE
49,0.004340529907494783,2026-08-06 04:35:25.596574,2026-08-06 04:35:34.909459,0 days 00:00:09.312885,8,0.4351783721851439,8,0.0001809938895289615,Adam,16,150,COMPLETE
50,0.004023668356239796,2026-08-06 04:35:34.909870,2026-08-06 04:35:40.957503,0 days 00:00:06.047633,16,0.44514763713550526,8,0.00014785206384348282,RMSprop,16,150,COMPLETE
51,0.007184183690696955,2026-08-06 04:35:40.957902,2026-08-06 04:35:50.267505,0 days 00:00:09.309603,8,0.27917407199116506,8,0.0001297507443772555,Adam,16,150,COMPLETE
52,0.006166941486299038,2026-08-06 04:35:50.267871,2026-08-06 04:35:56.366871,0 days 00:00:06.099000,8,0.2584796150826336,8,0.00021712084443665985,Adam,16,94,COMPLETE
53,0.003601280739530921,2026-08-06 04:35:56.367267,2026-08-06 04:36:00.501138,0 days 00:00:04.133871,8,0.41625006766405453,4,0.0004055886076801676,Adam,16,72,COMPLETE
