Search,Sampler Seed,Best Trial,Validation MSE,Lookback,Units,Dropout,Learning Rate,Batch,Optimizer,Epochs
1,10042,52,0.00480309035629034,8,16,0.3476786812650618,0.0008418815697576621,8,Adam,84
2,10142,68,0.0045797755010426044,8,8,0.34681533095693795,0.0004043024085167118,16,RMSprop,88
3,10242,67,0.0037826159968972206,8,16,0.44103710207826635,0.0009654461041873508,8,RMSprop,25
4,10342,61,0.003893485525622964,8,32,0.35376592178009764,0.0007110899831006268,8,Adam,43
5,10442,63,0.004412179812788963,8,8,0.4128237556200936,0.0004057591103706667,8,Adam,112
6,10542,23,0.005022087134420872,13,16,0.41955682362293933,0.00015261509680400187,8,Adam,150
7,10642,37,0.004449421539902687,13,8,0.3846124696309935,0.0005997930397639251,8,RMSprop,71
8,10742,73,0.0044109271839261055,8,8,0.3299431063136768,0.0007727508569702275,16,RMSprop,87
9,10842,52,0.0046738069504499435,13,8,0.37558813298345384,0.0007818825712541855,16,RMSprop,50
10,10942,72,0.004149124026298523,8,8,0.4021029529854661,0.000809035687167469,8,RMSprop,26
11,11042,36,0.004939728882163763,13,16,0.41114594951269523,0.000443244015950579,16,RMSprop,77
12,11142,52,0.0045493124052882195,8,32,0.4363467396693537,0.0007533072088683632,8,RMSprop,32
13,11242,19,0.004108574707061052,13,32,0.3729174922691107,0.00048720024324957453,8,RMSprop,67
14,11342,54,0.004698716104030609,8,32,0.34281000668383393,0.0009985111871025692,8,RMSprop,30
15,11442,33,0.004502083174884319,8,8,0.34763329435958973,0.0004747125794532764,16,RMSprop,106
16,11542,53,0.004185609519481659,8,16,0.4009513314546479,0.000677510690458972,16,RMSprop,98
17,11642,34,0.004393972456455231,13,8,0.2853794434432195,0.0007053221819938762,16,RMSprop,143
18,11742,34,0.004330884665250778,8,16,0.29692270267404897,0.0008389259517098048,8,RMSprop,27
19,11842,4,0.004661267623305321,13,8,0.2528175714626467,0.00041281563662576905,8,RMSprop,74
20,11942,11,0.004835755098611116,8,8,0.3606854861703851,0.0005659979643068906,8,RMSprop,72
