params_units,mean,std,min,count
8,0.024676475833985023,0.03516261449515275,0.005268744193017483,32
16,0.027033039446299274,0.0180459675228296,0.007261635269969702,24
32,0.016762002150675182,0.008876781254203473,0.004546054173260927,19
