number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.01557034719735384,2026-08-06 00:40:53.182124,2026-08-06 00:40:56.224244,0 days 00:00:03.042120,8,0.2994891577353568,4,0.00012034593552889886,Adam,32,67,COMPLETE
1,0.011197573505342007,2026-08-06 00:40:56.224602,2026-08-06 00:41:00.484184,0 days 00:00:04.259582,8,0.10826221326904359,13,0.0005194753771382752,RMSprop,8,67,COMPLETE
2,0.01438321266323328,2026-08-06 00:41:00.484567,2026-08-06 00:41:04.830634,0 days 00:00:04.346067,16,0.16026007470221462,13,0.0005350494834542932,RMSprop,8,106,COMPLETE
3,0.005997111555188894,2026-08-06 00:41:04.830987,2026-08-06 00:41:07.769721,0 days 00:00:02.938734,8,0.4045740773033229,8,0.0007638373861881653,Adam,32,46,COMPLETE
4,0.005668348632752895,2026-08-06 00:41:07.770078,2026-08-06 00:41:10.898538,0 days 00:00:03.128460,16,0.21291542277952144,13,0.0008918291693430297,RMSprop,16,70,COMPLETE
5,0.01114645041525364,2026-08-06 00:41:10.898889,2026-08-06 00:41:16.996230,0 days 00:00:06.097341,16,0.38030497814290715,13,0.0007392700538190839,Adam,8,148,COMPLETE
6,0.03229804337024689,2026-08-06 00:41:16.996620,2026-08-06 00:41:21.291306,0 days 00:00:04.294686,16,0.34296735717241383,13,0.00010136637667966426,RMSprop,16,102,COMPLETE
7,0.07644341886043549,2026-08-06 00:41:21.291654,2026-08-06 00:41:25.575482,0 days 00:00:04.283828,16,0.23743233642764666,4,0.00021625091161275254,Adam,16,150,COMPLETE
8,0.014933893457055092,2026-08-06 00:41:25.575849,2026-08-06 00:41:30.841693,0 days 00:00:05.265844,16,0.11905984135151049,8,0.00010305017195954344,Adam,8,150,COMPLETE
9,0.007879767566919327,2026-08-06 00:41:30.842055,2026-08-06 00:41:34.271540,0 days 00:00:03.429485,8,0.19611056401855964,8,0.00032236593397635304,Adam,16,59,COMPLETE
10,0.027058033272624016,2026-08-06 00:41:34.271907,2026-08-06 00:41:36.641472,0 days 00:00:02.369565,16,0.2701226321216259,13,0.0009413737836551082,RMSprop,16,46,COMPLETE
11,0.00966939888894558,2026-08-06 00:41:36.641840,2026-08-06 00:41:38.677098,0 days 00:00:02.035258,8,0.4243352105374826,8,0.0006206913700349221,RMSprop,32,29,COMPLETE
12,0.005913812667131424,2026-08-06 00:41:38.677482,2026-08-06 00:41:41.355163,0 days 00:00:02.677681,8,0.4425015748746093,8,0.0009704392088688732,RMSprop,32,43,COMPLETE
13,0.009273668751120567,2026-08-06 00:41:41.355520,2026-08-06 00:41:43.229636,0 days 00:00:01.874116,8,0.44718140388223454,8,0.00037920263286010675,RMSprop,32,26,COMPLETE
14,0.011767895892262459,2026-08-06 00:41:43.230023,2026-08-06 00:41:45.471102,0 days 00:00:02.241079,16,0.2117382942621842,4,0.0008747576391483546,RMSprop,32,67,COMPLETE
15,0.010868358425796032,2026-08-06 00:41:45.471469,2026-08-06 00:41:50.490883,0 days 00:00:05.019414,8,0.33759354866193714,13,0.00021845810557549798,RMSprop,16,78,COMPLETE
16,0.006138151045888662,2026-08-06 00:41:50.491247,2026-08-06 00:41:53.241439,0 days 00:00:02.750192,16,0.2690615616803921,8,0.00045566644800569073,RMSprop,16,71,COMPLETE
17,0.014627788215875626,2026-08-06 00:41:53.241805,2026-08-06 00:41:55.832407,0 days 00:00:02.590602,8,0.16290160874655973,8,0.0009546755237851854,RMSprop,32,42,COMPLETE
18,0.005176552105695009,2026-08-06 00:41:55.832766,2026-08-06 00:41:59.275762,0 days 00:00:03.442996,16,0.3191518728798417,13,0.0006622653034131558,RMSprop,16,78,COMPLETE
19,0.00665757991373539,2026-08-06 00:41:59.276143,2026-08-06 00:42:02.771228,0 days 00:00:03.495085,16,0.3106111199988827,13,0.0006539405198585334,RMSprop,16,79,COMPLETE
20,0.008279787376523018,2026-08-06 00:42:02.771776,2026-08-06 00:42:08.697008,0 days 00:00:05.925232,16,0.2387823683906229,13,0.00023884513562293005,RMSprop,16,142,COMPLETE
21,0.004802251234650612,2026-08-06 00:42:08.697771,2026-08-06 00:42:11.391593,0 days 00:00:02.693822,16,0.366551681614228,13,0.0009866677495846117,RMSprop,16,54,COMPLETE
22,0.006728320848196745,2026-08-06 00:42:11.391960,2026-08-06 00:42:14.308536,0 days 00:00:02.916576,16,0.3543125698512885,13,0.000738034960723129,RMSprop,16,64,COMPLETE
23,0.00642485311254859,2026-08-06 00:42:14.308896,2026-08-06 00:42:18.323347,0 days 00:00:04.014451,16,0.3068416531560775,13,0.0006041692186115068,RMSprop,16,94,COMPLETE
24,0.005922781303524971,2026-08-06 00:42:18.323725,2026-08-06 00:42:21.450953,0 days 00:00:03.127228,16,0.3668235528856526,13,0.0007923847720378163,RMSprop,16,67,COMPLETE
25,0.0059557463973760605,2026-08-06 00:42:21.451331,2026-08-06 00:42:25.352295,0 days 00:00:03.900964,16,0.39300662927064955,13,0.0004069135778500146,RMSprop,16,91,COMPLETE
26,0.011138430796563625,2026-08-06 00:42:25.352651,2026-08-06 00:42:29.032569,0 days 00:00:03.679918,16,0.3318861932928471,13,0.0005159694549524238,RMSprop,16,84,COMPLETE
27,0.008032836019992828,2026-08-06 00:42:29.032948,2026-08-06 00:42:31.911676,0 days 00:00:02.878728,16,0.24108447121919332,4,0.000668967108624687,RMSprop,16,92,COMPLETE
28,0.009075157344341278,2026-08-06 00:42:31.912064,2026-08-06 00:42:34.044179,0 days 00:00:02.132115,16,0.1848312297185688,13,0.0008324531455015991,RMSprop,16,41,COMPLETE
29,0.011920502409338951,2026-08-06 00:42:34.044575,2026-08-06 00:42:38.319578,0 days 00:00:04.275003,16,0.30285212594364463,4,0.00016913582040775337,Adam,16,150,COMPLETE
30,0.0053916205652058125,2026-08-06 00:42:38.319959,2026-08-06 00:42:40.714308,0 days 00:00:02.394349,16,0.28216238888052714,13,0.000984506487789125,RMSprop,8,48,COMPLETE
31,0.008374574594199657,2026-08-06 00:42:40.714704,2026-08-06 00:42:43.911998,0 days 00:00:03.197294,16,0.27802811450549736,13,0.0009627821334273124,RMSprop,8,71,COMPLETE
32,0.0050776563584804535,2026-08-06 00:42:43.912442,2026-08-06 00:42:46.297003,0 days 00:00:02.384561,16,0.3247296831104935,13,0.0008344269901456533,RMSprop,8,49,COMPLETE
33,0.0077425409108400345,2026-08-06 00:42:46.297376,2026-08-06 00:42:49.247363,0 days 00:00:02.949987,16,0.32754853871219375,13,0.0005477753138463141,RMSprop,8,64,COMPLETE
34,0.004393972456455231,2026-08-06 00:42:49.247765,2026-08-06 00:42:54.906374,0 days 00:00:05.658609,16,0.2853794434432195,13,0.0007053221819938762,RMSprop,8,143,COMPLETE
35,0.006826669909060001,2026-08-06 00:42:54.906738,2026-08-06 00:42:59.336393,0 days 00:00:04.429655,16,0.36697679476076306,13,0.0004685476569009681,RMSprop,8,108,COMPLETE
36,0.011420746333897114,2026-08-06 00:42:59.336734,2026-08-06 00:43:03.963667,0 days 00:00:04.626933,16,0.40841741862296554,13,0.0007050504350834587,RMSprop,8,113,COMPLETE
37,0.0118030970916152,2026-08-06 00:43:03.964044,2026-08-06 00:43:05.890243,0 days 00:00:01.926199,16,0.31827476995100284,13,0.0008250671371527745,Adam,8,32,COMPLETE
38,0.004779775161296129,2026-08-06 00:43:05.890609,2026-08-06 00:43:08.304144,0 days 00:00:02.413535,16,0.28783955925921645,13,0.0005794504276934559,RMSprop,8,50,COMPLETE
39,0.008709343150258064,2026-08-06 00:43:08.304547,2026-08-06 00:43:11.009956,0 days 00:00:02.705409,16,0.24874957174144247,4,0.0005771102047726812,Adam,8,81,COMPLETE
40,0.010273649357259274,2026-08-06 00:43:11.010306,2026-08-06 00:43:13.791370,0 days 00:00:02.781064,16,0.2902811529400332,13,0.0007585722350703439,RMSprop,8,59,COMPLETE
41,0.006858562584966421,2026-08-06 00:43:13.791812,2026-08-06 00:43:18.719568,0 days 00:00:04.927756,16,0.3556074087498415,13,0.000689353275567571,RMSprop,8,124,COMPLETE
42,0.00930833164602518,2026-08-06 00:43:18.719969,2026-08-06 00:43:22.326950,0 days 00:00:03.606981,16,0.25700793075010825,13,0.0004836972793815529,RMSprop,8,82,COMPLETE
43,0.004595609847456217,2026-08-06 00:43:22.327338,2026-08-06 00:43:26.352879,0 days 00:00:04.025541,16,0.29694632544295235,13,0.0008194305932483292,RMSprop,8,96,COMPLETE
44,0.007357243448495865,2026-08-06 00:43:26.353249,2026-08-06 00:43:29.065774,0 days 00:00:02.712525,16,0.29482286463218915,13,0.0008706902277450955,RMSprop,8,60,COMPLETE
45,0.007288985885679722,2026-08-06 00:43:29.066127,2026-08-06 00:43:32.931861,0 days 00:00:03.865734,16,0.2617649394213378,13,0.0007985949783954977,RMSprop,8,90,COMPLETE
46,0.009332304820418358,2026-08-06 00:43:32.932451,2026-08-06 00:43:41.819156,0 days 00:00:08.886705,8,0.348454128318096,13,0.0003498656500659515,Adam,8,150,COMPLETE
47,0.008819179609417915,2026-08-06 00:43:41.819546,2026-08-06 00:43:45.186027,0 days 00:00:03.366481,16,0.22159631234175314,13,0.0005795788020240437,RMSprop,8,77,COMPLETE
48,0.11886247247457504,2026-08-06 00:43:45.186395,2026-08-06 00:43:46.450781,0 days 00:00:01.264386,16,0.3823347594210213,13,0.0008792229644172853,RMSprop,8,16,COMPLETE
49,0.030866364017128944,2026-08-06 00:43:46.451175,2026-08-06 00:43:51.633149,0 days 00:00:05.181974,8,0.2824303228166662,4,0.0002616287380129674,RMSprop,8,144,COMPLETE
50,0.0635155513882637,2026-08-06 00:43:51.633531,2026-08-06 00:43:57.756540,0 days 00:00:06.123009,16,0.33892588118698297,13,0.0001513451147348905,Adam,8,150,COMPLETE
51,0.01565120927989483,2026-08-06 00:43:57.757080,2026-08-06 00:44:02.889786,0 days 00:00:05.132706,16,0.31439609916945344,13,0.0006296398219838831,RMSprop,8,128,COMPLETE
52,0.01222892478108406,2026-08-06 00:44:02.890163,2026-08-06 00:44:05.097307,0 days 00:00:02.207144,16,0.2950566271849503,13,0.000728881250971937,RMSprop,32,40,COMPLETE
53,0.010072153992950916,2026-08-06 00:44:05.097690,2026-08-06 00:44:07.367003,0 days 00:00:02.269313,16,0.321620170423341,13,0.0008963022525945554,RMSprop,8,45,COMPLETE
54,0.007045751437544823,2026-08-06 00:44:07.367354,2026-08-06 00:44:10.885702,0 days 00:00:03.518348,16,0.37102025337061045,13,0.0006751012795106814,RMSprop,8,76,COMPLETE
55,0.010320344939827919,2026-08-06 00:44:10.886121,2026-08-06 00:44:14.382698,0 days 00:00:03.496577,16,0.26856207885561834,8,0.0007695909378592291,RMSprop,32,76,COMPLETE
56,0.008780451491475105,2026-08-06 00:44:14.383085,2026-08-06 00:44:18.447346,0 days 00:00:04.064261,16,0.3078429091730662,13,0.00042467395225322726,RMSprop,16,95,COMPLETE
57,0.017113512381911278,2026-08-06 00:44:18.447742,2026-08-06 00:44:26.454054,0 days 00:00:08.006312,8,0.3270301151588596,13,0.0005182384133493001,RMSprop,8,137,COMPLETE
58,0.01031075045466423,2026-08-06 00:44:26.454425,2026-08-06 00:44:28.301126,0 days 00:00:01.846701,16,0.10935208740781505,13,0.0006235900562314261,RMSprop,16,31,COMPLETE
59,0.01129827555269003,2026-08-06 00:44:28.301518,2026-08-06 00:44:30.944120,0 days 00:00:02.642602,16,0.3468988452999572,8,0.000922736804002618,RMSprop,16,65,COMPLETE
60,0.004774079192429781,2026-08-06 00:44:30.944492,2026-08-06 00:44:33.919527,0 days 00:00:02.975035,16,0.4095754228197286,13,0.0008322251399822653,RMSprop,32,60,COMPLETE
61,0.006253104656934738,2026-08-06 00:44:33.919906,2026-08-06 00:44:37.379761,0 days 00:00:03.459855,16,0.410191284544356,13,0.000833594672677354,RMSprop,32,74,COMPLETE
62,0.005935597233474255,2026-08-06 00:44:37.380140,2026-08-06 00:44:40.267869,0 days 00:00:02.887729,16,0.38688877723728704,13,0.0007379407907238819,RMSprop,32,57,COMPLETE
63,0.005249856039881706,2026-08-06 00:44:40.268291,2026-08-06 00:44:42.419999,0 days 00:00:02.151708,16,0.39776188860793155,13,0.0009921583934224098,RMSprop,32,37,COMPLETE
64,0.007986539974808693,2026-08-06 00:44:42.420372,2026-08-06 00:44:45.301249,0 days 00:00:02.880877,16,0.4356097837615298,13,0.0008213368549676631,RMSprop,32,58,COMPLETE
65,0.007404109463095665,2026-08-06 00:44:45.301974,2026-08-06 00:44:48.695262,0 days 00:00:03.393288,16,0.2901133864328615,13,0.0006811781084453643,RMSprop,16,75,COMPLETE
66,0.013810645788908005,2026-08-06 00:44:48.695760,2026-08-06 00:44:50.798765,0 days 00:00:02.103005,16,0.4188176724258616,4,0.0005697511422713988,RMSprop,32,56,COMPLETE
67,0.0050489637069404125,2026-08-06 00:44:50.799172,2026-08-06 00:44:54.711523,0 days 00:00:03.912351,8,0.3595168983988051,13,0.0009060234903222099,RMSprop,8,59,COMPLETE
