number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.11730048060417175,2026-08-05 23:07:26.395853,2026-08-05 23:07:27.903943,0 days 00:00:01.508090,8,0.34788910942787216,13,0.00013094609775360583,Adam,8,16,COMPLETE
1,0.056186214089393616,2026-08-05 23:07:27.904312,2026-08-05 23:07:33.683967,0 days 00:00:05.779655,8,0.4299046565144019,8,0.00020221671241099547,Adam,16,150,COMPLETE
2,0.06696728616952896,2026-08-05 23:07:33.684359,2026-08-05 23:07:35.254015,0 days 00:00:01.569656,8,0.44774784595691913,13,0.0001625446898522526,Adam,32,16,COMPLETE
3,0.08638755232095718,2026-08-05 23:07:35.254404,2026-08-05 23:07:36.340927,0 days 00:00:01.086523,16,0.24491526030779906,8,0.00044585316672453225,RMSprop,8,16,COMPLETE
4,0.026163114234805107,2026-08-05 23:07:36.341333,2026-08-05 23:07:38.342326,0 days 00:00:02.000993,8,0.24419812290491222,4,0.0004176633007078534,RMSprop,32,39,COMPLETE
5,0.018674910068511963,2026-08-05 23:07:38.342723,2026-08-05 23:07:41.375798,0 days 00:00:03.033075,16,0.13447421540155638,4,0.000655919316980788,RMSprop,16,100,COMPLETE
6,0.030565453693270683,2026-08-05 23:07:41.376159,2026-08-05 23:07:46.581863,0 days 00:00:05.205704,16,0.3115245326131584,8,0.0001017903500428403,Adam,32,150,COMPLETE
7,0.19065631926059723,2026-08-05 23:07:46.582253,2026-08-05 23:07:52.419538,0 days 00:00:05.837285,8,0.15621739265466475,4,0.00013313160900096073,Adam,8,150,COMPLETE
8,0.012326830998063087,2026-08-05 23:07:52.419906,2026-08-05 23:07:54.149487,0 days 00:00:01.729581,16,0.16580341347382954,8,0.000495315071010245,RMSprop,32,38,COMPLETE
9,0.05986239016056061,2026-08-05 23:07:54.149897,2026-08-05 23:07:55.916436,0 days 00:00:01.766539,16,0.10217142805876814,4,0.0005634615677317705,RMSprop,8,44,COMPLETE
10,0.0071344925090670586,2026-08-05 23:07:55.916829,2026-08-05 23:07:57.926047,0 days 00:00:02.009218,16,0.19736398909476127,8,0.0002621477809008979,RMSprop,32,47,COMPLETE
11,0.03494938462972641,2026-08-05 23:07:57.926414,2026-08-05 23:07:59.082583,0 days 00:00:01.156169,16,0.18636250431409157,8,0.0002929170126515156,RMSprop,32,18,COMPLETE
12,0.017822034657001495,2026-08-05 23:07:59.082948,2026-08-05 23:08:00.210696,0 days 00:00:01.127748,16,0.20150925768263606,8,0.0008540021835592216,RMSprop,32,17,COMPLETE
13,0.030859408900141716,2026-08-05 23:08:00.211051,2026-08-05 23:08:01.784728,0 days 00:00:01.573677,16,0.20774968428877646,8,0.0002821338324267106,RMSprop,32,33,COMPLETE
14,0.006792240310460329,2026-08-05 23:08:01.785101,2026-08-05 23:08:03.836212,0 days 00:00:02.051111,16,0.28856350628169103,8,0.0003717238999928321,RMSprop,32,49,COMPLETE
15,0.02283407188951969,2026-08-05 23:08:03.836584,2026-08-05 23:08:05.291629,0 days 00:00:01.455045,16,0.34488373330387456,8,0.00022234302669716006,RMSprop,32,27,COMPLETE
16,0.2601913809776306,2026-08-05 23:08:05.292053,2026-08-05 23:08:10.005127,0 days 00:00:04.713074,16,0.288260407075479,13,0.00035626108085332964,RMSprop,16,125,COMPLETE
17,0.09227462857961655,2026-08-05 23:08:10.005494,2026-08-05 23:08:11.310470,0 days 00:00:01.304976,16,0.37259251818821026,8,0.00022698779290297624,RMSprop,32,23,COMPLETE
18,0.09670891612768173,2026-08-05 23:08:11.310830,2026-08-05 23:08:12.574852,0 days 00:00:01.264022,16,0.25244608465787266,8,0.00034761544682994193,RMSprop,32,22,COMPLETE
19,0.06610052287578583,2026-08-05 23:08:12.575246,2026-08-05 23:08:13.916237,0 days 00:00:01.340991,16,0.2953460724403425,13,0.000931303330032709,RMSprop,16,22,COMPLETE
20,0.1251896619796753,2026-08-05 23:08:13.916624,2026-08-05 23:08:15.055895,0 days 00:00:01.139271,16,0.3922352899489319,8,0.0006723983263548082,RMSprop,32,17,COMPLETE
21,0.013437777757644653,2026-08-05 23:08:15.056284,2026-08-05 23:08:16.718158,0 days 00:00:01.661874,16,0.17598969654188484,8,0.0005019582695453084,RMSprop,32,35,COMPLETE
22,0.015946097671985626,2026-08-05 23:08:16.718521,2026-08-05 23:08:18.144152,0 days 00:00:01.425631,16,0.21926915499511146,8,0.0004025851938725617,RMSprop,32,27,COMPLETE
23,0.013039401732385159,2026-08-05 23:08:18.144540,2026-08-05 23:08:19.340284,0 days 00:00:01.195744,16,0.1492260385209723,8,0.0002687642266621313,RMSprop,32,17,COMPLETE
24,0.03198077157139778,2026-08-05 23:08:19.340677,2026-08-05 23:08:21.333258,0 days 00:00:01.992581,16,0.2708511341428328,8,0.0005671856212735782,RMSprop,32,48,COMPLETE
25,0.04016639292240143,2026-08-05 23:08:21.333645,2026-08-05 23:08:22.489955,0 days 00:00:01.156310,16,0.10606201611381601,8,0.00034280036424163955,RMSprop,32,18,COMPLETE
