number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.005424121860414743,2026-08-06 03:30:36.170891,2026-08-06 03:30:42.564326,0 days 00:00:06.393435,16,0.1703789742986932,8,0.00011715123978278483,RMSprop,16,150,COMPLETE
1,0.009724443778395653,2026-08-06 03:30:42.565421,2026-08-06 03:30:49.237674,0 days 00:00:06.672253,16,0.14196416357057312,8,0.00010251191805154437,Adam,8,150,COMPLETE
2,0.005237201228737831,2026-08-06 03:30:49.238170,2026-08-06 03:30:51.181424,0 days 00:00:01.943254,16,0.12305822872733499,8,0.0005628852596862884,Adam,32,23,COMPLETE
3,0.004021008498966694,2026-08-06 03:30:51.181832,2026-08-06 03:30:56.072595,0 days 00:00:04.890763,8,0.3982660252799783,8,0.0002758775727305102,Adam,16,69,COMPLETE
4,0.011615319177508354,2026-08-06 03:30:56.072958,2026-08-06 03:31:01.702921,0 days 00:00:05.629963,16,0.1487802041072503,4,0.00020927834920301213,Adam,16,150,COMPLETE
5,0.006206375081092119,2026-08-06 03:31:01.703304,2026-08-06 03:31:05.234188,0 days 00:00:03.530884,8,0.17534257547985108,8,0.00019061792134653167,RMSprop,16,48,COMPLETE
6,0.003666016971692443,2026-08-06 03:31:05.234574,2026-08-06 03:31:09.762501,0 days 00:00:04.527927,16,0.3049838175681279,13,0.0007244182831813914,Adam,8,104,COMPLETE
7,0.025520483031868935,2026-08-06 03:31:09.762863,2026-08-06 03:31:11.609852,0 days 00:00:01.846989,16,0.36173796064506875,13,0.0002660789187990171,RMSprop,16,29,COMPLETE
8,0.004590886645019054,2026-08-06 03:31:11.610212,2026-08-06 03:31:15.760734,0 days 00:00:04.150522,8,0.23135812021612456,4,0.00043191635585162146,Adam,32,64,COMPLETE
9,0.007088770624250174,2026-08-06 03:31:15.761132,2026-08-06 03:31:18.258092,0 days 00:00:02.496960,16,0.3630797292521244,8,0.00023937327407889332,Adam,32,38,COMPLETE
10,0.00286231585778296,2026-08-06 03:31:18.258670,2026-08-06 03:31:21.140899,0 days 00:00:02.882229,8,0.2943994730302108,13,0.0009503976265232443,RMSprop,8,39,COMPLETE
11,0.0038636415265500546,2026-08-06 03:31:21.141285,2026-08-06 03:31:24.633457,0 days 00:00:03.492172,8,0.2841658931079518,13,0.0009984549185539085,RMSprop,8,51,COMPLETE
12,0.003098749555647373,2026-08-06 03:31:24.633824,2026-08-06 03:31:27.597012,0 days 00:00:02.963188,8,0.3115290146185558,13,0.0009579859143826938,RMSprop,8,40,COMPLETE
13,0.0045876349322497845,2026-08-06 03:31:27.597359,2026-08-06 03:31:30.859688,0 days 00:00:03.262329,8,0.23685294849059527,13,0.0008980870191556174,RMSprop,8,31,COMPLETE
14,0.00280852522701025,2026-08-06 03:31:30.860317,2026-08-06 03:31:35.851734,0 days 00:00:04.991417,8,0.4489896371366494,13,0.00043833277369807175,RMSprop,8,67,COMPLETE
15,0.002565146889537573,2026-08-06 03:31:35.852317,2026-08-06 03:31:40.230278,0 days 00:00:04.377961,8,0.4332073022443786,13,0.00040362780989941277,RMSprop,8,68,COMPLETE
16,0.00868150219321251,2026-08-06 03:31:40.230637,2026-08-06 03:31:45.195144,0 days 00:00:04.964507,8,0.4351747103557565,13,0.000413734859490685,RMSprop,8,80,COMPLETE
17,0.003084423951804638,2026-08-06 03:31:45.195948,2026-08-06 03:31:50.990128,0 days 00:00:05.794180,8,0.4489509077613226,13,0.0004069644315800494,RMSprop,8,60,COMPLETE
18,0.0034642424434423447,2026-08-06 03:31:50.990651,2026-08-06 03:31:54.598596,0 days 00:00:03.607945,8,0.3847365444015263,4,0.0005705722852793095,RMSprop,8,59,COMPLETE
