number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.00962577573955059,2026-08-06 01:19:55.717429,2026-08-06 01:20:02.721538,0 days 00:00:07.004109,8,0.22601914430216455,8,0.00026754646941831587,Adam,16,150,COMPLETE
1,0.018641680479049683,2026-08-06 01:20:02.721956,2026-08-06 01:20:05.624009,0 days 00:00:02.902053,16,0.28050982989837725,4,0.0003721235689852515,RMSprop,16,74,COMPLETE
2,0.014312765561044216,2026-08-06 01:20:05.624432,2026-08-06 01:20:08.570876,0 days 00:00:02.946444,8,0.3235988087999855,4,0.00014514031026210427,Adam,32,47,COMPLETE
3,0.015431402251124382,2026-08-06 01:20:08.571264,2026-08-06 01:20:14.958897,0 days 00:00:06.387633,16,0.3932029591093194,13,0.00016640439365687304,RMSprop,8,150,COMPLETE
4,0.035955995321273804,2026-08-06 01:20:14.959318,2026-08-06 01:20:17.547678,0 days 00:00:02.588360,16,0.2476744013022394,8,0.00011007051268353322,RMSprop,32,64,COMPLETE
5,0.01938006468117237,2026-08-06 01:20:17.548093,2026-08-06 01:20:19.572360,0 days 00:00:02.024267,16,0.21116387072596546,13,0.00021920298441687624,Adam,16,29,COMPLETE
6,0.030851460993289948,2026-08-06 01:20:19.572767,2026-08-06 01:20:26.310243,0 days 00:00:06.737476,8,0.35869701356068495,8,0.00021907162067707803,Adam,8,150,COMPLETE
7,0.012988647446036339,2026-08-06 01:20:26.310623,2026-08-06 01:20:30.404813,0 days 00:00:04.094190,16,0.20960415307974073,4,0.00036590480035425906,RMSprop,8,119,COMPLETE
8,0.011698166839778423,2026-08-06 01:20:30.405227,2026-08-06 01:20:33.450223,0 days 00:00:03.044996,8,0.4489223466994882,4,0.000887356535838832,RMSprop,8,56,COMPLETE
9,0.02293485961854458,2026-08-06 01:20:33.450621,2026-08-06 01:20:35.417105,0 days 00:00:01.966484,8,0.4115014467362579,4,0.0005232766891042847,Adam,8,26,COMPLETE
10,0.02871832624077797,2026-08-06 01:20:35.417501,2026-08-06 01:20:39.869368,0 days 00:00:04.451867,8,0.10264427338417437,8,0.0006564610966668424,Adam,16,90,COMPLETE
11,0.050236716866493225,2026-08-06 01:20:39.869734,2026-08-06 01:20:42.250415,0 days 00:00:02.380681,8,0.10896892341553477,8,0.0005264878327220959,RMSprop,16,42,COMPLETE
