number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.026660451665520668,2026-08-06 00:06:49.868950,2026-08-06 00:06:51.210479,0 days 00:00:01.341529,16,0.23260458660283767,13,0.0009617718640932002,RMSprop,16,16,COMPLETE
1,0.006608924828469753,2026-08-06 00:06:51.210877,2026-08-06 00:06:56.427268,0 days 00:00:05.216391,8,0.13768779846006826,13,0.0006510768159496718,Adam,8,80,COMPLETE
2,0.0073212990537285805,2026-08-06 00:06:56.427693,2026-08-06 00:07:00.904813,0 days 00:00:04.477120,8,0.19831380793035444,13,0.0004470812123901747,Adam,32,62,COMPLETE
3,0.014513389207422733,2026-08-06 00:07:00.905201,2026-08-06 00:07:02.545568,0 days 00:00:01.640367,16,0.1361675073813421,8,0.00015030549837194475,RMSprop,32,30,COMPLETE
4,0.010723283514380455,2026-08-06 00:07:02.545968,2026-08-06 00:07:04.463736,0 days 00:00:01.917768,8,0.3548557613371027,4,0.000726119593774868,Adam,16,34,COMPLETE
5,0.006445684004575014,2026-08-06 00:07:04.464132,2026-08-06 00:07:10.678946,0 days 00:00:06.214814,16,0.404622969582365,13,0.00019249073073912266,Adam,8,150,COMPLETE
6,0.008346019312739372,2026-08-06 00:07:10.679310,2026-08-06 00:07:12.001294,0 days 00:00:01.321984,16,0.3237516408394518,4,0.0006173056749763447,RMSprop,32,26,COMPLETE
7,0.014593605883419514,2026-08-06 00:07:12.001734,2026-08-06 00:07:15.750866,0 days 00:00:03.749132,8,0.22024999035087936,4,0.0001506679739036132,Adam,32,87,COMPLETE
8,0.013744303025305271,2026-08-06 00:07:15.751247,2026-08-06 00:07:21.844326,0 days 00:00:06.093079,16,0.17263780266235118,13,0.00015125311066700926,Adam,8,150,COMPLETE
9,0.008097130805253983,2026-08-06 00:07:21.844718,2026-08-06 00:07:28.350699,0 days 00:00:06.505981,8,0.24327221344563396,8,0.00011136925707430501,Adam,16,125,COMPLETE
10,0.01037187222391367,2026-08-06 00:07:28.351068,2026-08-06 00:07:34.275289,0 days 00:00:05.924221,16,0.4285053929189923,13,0.0002738203205755002,RMSprop,8,150,COMPLETE
11,0.006753791589289904,2026-08-06 00:07:34.275658,2026-08-06 00:07:43.410253,0 days 00:00:09.134595,8,0.4476267759547208,13,0.0003065260868012907,Adam,8,150,COMPLETE
12,0.01110735721886158,2026-08-06 00:07:43.410641,2026-08-06 00:07:49.587720,0 days 00:00:06.177079,16,0.10250211315846215,13,0.0002334957769563595,Adam,8,150,COMPLETE
13,0.010848017409443855,2026-08-06 00:07:49.588133,2026-08-06 00:07:54.847417,0 days 00:00:05.259284,8,0.31080768255982094,13,0.0004906483308120001,Adam,8,82,COMPLETE
14,0.008696398697793484,2026-08-06 00:07:54.847777,2026-08-06 00:08:03.431864,0 days 00:00:08.584087,8,0.3681913461335769,13,0.00021367874224577772,Adam,8,141,COMPLETE
15,0.012007901445031166,2026-08-06 00:08:03.432224,2026-08-06 00:08:08.719680,0 days 00:00:05.287456,16,0.3995780719204179,8,0.00039973806812908615,Adam,8,150,COMPLETE
16,0.0074323066510260105,2026-08-06 00:08:08.720152,2026-08-06 00:08:12.573718,0 days 00:00:03.853566,16,0.2700916218476761,13,0.0008472532857083879,Adam,8,86,COMPLETE
17,0.007610521279275417,2026-08-06 00:08:12.574085,2026-08-06 00:08:21.658790,0 days 00:00:09.084705,8,0.2953524537464452,13,0.00020230219495278703,Adam,8,150,COMPLETE
18,0.01204799022525549,2026-08-06 00:08:21.659193,2026-08-06 00:08:25.149151,0 days 00:00:03.489958,8,0.16486334857488377,4,0.0003621119738384347,RMSprop,8,89,COMPLETE
19,0.008013847284018993,2026-08-06 00:08:25.149513,2026-08-06 00:08:28.607900,0 days 00:00:03.458387,16,0.36265646899380505,8,0.0005663641594683065,Adam,16,91,COMPLETE
