params_lookback,mean,std,min,count
4,0.06255912940417017,0.06857531951834414,0.008278095163404942,14
8,0.048232423419204466,0.04356689432998602,0.005508869420737028,52
13,0.07266149493969148,0.09008158030433432,0.014197283424437046,9
