dropout_bin,mean,std,min,count
0.10-0.20,0.01279539754614234,0.004921422030691415,0.0063613769598305225,7
0.20-0.30,0.011563495688495181,0.005740750057197844,0.0049906764179468155,21
0.30-0.40,0.012372119145260917,0.009667788938513328,0.004722988698631525,36
0.40-0.50,0.0109378688714721,0.004782860588679302,0.004185609519481659,11
