number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.0078487703576684,2026-08-05 23:56:34.386374,2026-08-05 23:56:40.684137,0 days 00:00:06.297763,8,0.34271080219581435,13,0.00011659032035739321,Adam,16,99,COMPLETE
1,0.009456989355385303,2026-08-05 23:56:40.684579,2026-08-05 23:56:44.816202,0 days 00:00:04.131623,16,0.23746270607128506,4,0.000532567077900264,RMSprop,16,150,COMPLETE
2,0.0061849551275372505,2026-08-05 23:56:44.816595,2026-08-05 23:56:49.477626,0 days 00:00:04.661031,8,0.2781552304982762,8,0.00028986801218294897,Adam,8,89,COMPLETE
3,0.005377877503633499,2026-08-05 23:56:49.478008,2026-08-05 23:56:54.124525,0 days 00:00:04.646517,8,0.3066922754788702,13,0.0006590355431967317,RMSprop,8,75,COMPLETE
4,0.007743321359157562,2026-08-05 23:56:54.124894,2026-08-05 23:56:56.874688,0 days 00:00:02.749794,8,0.37258720029578085,4,0.0004915304333009772,RMSprop,8,68,COMPLETE
5,0.11561144888401031,2026-08-05 23:56:56.875277,2026-08-05 23:56:58.082011,0 days 00:00:01.206734,8,0.31793934767996734,4,0.00011761950603888082,RMSprop,16,16,COMPLETE
6,0.008743766695261002,2026-08-05 23:56:58.082381,2026-08-05 23:57:00.818862,0 days 00:00:02.736481,16,0.10704828311680133,4,0.00015560693404110214,Adam,32,79,COMPLETE
7,0.013516816310584545,2026-08-05 23:57:00.819487,2026-08-05 23:57:07.871282,0 days 00:00:07.051795,8,0.19786318248736476,8,0.00026734995453756087,RMSprop,16,146,COMPLETE
8,0.012484109029173851,2026-08-05 23:57:07.871777,2026-08-05 23:57:10.294750,0 days 00:00:02.422973,8,0.40633942023750963,4,0.0006192563851927556,RMSprop,8,55,COMPLETE
9,0.013168714940547943,2026-08-05 23:57:10.295124,2026-08-05 23:57:15.211077,0 days 00:00:04.915953,8,0.4464798050650516,13,0.0006154141714928549,Adam,16,74,COMPLETE
10,0.007151943165808916,2026-08-05 23:57:15.211435,2026-08-05 23:57:18.079024,0 days 00:00:02.867589,16,0.17732984615578176,13,0.0009471458126882843,RMSprop,32,59,COMPLETE
11,0.0119613166898489,2026-08-05 23:57:18.079382,2026-08-05 23:57:25.536906,0 days 00:00:07.457524,8,0.27422438559129064,8,0.0002940267182072054,Adam,8,150,COMPLETE
12,0.029523206874728203,2026-08-05 23:57:25.537344,2026-08-05 23:57:28.287467,0 days 00:00:02.750123,8,0.29280229401838725,8,0.00023021294188612794,Adam,8,44,COMPLETE
13,0.01090669073164463,2026-08-05 23:57:28.287896,2026-08-05 23:57:32.588751,0 days 00:00:04.300855,8,0.24931429622456172,8,0.00037928304258981655,Adam,8,79,COMPLETE
14,0.004701472353190184,2026-08-05 23:57:32.589154,2026-08-05 23:57:35.131429,0 days 00:00:02.542275,16,0.3506258686075363,13,0.0009481022973121181,RMSprop,8,51,COMPLETE
15,0.005580947734415531,2026-08-05 23:57:35.131811,2026-08-05 23:57:38.681515,0 days 00:00:03.549704,16,0.3648464792140328,13,0.0009528914176551638,RMSprop,8,81,COMPLETE
16,0.00495927594602108,2026-08-05 23:57:38.681878,2026-08-05 23:57:42.101389,0 days 00:00:03.419511,16,0.3861319225570751,13,0.0007618747202035085,RMSprop,8,79,COMPLETE
17,0.006799974478781223,2026-08-05 23:57:42.101750,2026-08-05 23:57:44.525733,0 days 00:00:02.423983,16,0.44751155885349125,13,0.0008051351772854772,RMSprop,32,46,COMPLETE
18,0.007881359197199345,2026-08-05 23:57:44.526088,2026-08-05 23:57:50.353420,0 days 00:00:05.827332,16,0.3928858033942954,13,0.0004092194853691935,RMSprop,8,150,COMPLETE
19,0.006364736706018448,2026-08-05 23:57:50.353793,2026-08-05 23:57:53.943698,0 days 00:00:03.589905,16,0.4137888249780905,13,0.0007329727903086358,RMSprop,8,84,COMPLETE
20,0.012948159128427505,2026-08-05 23:57:53.944175,2026-08-05 23:57:59.324464,0 days 00:00:05.380289,16,0.33926790781335914,13,0.0001961564823819282,RMSprop,32,127,COMPLETE
21,0.005254840478301048,2026-08-05 23:57:59.324818,2026-08-05 23:58:01.280506,0 days 00:00:01.955688,16,0.32947129448819584,13,0.0007270291413303028,RMSprop,8,36,COMPLETE
22,0.0052790045738220215,2026-08-05 23:58:01.280863,2026-08-05 23:58:03.435507,0 days 00:00:02.154644,16,0.3453244305043002,13,0.0009955953718049073,RMSprop,8,42,COMPLETE
23,0.007210186682641506,2026-08-05 23:58:03.435903,2026-08-05 23:58:07.140236,0 days 00:00:03.704333,16,0.3803084792805348,13,0.0008037386379411806,RMSprop,8,87,COMPLETE
24,0.008513218723237514,2026-08-05 23:58:07.140603,2026-08-05 23:58:10.170901,0 days 00:00:03.030298,16,0.32440368277438697,13,0.000494551538751147,RMSprop,8,68,COMPLETE
25,0.007063081953674555,2026-08-05 23:58:10.171264,2026-08-05 23:58:15.001081,0 days 00:00:04.829817,16,0.4139883204153223,13,0.0003833704142123053,RMSprop,8,118,COMPLETE
26,0.005497094243764877,2026-08-05 23:58:15.001470,2026-08-05 23:58:18.633985,0 days 00:00:03.632515,16,0.36122699529098484,13,0.0007493448326065934,RMSprop,8,85,COMPLETE
27,0.005913871340453625,2026-08-05 23:58:18.634333,2026-08-05 23:58:21.526246,0 days 00:00:02.891913,16,0.4233405456319537,13,0.0008617049386013555,RMSprop,8,60,COMPLETE
28,0.007086905650794506,2026-08-05 23:58:21.526625,2026-08-05 23:58:26.005653,0 days 00:00:04.479028,16,0.2534404844909518,13,0.0005964657372329098,RMSprop,32,103,COMPLETE
29,0.006877182051539421,2026-08-05 23:58:26.006012,2026-08-05 23:58:29.262769,0 days 00:00:03.256757,16,0.3409179119296532,13,0.00042962613910751425,RMSprop,8,75,COMPLETE
30,0.007920605130493641,2026-08-05 23:58:29.263123,2026-08-05 23:58:32.697793,0 days 00:00:03.434670,16,0.39014520946892206,13,0.0007069446175553014,RMSprop,16,78,COMPLETE
31,0.0069169108755886555,2026-08-05 23:58:32.698179,2026-08-05 23:58:35.688226,0 days 00:00:02.990047,16,0.34238759311282896,13,0.0009795174175571929,RMSprop,8,66,COMPLETE
32,0.00595476571470499,2026-08-05 23:58:35.688590,2026-08-05 23:58:38.449944,0 days 00:00:02.761354,16,0.35724210906720055,13,0.0009980356364227504,RMSprop,8,60,COMPLETE
33,0.005425312556326389,2026-08-05 23:58:38.450313,2026-08-05 23:58:40.526547,0 days 00:00:02.076234,16,0.3026897141841914,13,0.0005541894737912913,RMSprop,8,39,COMPLETE
34,0.00892660766839981,2026-08-05 23:58:40.526921,2026-08-05 23:58:43.394384,0 days 00:00:02.867463,16,0.3343355743412796,13,0.0008469841546345218,RMSprop,8,61,COMPLETE
35,0.005693063139915466,2026-08-05 23:58:43.394812,2026-08-05 23:58:47.301734,0 days 00:00:03.906922,16,0.311084556722372,13,0.0006615905458005854,RMSprop,8,93,COMPLETE
36,0.009409994818270206,2026-08-05 23:58:47.302111,2026-08-05 23:58:49.264705,0 days 00:00:01.962594,16,0.2807519611673005,4,0.0008240727631624723,RMSprop,8,55,COMPLETE
