number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.003817636054009199,2026-08-05 21:53:23.064499,2026-08-05 21:53:27.331082,0 days 00:00:04.266583,8,0.23484878080972746,8,0.0006076358235679542,Adam,16,105,COMPLETE
1,0.022028522565960884,2026-08-05 21:53:27.331454,2026-08-05 21:53:29.342897,0 days 00:00:02.011443,8,0.37095084646071336,8,0.0007509800655397563,RMSprop,16,43,COMPLETE
2,0.016260478645563126,2026-08-05 21:53:29.343277,2026-08-05 21:53:30.974958,0 days 00:00:01.631681,16,0.36078995614157006,8,0.00037888328904744857,Adam,16,33,COMPLETE
3,0.060941532254219055,2026-08-05 21:53:30.975326,2026-08-05 21:53:34.966071,0 days 00:00:03.990745,16,0.11028847762386346,4,0.00010064498649174304,Adam,16,113,COMPLETE
4,0.07009939849376678,2026-08-05 21:53:34.966452,2026-08-05 21:53:36.158900,0 days 00:00:01.192448,16,0.23840032507581052,4,0.0001735858685607386,Adam,32,17,COMPLETE
5,0.02375352568924427,2026-08-05 21:53:36.159280,2026-08-05 21:53:37.865279,0 days 00:00:01.705999,8,0.42136678242899145,8,0.0001833424218432864,Adam,32,28,COMPLETE
6,0.24132831394672394,2026-08-05 21:53:37.865652,2026-08-05 21:53:40.528560,0 days 00:00:02.662908,8,0.44664564392125106,13,0.0002751150414368779,RMSprop,32,39,COMPLETE
7,0.03696495294570923,2026-08-05 21:53:40.528941,2026-08-05 21:53:42.621437,0 days 00:00:02.092496,8,0.4315770040291383,4,0.00012175832832850674,RMSprop,32,40,COMPLETE
8,0.05829649046063423,2026-08-05 21:53:42.621804,2026-08-05 21:53:46.644537,0 days 00:00:04.022733,16,0.2757780578988199,4,0.00034863077442141876,RMSprop,8,140,COMPLETE
9,0.009228304028511047,2026-08-05 21:53:46.644936,2026-08-05 21:53:51.120894,0 days 00:00:04.475958,16,0.38244836081660555,4,0.0003281952990485561,Adam,16,145,COMPLETE
10,0.0075973765924572945,2026-08-05 21:53:51.121269,2026-08-05 21:53:55.336138,0 days 00:00:04.214869,8,0.17790459545505605,13,0.000986976448094658,Adam,8,71,COMPLETE
11,0.05201031640172005,2026-08-05 21:53:55.336519,2026-08-05 21:53:57.009158,0 days 00:00:01.672639,8,0.17618825186921006,13,0.0009884917163000867,Adam,8,20,COMPLETE
12,0.05358162149786949,2026-08-05 21:53:57.009510,2026-08-05 21:54:01.372225,0 days 00:00:04.362715,8,0.22389097836106603,13,0.0006011445128516145,Adam,8,73,COMPLETE
13,0.018623245880007744,2026-08-05 21:54:01.372583,2026-08-05 21:54:03.282685,0 days 00:00:01.910102,8,0.16019026297584543,13,0.0005405295859706402,Adam,8,24,COMPLETE
14,0.03363558650016785,2026-08-05 21:54:03.283056,2026-08-05 21:54:05.291822,0 days 00:00:02.008766,8,0.2920438979604447,8,0.0009661667311954186,Adam,16,40,COMPLETE
15,0.010053320787847042,2026-08-05 21:54:05.292189,2026-08-05 21:54:09.791892,0 days 00:00:04.499703,8,0.19984857872650297,13,0.0005297549980896705,Adam,8,78,COMPLETE
16,0.10903935879468918,2026-08-05 21:54:09.792257,2026-08-05 21:54:10.993714,0 days 00:00:01.201457,8,0.11729598237400492,8,0.0007396419003290273,Adam,8,16,COMPLETE
17,0.01566149853169918,2026-08-05 21:54:10.994090,2026-08-05 21:54:14.142160,0 days 00:00:03.148070,8,0.31949519671988635,8,0.0004512258087430283,Adam,16,71,COMPLETE
18,0.0221723522990942,2026-08-05 21:54:14.142544,2026-08-05 21:54:15.826466,0 days 00:00:01.683922,8,0.23798474026730126,13,0.0007437095181958966,RMSprop,8,22,COMPLETE
19,0.035392411053180695,2026-08-05 21:54:15.826814,2026-08-05 21:54:18.540047,0 days 00:00:02.713233,8,0.16308000808680997,8,0.0008182259606081245,Adam,16,61,COMPLETE
20,0.05876918137073517,2026-08-05 21:54:18.540402,2026-08-05 21:54:26.457596,0 days 00:00:07.917194,8,0.3070142028356801,13,0.00026520755343392087,Adam,8,145,COMPLETE
21,0.023435132578015327,2026-08-05 21:54:26.457963,2026-08-05 21:54:28.396648,0 days 00:00:01.938685,16,0.36167704830849173,4,0.0002235117848184804,Adam,16,48,COMPLETE
22,0.014272759668529034,2026-08-05 21:54:28.397010,2026-08-05 21:54:30.023031,0 days 00:00:01.626021,16,0.2019219174353632,4,0.00043216610951525076,Adam,16,36,COMPLETE
23,0.008126056753098965,2026-08-05 21:54:30.023369,2026-08-05 21:54:32.130087,0 days 00:00:02.106718,16,0.2689815785299374,4,0.0006669225611323587,Adam,16,33,COMPLETE
24,0.04225793853402138,2026-08-05 21:54:32.130470,2026-08-05 21:54:33.384367,0 days 00:00:01.253897,16,0.2634682404251364,8,0.0006401370282197802,Adam,16,19,COMPLETE
