number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.013606168329715729,2026-08-05 21:48:19.388244,2026-08-05 21:48:20.575295,0 days 00:00:01.187051,16,0.31039025411012305,4,0.0005105903209394755,RMSprop,32,16,COMPLETE
1,0.2182004302740097,2026-08-05 21:48:20.575810,2026-08-05 21:48:24.757622,0 days 00:00:04.181812,16,0.3141485131528328,13,0.00013787764619353784,Adam,8,95,COMPLETE
2,0.01722867414355278,2026-08-05 21:48:24.758005,2026-08-05 21:48:26.815450,0 days 00:00:02.057445,8,0.12276805754484783,13,0.000888966790701893,RMSprop,16,25,COMPLETE
3,0.012003119103610516,2026-08-05 21:48:26.816149,2026-08-05 21:48:28.667617,0 days 00:00:01.851468,16,0.19057299356000593,4,0.0004597505784732166,Adam,32,37,COMPLETE
4,0.03331393375992775,2026-08-05 21:48:28.667983,2026-08-05 21:48:30.365803,0 days 00:00:01.697820,16,0.13097237571817183,4,0.0001570300837880671,Adam,32,28,COMPLETE
5,0.021812450140714645,2026-08-05 21:48:30.366383,2026-08-05 21:48:32.011313,0 days 00:00:01.644930,8,0.1260927252879198,4,0.0009702573394120733,Adam,32,21,COMPLETE
6,0.043019652366638184,2026-08-05 21:48:32.011751,2026-08-05 21:48:33.686061,0 days 00:00:01.674310,8,0.4020861990564577,13,0.00042004723167022017,RMSprop,16,18,COMPLETE
7,0.01000960823148489,2026-08-05 21:48:33.686460,2026-08-05 21:48:38.954281,0 days 00:00:05.267821,8,0.3662747670159141,13,0.0003641473866814997,RMSprop,32,79,COMPLETE
8,0.019333548843860626,2026-08-05 21:48:38.954810,2026-08-05 21:48:44.431927,0 days 00:00:05.477117,16,0.41764826587413256,8,0.00017753837036522268,Adam,8,150,COMPLETE
9,0.06442368030548096,2026-08-05 21:48:44.432430,2026-08-05 21:48:46.287479,0 days 00:00:01.855049,8,0.38128522691469,13,0.0001536632657612503,Adam,32,16,COMPLETE
10,0.023477919399738312,2026-08-05 21:48:46.287853,2026-08-05 21:48:47.718045,0 days 00:00:01.430192,8,0.24149144898101285,8,0.00024957959541795245,RMSprop,16,22,COMPLETE
11,0.01765536516904831,2026-08-05 21:48:47.718474,2026-08-05 21:48:49.144594,0 days 00:00:01.426120,16,0.22313576385212072,4,0.0005228539365328411,RMSprop,32,24,COMPLETE
12,0.38026249408721924,2026-08-05 21:48:49.145114,2026-08-05 21:48:50.920058,0 days 00:00:01.774944,8,0.19354762603185796,13,0.0002673697719530743,Adam,32,16,COMPLETE
13,0.013344400562345982,2026-08-05 21:48:50.920478,2026-08-05 21:48:52.172721,0 days 00:00:01.252243,16,0.3413378103922247,4,0.00040651246164161885,RMSprop,32,18,COMPLETE
14,0.12953059375286102,2026-08-05 21:48:52.173359,2026-08-05 21:48:53.567903,0 days 00:00:01.394544,8,0.4486057861116024,8,0.0006422089796084786,Adam,32,16,COMPLETE
15,0.0254810843616724,2026-08-05 21:48:53.568298,2026-08-05 21:48:59.842269,0 days 00:00:06.273971,16,0.18454422654311892,13,0.0003289936002747743,RMSprop,8,150,COMPLETE
16,0.01122681237757206,2026-08-05 21:48:59.842662,2026-08-05 21:49:01.764538,0 days 00:00:01.921876,8,0.2628989985932997,4,0.00021594148676696762,Adam,32,24,COMPLETE
17,0.01853199489414692,2026-08-05 21:49:01.765045,2026-08-05 21:49:04.317427,0 days 00:00:02.552382,8,0.35464995028876,13,0.00023649866167630841,RMSprop,32,31,COMPLETE
18,0.026475368067622185,2026-08-05 21:49:04.317850,2026-08-05 21:49:10.745155,0 days 00:00:06.427305,8,0.27242173969851,4,0.00010363593787464723,RMSprop,16,150,COMPLETE
19,0.13923455774784088,2026-08-05 21:49:10.745612,2026-08-05 21:49:16.943801,0 days 00:00:06.198189,8,0.28027159605227275,8,0.00020942498950109138,Adam,8,150,COMPLETE
20,0.10023700445890427,2026-08-05 21:49:16.944170,2026-08-05 21:49:18.494532,0 days 00:00:01.550362,8,0.3644961167990338,13,0.0003239855078146607,RMSprop,32,16,COMPLETE
