params_lookback,mean,std,min,count
4,0.004298523621400818,0.0008754342298868175,0.0035503613762557507,8
8,0.006199362139487939,0.0044123255689822736,0.0027949947398155928,31
13,0.006600251673565556,0.006120312205265036,0.0021762887481600046,36
