number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.008425254374742508,2026-08-06 00:56:47.427781,2026-08-06 00:56:52.245580,0 days 00:00:04.817799,16,0.2756408555253395,13,0.0004113971877270444,Adam,32,105,COMPLETE
1,0.010445309802889824,2026-08-06 00:56:52.245945,2026-08-06 00:56:55.560224,0 days 00:00:03.314279,16,0.17029099019068994,8,0.00034797511576857283,Adam,16,84,COMPLETE
2,0.030869318172335625,2026-08-06 00:56:55.560594,2026-08-06 00:56:57.120082,0 days 00:00:01.559488,16,0.4114258097866997,13,0.00011513767214020185,RMSprop,32,21,COMPLETE
3,0.024333124980330467,2026-08-06 00:56:57.120476,2026-08-06 00:57:01.460657,0 days 00:00:04.340181,16,0.23592084196162555,4,0.0001503450682013739,Adam,8,150,COMPLETE
4,0.00932325329631567,2026-08-06 00:57:01.461054,2026-08-06 00:57:04.929775,0 days 00:00:03.468721,8,0.23786535922359578,8,0.0004755892921811024,RMSprop,8,63,COMPLETE
5,0.047908373177051544,2026-08-06 00:57:04.930209,2026-08-06 00:57:07.808238,0 days 00:00:02.878029,8,0.22007577111935878,13,0.00012372287068813847,RMSprop,32,38,COMPLETE
6,0.018853269517421722,2026-08-06 00:57:07.808651,2026-08-06 00:57:10.337966,0 days 00:00:02.529315,16,0.33748313368849264,4,0.00012104307864250099,Adam,16,73,COMPLETE
7,0.00770528381690383,2026-08-06 00:57:10.338337,2026-08-06 00:57:14.632494,0 days 00:00:04.294157,8,0.23719611956522058,8,0.0004479579786834498,RMSprop,8,82,COMPLETE
8,0.009743541479110718,2026-08-06 00:57:14.632884,2026-08-06 00:57:19.686730,0 days 00:00:05.053846,16,0.2503020955083403,13,0.0001438035329899814,Adam,32,110,COMPLETE
9,0.009755459614098072,2026-08-06 00:57:19.687088,2026-08-06 00:57:21.659596,0 days 00:00:01.972508,8,0.3032316648671121,4,0.0007355380572572218,Adam,32,33,COMPLETE
10,0.020047219470143318,2026-08-06 00:57:21.659959,2026-08-06 00:57:28.817122,0 days 00:00:07.157163,8,0.1022708642664499,8,0.00023119241855704454,RMSprop,8,150,COMPLETE
11,0.004835755098611116,2026-08-06 00:57:28.817489,2026-08-06 00:57:32.655098,0 days 00:00:03.837609,8,0.3606854861703851,8,0.0005659979643068906,RMSprop,8,72,COMPLETE
12,0.005633008666336536,2026-08-06 00:57:32.655475,2026-08-06 00:57:36.085516,0 days 00:00:03.430041,8,0.3752853772219468,8,0.000967046249303172,RMSprop,8,62,COMPLETE
13,0.009738843888044357,2026-08-06 00:57:36.085863,2026-08-06 00:57:39.239810,0 days 00:00:03.153947,8,0.4023253556366042,8,0.0009904313884056479,RMSprop,8,57,COMPLETE
14,0.012234864756464958,2026-08-06 00:57:39.240173,2026-08-06 00:57:43.749563,0 days 00:00:04.509390,8,0.3593709683764299,8,0.0006580118655624396,RMSprop,8,88,COMPLETE
15,0.009886030107736588,2026-08-06 00:57:43.749945,2026-08-06 00:57:46.959219,0 days 00:00:03.209274,8,0.3601795876277086,8,0.0009945737708346451,RMSprop,8,56,COMPLETE
16,0.005766125861555338,2026-08-06 00:57:46.959878,2026-08-06 00:57:49.869192,0 days 00:00:02.909314,8,0.43696374434746715,8,0.0006719302137158292,RMSprop,16,50,COMPLETE
17,0.0073782093822956085,2026-08-06 00:57:49.869552,2026-08-06 00:57:57.065613,0 days 00:00:07.196061,8,0.31760388988852156,8,0.0002216299393251289,RMSprop,8,150,COMPLETE
18,0.004957220982760191,2026-08-06 00:57:57.065996,2026-08-06 00:58:03.184976,0 days 00:00:06.118980,8,0.38593706491134067,8,0.0005892702461813263,RMSprop,8,125,COMPLETE
19,0.010834804736077785,2026-08-06 00:58:03.185377,2026-08-06 00:58:07.129871,0 days 00:00:03.944494,8,0.4486923060166885,4,0.00026951896788383623,RMSprop,8,104,COMPLETE
20,0.006592576391994953,2026-08-06 00:58:07.130299,2026-08-06 00:58:10.110693,0 days 00:00:02.980394,8,0.391910112347698,8,0.0005389765588493299,RMSprop,16,52,COMPLETE
21,0.00955846905708313,2026-08-06 00:58:10.111041,2026-08-06 00:58:14.198375,0 days 00:00:04.087334,8,0.3766100667540333,8,0.0008443908643443175,RMSprop,8,78,COMPLETE
22,0.0057405512779951096,2026-08-06 00:58:14.198732,2026-08-06 00:58:16.933590,0 days 00:00:02.734858,8,0.33386554218026343,8,0.0005293490316313232,RMSprop,8,47,COMPLETE
23,0.005520012695342302,2026-08-06 00:58:16.933972,2026-08-06 00:58:19.274610,0 days 00:00:02.340638,8,0.4261973094271068,8,0.0007579631035740304,RMSprop,8,38,COMPLETE
24,0.005088580772280693,2026-08-06 00:58:19.274968,2026-08-06 00:58:24.587584,0 days 00:00:05.312616,8,0.42731651271320265,8,0.0006244893569517034,RMSprop,8,106,COMPLETE
25,0.0092662014067173,2026-08-06 00:58:24.587924,2026-08-06 00:58:28.680508,0 days 00:00:04.092584,8,0.41056812581469826,8,0.000587160273551876,RMSprop,8,78,COMPLETE
26,0.006690138019621372,2026-08-06 00:58:28.680952,2026-08-06 00:58:32.864145,0 days 00:00:04.183193,8,0.29049323077639094,8,0.00039839076266726505,RMSprop,8,80,COMPLETE
27,0.010115489363670349,2026-08-06 00:58:32.864518,2026-08-06 00:58:37.307335,0 days 00:00:04.442817,8,0.3347002560889478,8,0.00033173577292913887,RMSprop,8,81,COMPLETE
28,0.011132991872727871,2026-08-06 00:58:37.307739,2026-08-06 00:58:39.861218,0 days 00:00:02.553479,8,0.3791535149872378,4,0.0006247654328441721,RMSprop,16,45,COMPLETE
29,0.015560909174382687,2026-08-06 00:58:39.861608,2026-08-06 00:58:42.616035,0 days 00:00:02.754427,16,0.26900385138360405,13,0.00044019831765986466,Adam,8,51,COMPLETE
30,0.02372223325073719,2026-08-06 00:58:42.616700,2026-08-06 00:58:47.675485,0 days 00:00:05.058785,8,0.42577631113189496,13,0.00037357194508473113,RMSprop,32,76,COMPLETE
31,0.006736339069902897,2026-08-06 00:58:47.675915,2026-08-06 00:58:51.037006,0 days 00:00:03.361091,8,0.42547653018408405,8,0.0007816210312671347,RMSprop,8,60,COMPLETE
32,0.005112954881042242,2026-08-06 00:58:51.037380,2026-08-06 00:58:55.447837,0 days 00:00:04.410457,8,0.44444215952154337,8,0.0007641111389351035,RMSprop,8,84,COMPLETE
33,0.009411890991032124,2026-08-06 00:58:55.448265,2026-08-06 00:58:58.098915,0 days 00:00:02.650650,8,0.44573361564647973,8,0.0005316131366550108,RMSprop,8,43,COMPLETE
34,0.005588010419160128,2026-08-06 00:58:58.099290,2026-08-06 00:59:03.396951,0 days 00:00:05.297661,16,0.39854425989971237,8,0.0008402871405964619,Adam,8,150,COMPLETE
35,0.005753498524427414,2026-08-06 00:59:03.397336,2026-08-06 00:59:06.548736,0 days 00:00:03.151400,8,0.3515650654101779,8,0.0004951378727279264,RMSprop,8,55,COMPLETE
36,0.005932760890573263,2026-08-06 00:59:06.549090,2026-08-06 00:59:09.576784,0 days 00:00:03.027694,16,0.4084207921933949,8,0.0006706804737933719,RMSprop,8,81,COMPLETE
37,0.012064747512340546,2026-08-06 00:59:09.577186,2026-08-06 00:59:13.180457,0 days 00:00:03.603271,8,0.19556231102310567,13,0.0005915443596047516,RMSprop,16,52,COMPLETE
38,0.023741936311125755,2026-08-06 00:59:13.180829,2026-08-06 00:59:15.176344,0 days 00:00:01.995515,8,0.3808278494802148,4,0.00029245707175819794,Adam,32,36,COMPLETE
39,0.012134886346757412,2026-08-06 00:59:15.176719,2026-08-06 00:59:17.394233,0 days 00:00:02.217514,16,0.42533392827678446,8,0.0008594078246256807,RMSprop,8,53,COMPLETE
40,0.014839124865829945,2026-08-06 00:59:17.394598,2026-08-06 00:59:22.667575,0 days 00:00:05.272977,8,0.12289122324867058,8,0.0004195573261291243,Adam,8,100,COMPLETE
41,0.006120749749243259,2026-08-06 00:59:22.667956,2026-08-06 00:59:27.163803,0 days 00:00:04.495847,8,0.4227674702674973,8,0.0007329661982223006,RMSprop,8,88,COMPLETE
