Search,Sampler Seed,Best Trial,Validation MSE,Lookback,Units,Dropout,Learning Rate,Batch,Optimizer,Epochs
1,42,49,0.004874612204730511,13,8,0.43187944115150034,0.00019109432161595563,8,RMSprop,41
2,142,0,0.003817636054009199,8,16,0.23484878080972746,0.0006076358235679542,8,Adam,105
3,242,67,0.004376594442874193,13,8,0.24081717979568043,0.0005251070057136853,8,RMSprop,76
4,342,12,0.0037937487941235304,8,8,0.22758627025258893,0.00018159237434160693,8,RMSprop,26
5,442,26,0.005727171432226896,4,8,0.2931365871610326,0.0005186857653030115,8,Adam,150
6,542,15,0.004452195484191179,13,32,0.39881765209667597,0.0004754797015090523,16,RMSprop,72
7,642,60,0.005039505660533905,4,16,0.3914123495622438,0.00014797799684541764,8,RMSprop,150
8,742,54,0.004858024884015322,13,8,0.3695738879739673,0.000823529541028498,8,RMSprop,34
9,842,19,0.005508869420737028,8,16,0.15560812022950332,0.0009443603067943804,8,RMSprop,69
10,942,19,0.005647108890116215,13,32,0.25860228497368215,0.0005572321678452419,16,RMSprop,82
11,1042,35,0.00538878096267581,13,32,0.22521961113972955,0.000991897469839355,16,RMSprop,60
12,1142,26,0.005157558247447014,13,16,0.31612092973294853,0.0009822042703769786,8,Adam,62
13,1242,53,0.007199778687208891,4,16,0.11628804220902118,0.0007402112425487747,8,RMSprop,58
14,1342,25,0.004817938432097435,8,32,0.3618522935491283,0.0005109084300113971,16,Adam,100
15,1442,50,0.00494798319414258,8,16,0.3999720769439716,0.0007425584454130675,16,RMSprop,60
16,1542,54,0.004786012228578329,4,16,0.35886979396625507,0.0008003568430482401,16,RMSprop,43
17,1642,13,0.005912940017879009,8,16,0.43525861768788254,0.0006992188839737753,16,RMSprop,34
18,1742,1,0.004666624590754509,13,16,0.38499339307229524,0.0002244826282162043,16,RMSprop,150
19,1842,23,0.005535304080694914,8,16,0.4374110283983278,0.000498440370262978,16,RMSprop,90
20,1942,48,0.004518098663538694,8,16,0.2403047946943169,0.00043099401644893957,16,RMSprop,30
