number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.05571701005101204,2026-08-06 02:43:43.346533,2026-08-06 02:43:45.231698,0 days 00:00:01.885165,8,0.33345550987167527,13,0.0001480328494040162,RMSprop,8,16,COMPLETE
1,0.02737496793270111,2026-08-06 02:43:45.232090,2026-08-06 02:46:01.019915,0 days 00:02:15.787825,16,0.10254418874642392,13,0.00010788887620858742,Adam,32,32,COMPLETE
2,0.005754669196903706,2026-08-06 02:46:01.021293,2026-08-06 02:46:04.557612,0 days 00:00:03.536319,16,0.32225166597598937,4,0.000669639527030484,RMSprop,32,46,COMPLETE
3,0.020031485706567764,2026-08-06 02:46:04.558073,2026-08-06 02:46:12.751088,0 days 00:00:08.193015,8,0.27722124860810293,13,0.00033208667831618994,RMSprop,8,115,COMPLETE
4,0.011266117915511131,2026-08-06 02:46:12.751441,2026-08-06 02:46:17.663562,0 days 00:00:04.912121,16,0.1539226380073558,13,0.0005329851973837445,Adam,8,94,COMPLETE
5,0.06371200829744339,2026-08-06 02:46:17.663982,2026-08-06 02:46:19.743766,0 days 00:00:02.079784,8,0.3832743325050688,4,0.00031572612310793477,Adam,8,17,COMPLETE
6,0.07048878073692322,2026-08-06 02:46:19.744163,2026-08-06 02:46:27.286967,0 days 00:00:07.542804,8,0.13064114454399828,4,0.00011628135908613114,Adam,8,150,COMPLETE
7,0.007987288758158684,2026-08-06 02:46:27.287416,2026-08-06 02:46:32.676906,0 days 00:00:05.389490,16,0.2935321548012852,8,0.0005159683045709367,Adam,8,150,COMPLETE
8,0.026620803400874138,2026-08-06 02:46:32.677449,2026-08-06 02:46:36.070380,0 days 00:00:03.392931,16,0.28406611591309483,13,0.0003003283805944657,Adam,32,48,COMPLETE
9,0.05344073474407196,2026-08-06 02:46:36.070745,2026-08-06 02:46:38.420113,0 days 00:00:02.349368,8,0.43160429126108507,13,0.0004704194053442094,Adam,32,16,COMPLETE
10,0.016167975962162018,2026-08-06 02:46:38.420497,2026-08-06 02:46:40.950219,0 days 00:00:02.529722,16,0.1934673544210747,4,0.0009915717040147349,RMSprop,16,44,COMPLETE
11,0.01665099337697029,2026-08-06 02:46:40.950604,2026-08-06 02:46:42.603335,0 days 00:00:01.652731,16,0.3503835598016347,8,0.0008571212479676499,RMSprop,16,22,COMPLETE
12,0.01676115393638611,2026-08-06 02:46:42.604053,2026-08-06 02:46:46.125946,0 days 00:00:03.521893,16,0.22944419266458094,8,0.0006102205434934849,RMSprop,32,84,COMPLETE
13,0.01015207264572382,2026-08-06 02:46:46.126394,2026-08-06 02:46:48.806864,0 days 00:00:02.680470,16,0.3104799769383456,8,0.000738911913843637,RMSprop,32,58,COMPLETE
14,0.06788972020149231,2026-08-06 02:46:48.807214,2026-08-06 02:46:51.763012,0 days 00:00:02.955798,16,0.22686440578051334,8,0.000442409945271836,Adam,16,67,COMPLETE
15,0.009386266581714153,2026-08-06 02:46:51.763382,2026-08-06 02:46:57.059703,0 days 00:00:05.296321,16,0.3844399403493542,4,0.00021441699938618727,RMSprop,8,138,COMPLETE
16,0.025263719260692596,2026-08-06 02:46:57.060218,2026-08-06 02:47:00.949194,0 days 00:00:03.888976,16,0.2228465946213064,4,0.0006646623828515534,Adam,32,37,COMPLETE
17,0.01356385089457035,2026-08-06 02:47:00.949596,2026-08-06 02:47:04.865516,0 days 00:00:03.915920,16,0.425951927212439,8,0.00039449184252884055,RMSprop,32,99,COMPLETE
18,0.03634176030755043,2026-08-06 02:47:04.865880,2026-08-06 02:47:10.453132,0 days 00:00:05.587252,16,0.31070242628055905,4,0.00025120390263764776,Adam,8,150,COMPLETE
19,0.027097798883914948,2026-08-06 02:47:10.453530,2026-08-06 02:47:13.845805,0 days 00:00:03.392275,16,0.25270866952421506,8,0.0005992196186213754,RMSprop,16,86,COMPLETE
20,0.011954249814152718,2026-08-06 02:47:13.846496,2026-08-06 02:47:16.397195,0 days 00:00:02.550699,16,0.374495742752035,8,0.0007297270852151925,RMSprop,32,52,COMPLETE
21,0.011441969312727451,2026-08-06 02:47:16.397559,2026-08-06 02:47:21.843930,0 days 00:00:05.446371,16,0.38526224243344426,4,0.0002098567925007375,RMSprop,8,150,COMPLETE
22,0.032107576727867126,2026-08-06 02:47:21.844330,2026-08-06 02:47:27.226343,0 days 00:00:05.382013,16,0.3456477933503448,4,0.0001706129394746825,RMSprop,8,150,COMPLETE
23,0.012106282636523247,2026-08-06 02:47:27.226694,2026-08-06 02:47:31.441499,0 days 00:00:04.214805,16,0.40426010658567785,4,0.0003801992231854503,RMSprop,8,109,COMPLETE
24,0.0072722905315458775,2026-08-06 02:47:31.441869,2026-08-06 02:47:36.990146,0 days 00:00:05.548277,16,0.30703215673891227,4,0.000205620636959305,RMSprop,8,150,COMPLETE
25,0.01578843593597412,2026-08-06 02:47:36.990529,2026-08-06 02:47:41.725534,0 days 00:00:04.735005,16,0.29685514001844815,4,0.0005120610728063517,RMSprop,8,125,COMPLETE
26,0.01469526719301939,2026-08-06 02:47:41.725886,2026-08-06 02:47:49.378920,0 days 00:00:07.653034,8,0.25442968798603577,4,0.00025186711840579577,Adam,8,150,COMPLETE
27,0.01530513633042574,2026-08-06 02:47:49.379320,2026-08-06 02:47:54.472631,0 days 00:00:05.093311,16,0.32247548362196976,8,0.00015212473957676204,RMSprop,8,150,COMPLETE
28,0.006215019151568413,2026-08-06 02:47:54.472987,2026-08-06 02:47:57.794425,0 days 00:00:03.321438,16,0.26238508943078787,4,0.0008334028961051334,Adam,16,66,COMPLETE
29,0.015041006729006767,2026-08-06 02:47:57.794808,2026-08-06 02:48:00.436031,0 days 00:00:02.641223,8,0.25556314697384325,4,0.0009746996850743959,RMSprop,16,32,COMPLETE
30,0.016416795551776886,2026-08-06 02:48:00.436390,2026-08-06 02:48:02.936369,0 days 00:00:02.499979,16,0.1869525735678127,4,0.0007804037076160668,RMSprop,16,44,COMPLETE
31,0.012710902839899063,2026-08-06 02:48:02.936744,2026-08-06 02:48:05.892066,0 days 00:00:02.955322,16,0.3275567226097306,4,0.0008612733542921538,Adam,16,57,COMPLETE
32,0.007463707588613033,2026-08-06 02:48:05.892412,2026-08-06 02:48:11.595540,0 days 00:00:05.703128,16,0.35403433746555685,4,0.0005858094874611263,Adam,16,150,COMPLETE
33,0.026549503207206726,2026-08-06 02:48:11.595985,2026-08-06 02:48:13.738437,0 days 00:00:02.142452,16,0.35887354436987157,4,0.0006011010863059485,Adam,16,26,COMPLETE
34,0.007726727053523064,2026-08-06 02:48:13.738847,2026-08-06 02:48:18.103658,0 days 00:00:04.364811,16,0.3380659088794779,4,0.0008630809425079153,Adam,16,101,COMPLETE
35,0.06385873258113861,2026-08-06 02:48:18.104096,2026-08-06 02:48:20.040314,0 days 00:00:01.936218,16,0.27216032189705563,4,0.0006893381135193864,Adam,16,19,COMPLETE
36,0.03334854170680046,2026-08-06 02:48:20.040797,2026-08-06 02:48:29.110473,0 days 00:00:09.069676,8,0.3606032603556956,13,0.00010021370383974491,Adam,16,120,COMPLETE
37,0.01128382608294487,2026-08-06 02:48:29.110965,2026-08-06 02:48:34.798254,0 days 00:00:05.687289,16,0.3108178830437962,4,0.00017481394082057033,Adam,32,142,COMPLETE
38,0.02280741184949875,2026-08-06 02:48:34.798654,2026-08-06 02:48:38.731935,0 days 00:00:03.933281,8,0.2714752803281709,4,0.00035890035045716535,Adam,16,61,COMPLETE
39,0.02859613113105297,2026-08-06 02:48:38.732281,2026-08-06 02:48:42.328573,0 days 00:00:03.596292,16,0.10459878971186337,13,0.00027765326072778674,Adam,32,51,COMPLETE
40,0.02497004345059395,2026-08-06 02:48:42.328938,2026-08-06 02:48:47.720828,0 days 00:00:05.391890,16,0.4043728162653644,4,0.00012555210975862715,RMSprop,16,150,COMPLETE
41,0.00851296354085207,2026-08-06 02:48:47.721213,2026-08-06 02:48:51.373469,0 days 00:00:03.652256,16,0.3351283751309777,4,0.0008205946132590542,Adam,16,76,COMPLETE
42,0.013684595003724098,2026-08-06 02:48:51.373851,2026-08-06 02:48:56.920922,0 days 00:00:05.547071,16,0.28679348744426364,4,0.0005626677983867802,Adam,16,142,COMPLETE
43,0.023843778297305107,2026-08-06 02:48:56.921304,2026-08-06 02:49:01.289537,0 days 00:00:04.368233,16,0.33543444934945904,4,0.0009073172184374886,Adam,16,65,COMPLETE
44,0.022787820547819138,2026-08-06 02:49:01.289964,2026-08-06 02:49:05.002576,0 days 00:00:03.712612,16,0.3021900105083148,4,0.0006484120507976506,Adam,16,48,COMPLETE
45,0.008488941937685013,2026-08-06 02:49:05.003102,2026-08-06 02:49:08.962711,0 days 00:00:03.959609,16,0.36734696211309575,4,0.0004399999382532134,Adam,16,84,COMPLETE
46,0.010861421003937721,2026-08-06 02:49:08.963126,2026-08-06 02:49:13.684013,0 days 00:00:04.720887,8,0.3469685881589061,13,0.0009237327097006935,Adam,32,50,COMPLETE
47,0.009395419619977474,2026-08-06 02:49:13.684383,2026-08-06 02:49:16.310211,0 days 00:00:02.625828,16,0.31845625246469444,4,0.0007478177840194877,Adam,16,43,COMPLETE
48,0.02607329748570919,2026-08-06 02:49:16.310598,2026-08-06 02:49:20.454469,0 days 00:00:04.143871,16,0.27931649439421935,4,0.000515348185925369,RMSprop,32,97,COMPLETE
49,0.040811460465192795,2026-08-06 02:49:20.454838,2026-08-06 02:49:22.815485,0 days 00:00:02.360647,16,0.19806473807707015,4,0.000826664282556219,Adam,16,35,COMPLETE
50,0.012816226109862328,2026-08-06 02:49:22.815887,2026-08-06 02:49:25.204738,0 days 00:00:02.388851,16,0.40085349716002106,13,0.0006744718178555397,RMSprop,32,31,COMPLETE
51,0.028845511376857758,2026-08-06 02:49:25.205119,2026-08-06 02:49:27.189428,0 days 00:00:01.984309,16,0.2915015422809989,8,0.00046797795634803577,Adam,8,32,COMPLETE
52,0.01379743218421936,2026-08-06 02:49:27.189808,2026-08-06 02:49:30.784266,0 days 00:00:03.594458,16,0.23721113283824782,8,0.0006250944016953627,Adam,8,90,COMPLETE
53,0.11422301083803177,2026-08-06 02:49:30.784633,2026-08-06 02:49:32.308959,0 days 00:00:01.524326,16,0.30469536219626975,8,0.0007267804372647915,Adam,8,16,COMPLETE
54,0.011847040615975857,2026-08-06 02:49:32.309307,2026-08-06 02:49:37.757982,0 days 00:00:05.448675,16,0.2672851260326968,4,0.0005542658913109159,Adam,8,150,COMPLETE
55,0.015092412009835243,2026-08-06 02:49:37.758342,2026-08-06 02:49:42.430529,0 days 00:00:04.672187,16,0.3323181780630447,8,0.00032116512303267275,RMSprop,8,142,COMPLETE
56,0.02986316941678524,2026-08-06 02:49:42.430891,2026-08-06 02:49:44.857996,0 days 00:00:02.427105,16,0.2403393783057479,4,0.0007936976042371152,Adam,8,44,COMPLETE
57,0.03215884417295456,2026-08-06 02:49:44.858381,2026-08-06 02:49:48.934779,0 days 00:00:04.076398,16,0.2127942142849145,4,0.00021493499910003742,RMSprop,32,104,COMPLETE
58,0.013919314369559288,2026-08-06 02:49:48.935152,2026-08-06 02:49:53.439398,0 days 00:00:04.504246,8,0.3457426493128329,8,0.00040409225533810856,Adam,16,85,COMPLETE
59,0.01871069148182869,2026-08-06 02:49:53.439785,2026-08-06 02:49:57.403164,0 days 00:00:03.963379,16,0.3802724442289477,4,0.0005653124788361703,RMSprop,8,105,COMPLETE
60,0.012509670108556747,2026-08-06 02:49:57.403687,2026-08-06 02:49:59.658153,0 days 00:00:02.254466,16,0.29658183094314805,4,0.0009843370463364976,Adam,16,38,COMPLETE
61,0.019614005461335182,2026-08-06 02:49:59.658506,2026-08-06 02:50:04.505681,0 days 00:00:04.847175,16,0.36568400577788557,4,0.000467613139844453,Adam,16,130,COMPLETE
62,0.00877077691257,2026-08-06 02:50:04.506057,2026-08-06 02:50:09.636472,0 days 00:00:05.130415,16,0.4439178478855583,4,0.00041654016247572826,Adam,16,136,COMPLETE
63,0.009218808263540268,2026-08-06 02:50:09.636839,2026-08-06 02:50:13.978447,0 days 00:00:04.341608,16,0.3166438994852265,4,0.0004938569075585969,Adam,16,109,COMPLETE
64,0.007310209330171347,2026-08-06 02:50:13.978826,2026-08-06 02:50:19.671670,0 days 00:00:05.692844,16,0.3711169774174146,4,0.00035397515356926204,Adam,16,150,COMPLETE
65,0.00811723992228508,2026-08-06 02:50:19.672088,2026-08-06 02:50:23.383514,0 days 00:00:03.711426,16,0.38948520288636806,4,0.0007100626803913102,Adam,8,85,COMPLETE
66,0.015682585537433624,2026-08-06 02:50:23.383891,2026-08-06 02:50:26.400784,0 days 00:00:03.016893,16,0.3509186621841539,4,0.000302146856170073,RMSprop,16,67,COMPLETE
67,0.012522711418569088,2026-08-06 02:50:26.401162,2026-08-06 02:50:31.365851,0 days 00:00:04.964689,16,0.3380250687249995,8,0.0003541198588712844,Adam,32,131,COMPLETE
68,0.008911820128560066,2026-08-06 02:50:31.366210,2026-08-06 02:50:38.345178,0 days 00:00:06.978968,16,0.2625052036944949,13,0.0002646220967656023,RMSprop,16,150,COMPLETE
69,0.02034240961074829,2026-08-06 02:50:38.345551,2026-08-06 02:50:45.787408,0 days 00:00:07.441857,8,0.28448997174023916,4,0.00018907228689626457,Adam,8,150,COMPLETE
70,0.0102293835952878,2026-08-06 02:50:45.787794,2026-08-06 02:50:48.723296,0 days 00:00:02.935502,16,0.3183572042712601,4,0.0008981958656656497,RMSprop,16,63,COMPLETE
71,0.15652109682559967,2026-08-06 02:50:48.723674,2026-08-06 02:50:50.802030,0 days 00:00:02.078356,16,0.3952840331449683,4,0.0007232707201856906,Adam,8,25,COMPLETE
72,0.011439529247581959,2026-08-06 02:50:50.802391,2026-08-06 02:50:56.416523,0 days 00:00:05.614132,16,0.37340363426715567,4,0.0006869120655854225,Adam,8,150,COMPLETE
73,0.008030932396650314,2026-08-06 02:50:56.416919,2026-08-06 02:51:00.982398,0 days 00:00:04.565479,16,0.39046123740882416,4,0.0006264090435125195,Adam,8,110,COMPLETE
74,0.029813680797815323,2026-08-06 02:51:00.983038,2026-08-06 02:51:06.865933,0 days 00:00:05.882895,16,0.3560928316035894,4,0.000584320911441449,Adam,8,150,COMPLETE
