number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.03473244979977608,2026-08-05 23:22:18.949683,2026-08-05 23:22:22.331111,0 days 00:00:03.381428,8,0.19890752771477077,8,0.0005345050415628491,Adam,32,56,COMPLETE
1,0.022987743839621544,2026-08-05 23:22:22.331483,2026-08-05 23:22:23.536607,0 days 00:00:01.205124,16,0.18990003095854802,4,0.000169588602136271,Adam,32,21,COMPLETE
2,0.01881602220237255,2026-08-05 23:22:23.536977,2026-08-05 23:22:27.638761,0 days 00:00:04.101784,16,0.28107233971671053,4,0.00012778994062760576,RMSprop,8,150,COMPLETE
3,0.021033763885498047,2026-08-05 23:22:27.639148,2026-08-05 23:22:28.924146,0 days 00:00:01.284998,16,0.16693711468584058,4,0.00044676336228292895,RMSprop,32,27,COMPLETE
4,0.006242653820663691,2026-08-05 23:22:28.924527,2026-08-05 23:22:32.207889,0 days 00:00:03.283362,16,0.14508191182497054,13,0.0004140150855705354,RMSprop,32,71,COMPLETE
5,0.008852087892591953,2026-08-05 23:22:32.208280,2026-08-05 23:22:38.313281,0 days 00:00:06.105001,16,0.3152342021444151,13,0.0004979779025937642,Adam,16,150,COMPLETE
6,0.014349166303873062,2026-08-05 23:22:38.313639,2026-08-05 23:22:41.424154,0 days 00:00:03.110515,8,0.24125090848763456,4,0.0003819357631341575,RMSprop,32,74,COMPLETE
7,0.009943951852619648,2026-08-05 23:22:41.424562,2026-08-05 23:22:44.852499,0 days 00:00:03.427937,16,0.3937135975528441,4,0.000793116608687941,Adam,8,118,COMPLETE
8,0.029225073754787445,2026-08-05 23:22:44.852871,2026-08-05 23:22:47.803671,0 days 00:00:02.950800,16,0.12143281638946506,8,0.00019743199496622277,Adam,16,77,COMPLETE
9,0.01103917881846428,2026-08-05 23:22:47.804042,2026-08-05 23:22:50.475569,0 days 00:00:02.671527,8,0.23066416062986966,4,0.00017404434066738936,Adam,32,57,COMPLETE
10,0.008174431510269642,2026-08-05 23:22:50.475948,2026-08-05 23:22:54.332889,0 days 00:00:03.856941,8,0.10237770586064707,13,0.0009971710140729555,RMSprop,16,57,COMPLETE
11,0.006000154186040163,2026-08-05 23:22:54.333310,2026-08-05 23:22:57.552148,0 days 00:00:03.218838,8,0.11049809061462962,13,0.0009810901497391742,RMSprop,16,47,COMPLETE
12,0.013510769233107567,2026-08-05 23:22:57.552536,2026-08-05 23:23:05.076724,0 days 00:00:07.524188,8,0.13942083627991425,13,0.00028196593525607735,RMSprop,16,125,COMPLETE
13,0.008672637864947319,2026-08-05 23:23:05.077094,2026-08-05 23:23:09.637724,0 days 00:00:04.560630,8,0.36729963070192406,13,0.0006284309006868576,RMSprop,16,72,COMPLETE
14,0.005426565185189247,2026-08-05 23:23:09.638088,2026-08-05 23:23:15.502472,0 days 00:00:05.864384,16,0.43998148085071775,13,0.0002967242840886153,RMSprop,8,150,COMPLETE
15,0.01024132501333952,2026-08-05 23:23:15.502845,2026-08-05 23:23:24.175428,0 days 00:00:08.672583,8,0.4271345352995549,13,0.00027604762548252116,RMSprop,8,150,COMPLETE
16,0.009872292168438435,2026-08-05 23:23:24.175782,2026-08-05 23:23:32.840620,0 days 00:00:08.664838,8,0.3368093752619531,13,0.00024107906788342414,RMSprop,8,150,COMPLETE
17,0.009084274061024189,2026-08-05 23:23:32.841024,2026-08-05 23:23:38.705492,0 days 00:00:05.864468,16,0.44893179133826183,13,0.00034678430679934054,RMSprop,8,150,COMPLETE
18,0.011327151209115982,2026-08-05 23:23:38.705838,2026-08-05 23:23:41.095601,0 days 00:00:02.389763,16,0.28803754975484713,8,0.0006765882274026656,RMSprop,16,60,COMPLETE
19,0.009507075883448124,2026-08-05 23:23:41.095985,2026-08-05 23:23:49.834920,0 days 00:00:08.738935,8,0.3818979162085314,13,0.00010228175889649746,RMSprop,8,150,COMPLETE
20,0.006316902581602335,2026-08-05 23:23:49.835288,2026-08-05 23:23:53.139679,0 days 00:00:03.304391,8,0.24583740169160412,13,0.0009469124092006384,RMSprop,8,50,COMPLETE
21,0.02483801543712616,2026-08-05 23:23:53.140070,2026-08-05 23:23:55.430820,0 days 00:00:02.290750,16,0.14845485535895345,13,0.00040694057097774133,RMSprop,32,44,COMPLETE
22,0.00785831455141306,2026-08-05 23:23:55.431203,2026-08-05 23:23:59.422720,0 days 00:00:03.991517,16,0.1873600884018477,13,0.0002246244023607171,RMSprop,32,91,COMPLETE
23,0.012276886962354183,2026-08-05 23:23:59.423083,2026-08-05 23:24:03.978802,0 days 00:00:04.555719,16,0.122202640997054,13,0.0003388920165921256,RMSprop,16,110,COMPLETE
24,0.03730590641498566,2026-08-05 23:24:03.979176,2026-08-05 23:24:06.720882,0 days 00:00:02.741706,16,0.10663808165834536,13,0.0005891569499721136,RMSprop,32,57,COMPLETE
25,0.03494607284665108,2026-08-05 23:24:06.721249,2026-08-05 23:24:08.042659,0 days 00:00:01.321410,16,0.15021980322625447,8,0.0007825388612106091,RMSprop,8,24,COMPLETE
26,0.009214390069246292,2026-08-05 23:24:08.043028,2026-08-05 23:24:12.175785,0 days 00:00:04.132757,16,0.21915422365001705,13,0.00031258035449042596,RMSprop,16,98,COMPLETE
27,0.013294386677443981,2026-08-05 23:24:12.176151,2026-08-05 23:24:18.018297,0 days 00:00:05.842146,16,0.3391989795986092,13,0.00044598855399855675,RMSprop,8,150,COMPLETE
28,0.007699582725763321,2026-08-05 23:24:18.018662,2026-08-05 23:24:20.500874,0 days 00:00:02.482212,8,0.26284319601324435,13,0.0007817032884787924,RMSprop,32,32,COMPLETE
29,0.02201642096042633,2026-08-05 23:24:20.501228,2026-08-05 23:24:24.734046,0 days 00:00:04.232818,8,0.1735292426186318,8,0.00014358975699693772,Adam,16,78,COMPLETE
30,0.01939466781914234,2026-08-05 23:24:24.734433,2026-08-05 23:24:27.828965,0 days 00:00:03.094532,16,0.21117240128913525,13,0.0005234856570885976,RMSprop,32,65,COMPLETE
31,0.007510405499488115,2026-08-05 23:24:27.829408,2026-08-05 23:24:30.732078,0 days 00:00:02.902670,8,0.2508604650142264,13,0.0009961636417799525,RMSprop,8,43,COMPLETE
32,0.00559240160509944,2026-08-05 23:24:30.732452,2026-08-05 23:24:34.231182,0 days 00:00:03.498730,8,0.30853305583954993,13,0.0008715199420189269,RMSprop,8,54,COMPLETE
33,0.01312258094549179,2026-08-05 23:24:34.231568,2026-08-05 23:24:38.226056,0 days 00:00:03.994488,8,0.30687689018097597,13,0.0007082037316011425,RMSprop,8,63,COMPLETE
34,0.009324734099209309,2026-08-05 23:24:38.226407,2026-08-05 23:24:41.449210,0 days 00:00:03.222803,8,0.2019896571889369,13,0.0008348967381589788,RMSprop,8,49,COMPLETE
35,0.006653294432908297,2026-08-05 23:24:41.449580,2026-08-05 23:24:47.803804,0 days 00:00:06.354224,8,0.41787816215969686,13,0.0005726932416725408,Adam,8,103,COMPLETE
36,0.009293793700635433,2026-08-05 23:24:47.804155,2026-08-05 23:24:49.923527,0 days 00:00:02.119372,16,0.1697945918857643,4,0.0002560420410811072,RMSprop,32,63,COMPLETE
37,0.014674997888505459,2026-08-05 23:24:49.923900,2026-08-05 23:24:53.733518,0 days 00:00:03.809618,16,0.33496085711544604,8,0.00047424851687231386,RMSprop,8,110,COMPLETE
38,0.00830355565994978,2026-08-05 23:24:53.733905,2026-08-05 23:24:55.554408,0 days 00:00:01.820503,8,0.3514152737433121,4,0.0008954790936326058,Adam,32,33,COMPLETE
39,0.007555722258985043,2026-08-05 23:24:55.554803,2026-08-05 23:25:01.587870,0 days 00:00:06.033067,16,0.2917966200299256,13,0.00021090045149768172,RMSprop,16,150,COMPLETE
40,0.00957968458533287,2026-08-05 23:25:01.588258,2026-08-05 23:25:07.972671,0 days 00:00:06.384413,8,0.1300492700556126,13,0.00039379457138223796,Adam,8,104,COMPLETE
41,0.013085413724184036,2026-08-05 23:25:07.973047,2026-08-05 23:25:12.354459,0 days 00:00:04.381412,8,0.2669952602401068,13,0.0007027383158654791,RMSprop,8,70,COMPLETE
42,0.018485864624381065,2026-08-05 23:25:12.354815,2026-08-05 23:25:14.050785,0 days 00:00:01.695970,8,0.18631339834825933,13,0.000916305225129946,RMSprop,8,19,COMPLETE
43,0.006554361432790756,2026-08-05 23:25:14.051159,2026-08-05 23:25:17.493850,0 days 00:00:03.442691,8,0.40617334305702385,13,0.0008912591404476348,RMSprop,8,52,COMPLETE
44,0.01021936722099781,2026-08-05 23:25:17.494212,2026-08-05 23:25:19.113784,0 days 00:00:01.619572,8,0.23912687205249683,4,0.0009801283316176136,RMSprop,8,32,COMPLETE
45,0.042787905782461166,2026-08-05 23:25:19.114153,2026-08-05 23:25:21.266725,0 days 00:00:02.152572,8,0.15201137360794892,13,0.0006285390305091742,RMSprop,16,28,COMPLETE
46,0.011800493113696575,2026-08-05 23:25:21.267093,2026-08-05 23:25:23.981391,0 days 00:00:02.714298,8,0.10824566325819639,13,0.0007472464744364868,RMSprop,8,38,COMPLETE
47,0.01480637863278389,2026-08-05 23:25:23.981775,2026-08-05 23:25:28.568050,0 days 00:00:04.586275,16,0.44348141654196627,13,0.0002887248814043263,RMSprop,32,106,COMPLETE
48,0.04057843238115311,2026-08-05 23:25:28.568404,2026-08-05 23:25:29.917400,0 days 00:00:01.348996,8,0.3055883506147126,8,0.00017838093323355625,RMSprop,16,16,COMPLETE
49,0.01010928861796856,2026-08-05 23:25:29.917763,2026-08-05 23:25:33.260491,0 days 00:00:03.342728,16,0.22487746127814223,13,0.0008950744503164933,Adam,8,75,COMPLETE
50,0.012974877841770649,2026-08-05 23:25:33.260841,2026-08-05 23:25:35.084424,0 days 00:00:01.823583,8,0.38192193351304204,4,0.0006525602916720115,RMSprop,32,36,COMPLETE
51,0.008546807803213596,2026-08-05 23:25:35.084808,2026-08-05 23:25:38.670737,0 days 00:00:03.585929,8,0.4053366243169721,13,0.0008860460172585919,RMSprop,8,55,COMPLETE
52,0.0053530666045844555,2026-08-05 23:25:38.671119,2026-08-05 23:25:41.985629,0 days 00:00:03.314510,8,0.4334940826948102,13,0.0008111697090178617,RMSprop,8,50,COMPLETE
53,0.006001039408147335,2026-08-05 23:25:41.985989,2026-08-05 23:25:45.316373,0 days 00:00:03.330384,8,0.4329290291317373,13,0.0008113061641252684,RMSprop,8,50,COMPLETE
54,0.005969589110463858,2026-08-05 23:25:45.316730,2026-08-05 23:25:49.259043,0 days 00:00:03.942313,8,0.4318650847791839,13,0.0008190804693043904,RMSprop,8,62,COMPLETE
55,0.007639474701136351,2026-08-05 23:25:49.259600,2026-08-05 23:25:52.637659,0 days 00:00:03.378059,8,0.43000365141136004,13,0.000824966109912473,RMSprop,8,52,COMPLETE
56,0.013217927888035774,2026-08-05 23:25:52.638017,2026-08-05 23:25:54.467185,0 days 00:00:01.829168,8,0.4361259805686527,13,0.0007394205930586396,RMSprop,8,22,COMPLETE
57,0.011379054747521877,2026-08-05 23:25:54.467561,2026-08-05 23:25:59.015605,0 days 00:00:04.548044,8,0.41367929869883396,13,0.0005768212907842988,RMSprop,8,73,COMPLETE
58,0.006198844872415066,2026-08-05 23:25:59.016009,2026-08-05 23:26:03.144229,0 days 00:00:04.128220,8,0.3870829745131397,13,0.0008261176673771217,RMSprop,8,65,COMPLETE
59,0.007054582703858614,2026-08-05 23:26:03.144612,2026-08-05 23:26:08.501225,0 days 00:00:05.356613,8,0.3647690816324162,13,0.0006645587670275189,RMSprop,8,87,COMPLETE
60,0.00849559810012579,2026-08-05 23:26:08.501622,2026-08-05 23:26:11.200114,0 days 00:00:02.698492,8,0.39916342883821415,13,0.0003692531252166084,RMSprop,8,38,COMPLETE
61,0.006614170037209988,2026-08-05 23:26:11.200470,2026-08-05 23:26:14.446891,0 days 00:00:03.246421,8,0.44896163448714677,13,0.0008246997656302065,RMSprop,8,49,COMPLETE
62,0.0069258869625627995,2026-08-05 23:26:14.447348,2026-08-05 23:26:18.498349,0 days 00:00:04.051001,8,0.3857730287574176,13,0.0007597111265542256,RMSprop,8,63,COMPLETE
63,0.005384535528719425,2026-08-05 23:26:18.498710,2026-08-05 23:26:23.368241,0 days 00:00:04.869531,8,0.421841420980146,13,0.0007124467638183729,RMSprop,8,79,COMPLETE
64,0.007538535166531801,2026-08-05 23:26:23.368596,2026-08-05 23:26:27.210577,0 days 00:00:03.841981,8,0.4231399843052787,13,0.0007020314705409929,RMSprop,8,59,COMPLETE
65,0.004447238054126501,2026-08-05 23:26:27.211155,2026-08-05 23:26:29.904430,0 days 00:00:02.693275,8,0.4347212601168232,13,0.0009488158470211276,RMSprop,16,37,COMPLETE
66,0.005018234718590975,2026-08-05 23:26:29.904808,2026-08-05 23:26:33.297419,0 days 00:00:03.392611,8,0.4391779542810278,8,0.0009917896158957123,RMSprop,16,63,COMPLETE
67,0.0037826159968972206,2026-08-05 23:26:33.297886,2026-08-05 23:26:35.041749,0 days 00:00:01.743863,8,0.44103710207826635,8,0.0009654461041873508,RMSprop,16,25,COMPLETE
68,0.006984061561524868,2026-08-05 23:26:35.042148,2026-08-05 23:26:37.934399,0 days 00:00:02.892251,8,0.4163232917775868,8,0.0009516076190932247,RMSprop,16,50,COMPLETE
69,0.015454962849617004,2026-08-05 23:26:37.934773,2026-08-05 23:26:39.443535,0 days 00:00:01.508762,8,0.4414006028983429,8,0.0009949567654749234,Adam,16,17,COMPLETE
70,0.006154395639896393,2026-08-05 23:26:39.443921,2026-08-05 23:26:45.136716,0 days 00:00:05.692795,8,0.36909037756184704,8,0.0003044865912847111,RMSprop,16,114,COMPLETE
71,0.006636866368353367,2026-08-05 23:26:45.137082,2026-08-05 23:26:48.054881,0 days 00:00:02.917799,8,0.4282501966758717,8,0.00085749422490714,RMSprop,16,52,COMPLETE
72,0.007298761047422886,2026-08-05 23:26:48.055391,2026-08-05 23:26:51.434412,0 days 00:00:03.379021,8,0.41027545021238393,8,0.0009179015098354992,RMSprop,16,63,COMPLETE
73,0.008818136528134346,2026-08-05 23:26:51.434784,2026-08-05 23:26:54.689891,0 days 00:00:03.255107,8,0.39574482769978014,8,0.0007725170055103367,RMSprop,16,60,COMPLETE
74,0.013402965851128101,2026-08-05 23:26:54.690372,2026-08-05 23:26:58.047642,0 days 00:00:03.357270,8,0.43858051064180587,8,0.00026266963936208594,RMSprop,16,62,COMPLETE
