number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.010822860524058342,2026-08-05 23:16:52.543406,2026-08-05 23:16:57.335636,0 days 00:00:04.792230,8,0.29606964163582233,8,0.0009928124859772695,Adam,8,92,COMPLETE
1,0.011772527359426022,2026-08-05 23:16:57.336005,2026-08-05 23:17:00.338370,0 days 00:00:03.002365,16,0.43650557911608906,4,0.00017602203699707537,Adam,32,92,COMPLETE
2,0.014041036367416382,2026-08-05 23:17:00.338755,2026-08-05 23:17:03.125591,0 days 00:00:02.786836,8,0.1073273453949823,4,0.00022820753745365105,RMSprop,8,68,COMPLETE
3,0.017686089500784874,2026-08-05 23:17:03.125990,2026-08-05 23:17:08.277138,0 days 00:00:05.151148,16,0.38900990790387935,8,0.0002765730329016817,Adam,8,150,COMPLETE
4,0.0063173649832606316,2026-08-05 23:17:08.277499,2026-08-05 23:17:12.393944,0 days 00:00:04.116445,8,0.34166527948475317,8,0.0006347519322662264,Adam,8,76,COMPLETE
5,0.007777185644954443,2026-08-05 23:17:12.394311,2026-08-05 23:17:17.837482,0 days 00:00:05.443171,8,0.1913679190422173,8,0.00030811039527001973,RMSprop,8,110,COMPLETE
6,0.009523226879537106,2026-08-05 23:17:17.837852,2026-08-05 23:17:21.910194,0 days 00:00:04.072342,8,0.39072718066865514,13,0.0002470342164646759,Adam,16,59,COMPLETE
7,0.012103171087801456,2026-08-05 23:17:21.910709,2026-08-05 23:17:25.640364,0 days 00:00:03.729655,16,0.44573119991212473,13,0.00045171633198592666,RMSprop,8,87,COMPLETE
8,0.014544039964675903,2026-08-05 23:17:25.640724,2026-08-05 23:17:30.616840,0 days 00:00:04.976116,16,0.3861583941804839,8,0.0002517715134808591,RMSprop,16,150,COMPLETE
9,0.008077404461801052,2026-08-05 23:17:30.617254,2026-08-05 23:17:34.429921,0 days 00:00:03.812667,8,0.3071015883539268,8,0.00044377963008677957,Adam,32,64,COMPLETE
10,0.009336519986391068,2026-08-05 23:17:34.430310,2026-08-05 23:17:37.438377,0 days 00:00:03.008067,8,0.22610581892007783,4,0.000999992889797815,Adam,16,69,COMPLETE
11,0.006407460197806358,2026-08-05 23:17:37.438730,2026-08-05 23:17:44.679559,0 days 00:00:07.240829,8,0.20502551725745,8,0.0005239010943703641,RMSprop,8,150,COMPLETE
