Search,Sampler Seed,Best Trial,Validation MSE,Lookback,Units,Dropout,Learning Rate,Batch,Optimizer,Epochs
1,20042,37,0.005022379104048014,13,32,0.4202670286598864,0.0008714742253665969,16,RMSprop,44
2,20142,58,0.0040360488928854465,13,8,0.4309002219672128,0.0009961465758712622,8,RMSprop,62
3,20242,60,0.005618596449494362,8,32,0.40313942152184434,0.0007316015219897308,16,Adam,33
4,20342,20,0.005043079610913992,13,16,0.44796886602923286,0.0007627810276212595,8,Adam,31
5,20442,6,0.004661015700548887,13,8,0.37594090785080575,0.0005723412290973562,8,RMSprop,71
6,20542,9,0.005941764917224646,8,32,0.21419612188409676,0.0004099555681668041,8,Adam,75
7,20642,15,0.004276906605809927,13,32,0.44397404091720727,0.0004970049353580995,8,RMSprop,63
8,20742,24,0.004233972169458866,13,32,0.3294342511984875,0.0004183696456275408,16,RMSprop,68
9,20842,37,0.004419584292918444,13,8,0.3725029067282632,0.0002158761149411894,8,Adam,150
10,20942,46,0.004546054173260927,13,32,0.28895112700953474,0.00031908293145863287,8,Adam,144
11,21042,62,0.004112303722649813,13,8,0.39921413611360806,0.0009079349539255978,8,RMSprop,70
12,21142,73,0.003549918532371521,13,8,0.2561644708497662,0.00044279708755800895,16,RMSprop,96
13,21242,55,0.004608749412000179,13,8,0.37950304419422326,0.000387210643791381,8,RMSprop,62
14,21342,72,0.004945910535752773,13,8,0.25565356533008665,0.0002898000482230364,8,Adam,128
15,21442,58,0.0032598241232335567,13,8,0.3763341672114406,0.00047913366677272755,8,RMSprop,75
16,21542,2,0.005754669196903706,4,32,0.32225166597598937,0.000669639527030484,16,RMSprop,46
17,21642,44,0.004406978841871023,13,8,0.39257031043578894,0.0004193817426425914,8,Adam,109
18,21742,23,0.004884303081780672,13,16,0.35179695976565967,0.00025173906678339686,8,Adam,150
19,21842,26,0.004430362023413181,13,8,0.386984463454792,0.00035897325610599243,16,RMSprop,121
20,21942,74,0.004612855147570372,13,32,0.42786553069965916,0.0008521082312354018,8,RMSprop,48
