dropout_bin,mean,std,min,count
0.10-0.20,0.009356739604845643,0.006987929825724563,0.004476168658584356,10
0.20-0.30,0.00538600408683785,0.0024540030834884407,0.0026232304517179728,44
0.30-0.40,0.005371542721006431,0.003245833995978199,0.003098573535680771,19
0.40-0.50,0.004449298605322838,6.263285106522046e-05,0.004405010491609573,2
