dropout_bin,mean,std,min,count
0.10-0.20,0.016627965588122608,0.011520970352416855,0.006968768313527107,5
0.20-0.30,0.013277172835336791,0.007202625941833979,0.007278048433363438,9
0.30-0.40,0.011664264167294554,0.006557143529673528,0.0056666661985218525,23
0.40-0.50,0.010177718953376538,0.01233496433623994,0.0045493124052882195,38
