params_lookback,mean,std,min,count
4,0.04361320550046992,0.045849132728380135,0.005727171432226896,57
8,0.04866315765927235,0.028910056610787962,0.008777161128818989,9
13,0.051310164026088186,0.047301467356649765,0.01087429653853178,9
