date,weekly_avg_raw,index_0_100
2014-01-05,27.0,1.250405886182868
2014-01-12,23.0,1.065160569711332
2014-01-19,21.0,0.972537911475564
2014-01-26,27.0,1.250405886182868
2014-02-02,23.0,1.065160569711332
2014-02-09,25.0,1.1577832279471
2014-02-16,35.0,1.62089651912594
2014-02-23,31.0,1.435651202654404
2014-03-02,28.0,1.296717215300752
2014-03-09,28.0,1.296717215300752
2014-03-16,28.0,1.296717215300752
2014-03-23,27.0,1.250405886182868
2014-03-30,39.0,1.8061418355974759
2014-04-06,39.0,1.8061418355974759
2014-04-13,35.0,1.62089651912594
2014-04-20,36.0,1.667207848243824
2014-04-27,32.0,1.481962531772288
2014-05-04,63.0,2.917613734426692
2014-05-11,49.0,2.269255126776316
2014-05-18,45.0,2.08400981030478
2014-05-25,31.0,1.435651202654404
2014-06-01,33.0,1.528273860890172
2014-06-08,24.0,1.111471898829216
2014-06-15,19.0,0.879915253239796
2014-06-22,21.0,0.972537911475564
2014-06-29,16.0,0.740981265886144
2014-07-06,18.0,0.833603924121912
2014-07-13,18.0,0.833603924121912
2014-07-20,16.0,0.740981265886144
2014-07-27,17.0,0.787292595004028
2014-08-03,15.0,0.6946699367682599
2014-08-10,14.0,0.648358607650376
2014-08-17,15.0,0.6946699367682599
2014-08-24,19.0,0.879915253239796
2014-08-31,20.0,0.92622658235768
2014-09-07,26.0,1.204094557064984
2014-09-14,35.0,1.62089651912594
2014-09-21,76.0,3.519661012959184
2014-09-28,34.0,1.574585190008056
2014-10-05,29.0,1.343028544418636
2014-10-12,29.0,1.343028544418636
2014-10-19,30.0,1.3893398735365199
2014-10-26,31.0,1.435651202654404
2014-11-02,38.0,1.759830506479592
2014-11-09,38.0,1.759830506479592
2014-11-16,40.0,1.85245316471536
2014-11-23,25.0,1.1577832279471
2014-11-30,34.0,1.574585190008056
2014-12-07,35.0,1.62089651912594
2014-12-14,24.0,1.111471898829216
2014-12-21,10.0,0.46311329117884
2014-12-28,13.0,0.602047278532492
2015-01-04,21.0,0.972537911475564
2015-01-11,26.0,1.204094557064984
2015-01-18,31.0,1.435651202654404
2015-01-25,32.0,1.481962531772288
2015-02-01,28.0,1.296717215300752
2015-02-08,31.0,1.435651202654404
2015-02-15,30.0,1.3893398735365199
2015-02-22,34.0,1.574585190008056
2015-03-01,35.0,1.62089651912594
2015-03-08,38.0,1.759830506479592
2015-03-15,34.0,1.574585190008056
2015-03-22,38.0,1.759830506479592
2015-03-29,34.0,1.574585190008056
2015-04-05,39.0,1.8061418355974759
2015-04-12,40.0,1.85245316471536
2015-04-19,45.0,2.08400981030478
2015-04-26,46.0,2.130321139422664
2015-05-03,39.0,1.8061418355974759
2015-05-10,34.0,1.574585190008056
2015-05-17,38.0,1.759830506479592
2015-05-24,37.0,1.713519177361708
2015-05-31,31.0,1.435651202654404
2015-06-07,26.0,1.204094557064984
2015-06-14,36.0,1.667207848243824
2015-06-21,28.0,1.296717215300752
2015-06-28,20.0,0.92622658235768
2015-07-05,22.0,1.018849240593448
2015-07-12,20.0,0.92622658235768
2015-07-19,21.0,0.972537911475564
2015-07-26,21.0,0.972537911475564
2015-08-02,32.0,1.481962531772288
2015-08-09,20.0,0.92622658235768
2015-08-16,22.0,1.018849240593448
2015-08-23,22.0,1.018849240593448
2015-08-30,33.0,1.528273860890172
2015-09-06,31.0,1.435651202654404
2015-09-13,37.0,1.713519177361708
2015-09-20,43.0,1.991387152069012
2015-09-27,40.0,1.85245316471536
2015-10-04,36.0,1.667207848243824
