date,mpe_qwen,mpe_nemo,mpe_qwen_t03,mpe_nemo_t03
2010-01-17,0.0,0.0,0.0,0.0
2010-01-24,0.09090909090909091,-0.2727272727272727,0.09090909090909091,-0.18181818181818182
2010-01-31,0.034482758620689655,-0.06896551724137931,0.034482758620689655,-0.06896551724137931
2010-02-07,0.0,-0.125,0.0,-0.0625
2010-02-14,0.0,0.0,0.0,0.0
2010-02-21,-0.08333333333333333,-0.3333333333333333,-0.25,-0.3333333333333333
2010-02-28,0.0,-0.4444444444444444,0.0,-0.4444444444444444
2010-03-07,-0.037037037037037035,-0.14814814814814814,-0.037037037037037035,-0.18518518518518517
2010-03-14,-0.0625,-0.0625,-0.0625,-0.0625
2010-03-21,0.08333333333333333,-0.2777777777777778,0.027777777777777776,-0.2222222222222222
2010-03-28,0.058823529411764705,-0.17647058823529413,0.08823529411764706,-0.11764705882352941
2010-04-04,0.0,-0.08695652173913043,0.0,-0.043478260869565216
2010-04-11,0.08,-0.12,0.0,-0.12
2010-04-18,0.0,0.0,0.0,0.0
2010-04-25,-0.05555555555555555,-0.1111111111111111,0.0,-0.16666666666666666
2010-05-02,-0.034482758620689655,-0.10344827586206896,-0.034482758620689655,-0.10344827586206896
2010-05-09,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.0
2010-05-16,0.10256410256410256,-0.1794871794871795,0.1282051282051282,-0.20512820512820512
2010-05-23,0.13513513513513514,-0.05405405405405406,0.10810810810810811,-0.10810810810810811
2010-05-30,-0.125,-0.125,-0.125,-0.125
2010-06-06,0.07692307692307693,-0.07692307692307693,0.07692307692307693,-0.07692307692307693
2010-06-13,-0.02857142857142857,-0.17142857142857143,-0.02857142857142857,-0.11428571428571428
2010-06-20,-0.038461538461538464,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693
2010-06-27,0.029411764705882353,-0.23529411764705882,-0.08823529411764706,-0.14705882352941177
2010-07-04,0.14705882352941177,-0.058823529411764705,0.14705882352941177,-0.058823529411764705
2010-07-11,-0.08695652173913043,-0.13043478260869565,-0.08695652173913043,-0.17391304347826086
2010-07-18,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.08695652173913043
2010-07-25,0.3076923076923077,-0.07692307692307693,0.3076923076923077,-0.15384615384615385
2010-08-01,0.11627906976744186,-0.11627906976744186,0.11627906976744186,-0.023255813953488372
2010-08-08,0.14285714285714285,0.02857142857142857,0.14285714285714285,0.02857142857142857
2010-08-15,0.09375,-0.21875,0.0625,-0.140625
2010-08-22,0.07407407407407407,-0.2037037037037037,0.05555555555555555,-0.07407407407407407
2010-08-29,0.022727272727272728,-0.11363636363636363,0.022727272727272728,-0.045454545454545456
2010-09-05,-0.01639344262295082,-0.08196721311475409,-0.01639344262295082,-0.08196721311475409
2010-09-12,0.15,0.0,0.15,0.0
2010-09-19,0.0,-0.1,0.0,0.0
2010-09-26,0.09433962264150944,-0.16981132075471697,0.07547169811320754,-0.09433962264150944
2010-10-03,0.04878048780487805,-0.0975609756097561,0.04878048780487805,-0.14634146341463414
2010-10-10,-0.037037037037037035,-0.037037037037037035,0.1111111111111111,0.07407407407407407
2010-10-17,0.3684210526315789,-0.10526315789473684,0.3684210526315789,-0.10526315789473684
2010-10-24,0.07547169811320754,-0.20754716981132076,0.07547169811320754,-0.18867924528301888
2010-10-31,-0.08695652173913043,-0.21739130434782608,-0.08695652173913043,-0.21739130434782608
2010-11-07,0.2696629213483146,-0.21348314606741572,0.25842696629213485,-0.20224719101123595
2010-11-14,0.20512820512820512,-0.1282051282051282,0.10256410256410256,-0.10256410256410256
2010-11-21,0.0625,-0.15625,0.0625,-0.25
2010-11-28,0.16666666666666666,-0.20833333333333334,0.16666666666666666,-0.20833333333333334
2010-12-05,0.225,-0.05,0.225,0.025
2010-12-12,0.17142857142857143,-0.08571428571428572,0.14285714285714285,-0.05714285714285714
2010-12-19,-0.043478260869565216,-0.1956521739130435,-0.06521739130434782,-0.21739130434782608
2010-12-26,0.034482758620689655,-0.034482758620689655,0.034482758620689655,0.0
2011-01-02,0.0,-0.1388888888888889,0.0,-0.08333333333333333
2011-01-09,-0.07462686567164178,-0.19402985074626866,0.0,-0.16417910447761194
2011-01-16,-0.02564102564102564,-0.15384615384615385,-0.05128205128205128,-0.07692307692307693
2011-01-23,0.02631578947368421,-0.05263157894736842,0.02631578947368421,-0.05263157894736842
2011-01-30,0.04225352112676056,-0.11267605633802817,0.04225352112676056,-0.08450704225352113
2011-02-06,-0.05084745762711865,-0.13559322033898305,-0.05084745762711865,-0.0847457627118644
2011-02-13,0.08,-0.2,0.08,-0.2
2011-02-20,-0.045454545454545456,0.0,-0.045454545454545456,-0.045454545454545456
2011-02-27,0.16666666666666666,0.125,0.16666666666666666,0.08333333333333333
2011-03-06,0.028985507246376812,-0.11594202898550725,0.014492753623188406,-0.11594202898550725
2011-03-13,-0.05084745762711865,-0.15254237288135594,-0.05084745762711865,-0.0847457627118644
2011-03-20,-0.05263157894736842,-0.10526315789473684,-0.05263157894736842,-0.02631578947368421
2011-03-27,-0.03125,-0.1375,-0.03125,-0.0875
2011-04-03,-0.22857142857142856,-0.34285714285714286,-0.2571428571428571,-0.2571428571428571
2011-04-10,-0.022222222222222223,-0.044444444444444446,-0.022222222222222223,-0.044444444444444446
2011-04-17,-0.075,-0.15,-0.075,-0.125
2011-04-24,0.17777777777777778,-0.1111111111111111,0.17777777777777778,-0.1111111111111111
2011-05-01,-0.015873015873015872,-0.19047619047619047,0.015873015873015872,-0.1746031746031746
2011-05-08,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555
2011-05-15,-0.15,-0.1,-0.05,-0.1
2011-05-22,0.05405405405405406,-0.02702702702702703,0.0,-0.04054054054054054
2011-05-29,0.0,-0.05405405405405406,0.0,-0.02702702702702703
2011-06-05,0.15,-0.016666666666666666,0.21666666666666667,-0.06666666666666667
2011-06-12,0.10112359550561797,-0.15730337078651685,0.0898876404494382,-0.0898876404494382
2011-06-19,0.0,-0.12048192771084337,0.012048192771084338,-0.0963855421686747
2011-06-26,0.08280254777070063,-0.1592356687898089,0.05732484076433121,-0.10828025477707007
2011-07-03,0.01282051282051282,-0.10256410256410256,0.02564102564102564,-0.1282051282051282
2011-07-10,-0.027777777777777776,-0.09259259259259259,-0.018518518518518517,-0.027777777777777776
2011-07-17,0.018604651162790697,-0.17674418604651163,0.004651162790697674,-0.17674418604651163
2011-07-24,0.0,-0.13930348258706468,0.014925373134328358,-0.0945273631840796
2011-07-31,-0.03048780487804878,-0.2073170731707317,-0.024390243902439025,-0.13414634146341464
2011-08-07,-0.008298755186721992,-0.2074688796680498,-0.016597510373443983,-0.13278008298755187
2011-08-14,0.13382899628252787,-0.15985130111524162,0.11152416356877323,-0.17472118959107807
2011-08-21,0.0,-0.192,-0.004,-0.18
2011-08-28,-0.024691358024691357,-0.20987654320987653,-0.01646090534979424,-0.16872427983539096
2011-09-04,0.09523809523809523,-0.13756613756613756,0.1164021164021164,-0.1111111111111111
2011-09-11,0.10526315789473684,-0.17105263157894737,0.07236842105263158,-0.11842105263157894
2011-09-18,0.08974358974358974,-0.14743589743589744,0.08974358974358974,-0.09615384615384616
2011-09-25,0.07058823529411765,-0.25882352941176473,0.03137254901960784,-0.21176470588235294
2011-10-02,0.03821656050955414,-0.12101910828025478,0.07006369426751592,-0.08917197452229299
2011-10-09,0.005988023952095809,-0.11976047904191617,0.03592814371257485,-0.08383233532934131
2011-10-16,0.014285714285714285,-0.20714285714285716,0.02142857142857143,-0.15
2011-10-23,0.013605442176870748,-0.1564625850340136,0.006802721088435374,-0.10204081632653061
2011-10-30,0.05952380952380952,-0.06547619047619048,0.06547619047619048,-0.06547619047619048
2011-11-06,0.07222222222222222,-0.16111111111111112,0.05,-0.09444444444444444
2011-11-13,-0.037383177570093455,-0.22429906542056074,-0.028037383177570093,-0.17757009345794392
2011-11-20,-0.020618556701030927,-0.18556701030927836,-0.010309278350515464,-0.16494845360824742
2011-11-27,0.043859649122807015,-0.14035087719298245,0.02631578947368421,-0.14035087719298245
2011-12-04,0.04242424242424243,-0.14545454545454545,0.06060606060606061,-0.10303030303030303
2011-12-11,0.02027027027027027,-0.14864864864864866,0.04054054054054054,-0.1554054054054054
2011-12-18,0.02877697841726619,-0.1366906474820144,0.03597122302158273,-0.1510791366906475
2011-12-25,0.046511627906976744,-0.05813953488372093,0.046511627906976744,-0.05813953488372093
2012-01-01,0.0,-0.1323529411764706,0.0,-0.17647058823529413
2012-01-08,0.037037037037037035,-0.14814814814814814,0.04938271604938271,-0.13580246913580246
2012-01-15,-0.024793388429752067,-0.03305785123966942,-0.024793388429752067,-0.04132231404958678
2012-01-22,0.038461538461538464,-0.1282051282051282,0.05128205128205128,-0.07692307692307693
2012-01-29,0.2222222222222222,-0.09941520467836257,0.2222222222222222,-0.0935672514619883
2012-02-05,0.0,-0.14393939393939395,-0.022727272727272728,-0.06060606060606061
2012-02-12,0.028037383177570093,-0.04672897196261682,0.018691588785046728,-0.037383177570093455
2012-02-19,0.031007751937984496,-0.14728682170542637,0.05426356589147287,-0.10077519379844961
2012-02-26,0.0,-0.19491525423728814,0.00847457627118644,-0.11016949152542373
2012-03-04,0.029585798816568046,-0.08284023668639054,0.023668639053254437,-0.09467455621301775
2012-03-11,0.07086614173228346,-0.07086614173228346,0.09448818897637795,-0.05511811023622047
2012-03-18,0.14482758620689656,-0.2413793103448276,0.13793103448275862,-0.1310344827586207
2012-03-25,0.053763440860215055,-0.053763440860215055,0.06451612903225806,-0.043010752688172046
2012-04-01,0.0873015873015873,-0.047619047619047616,0.09523809523809523,-0.047619047619047616
2012-04-08,0.13709677419354838,-0.16129032258064516,0.08064516129032258,-0.0967741935483871
2012-04-15,0.10101010101010101,-0.020202020202020204,0.10101010101010101,-0.020202020202020204
2012-04-22,0.008695652173913044,-0.043478260869565216,0.008695652173913044,-0.043478260869565216
2012-04-29,0.007633587786259542,-0.09923664122137404,0.007633587786259542,-0.061068702290076333
2012-05-06,-0.022727272727272728,-0.1590909090909091,0.0,-0.14772727272727273
2012-05-13,0.061224489795918366,-0.10204081632653061,0.030612244897959183,-0.10204081632653061
2012-05-20,0.0457516339869281,-0.10457516339869281,0.0392156862745098,-0.0784313725490196
2012-05-27,0.024691358024691357,-0.17901234567901234,0.043209876543209874,-0.08641975308641975
2012-06-03,0.10236220472440945,-0.07874015748031496,0.1062992125984252,-0.09448818897637795
2012-06-10,0.061016949152542375,-0.1694915254237288,0.0711864406779661,-0.1423728813559322
2012-06-17,0.005050505050505051,-0.12121212121212122,-0.015151515151515152,-0.09595959595959595
2012-06-24,0.11923076923076924,-0.15384615384615385,0.12692307692307692,-0.15384615384615385
2012-07-01,0.12878787878787878,-0.11363636363636363,0.13636363636363635,-0.09848484848484848
2012-07-08,0.059322033898305086,-0.1016949152542373,0.05084745762711865,-0.09322033898305085
2012-07-15,0.11578947368421053,-0.25263157894736843,0.08421052631578947,-0.18947368421052632
2012-07-22,0.028846153846153848,-0.10576923076923077,0.028846153846153848,-0.125
2012-07-29,0.06796116504854369,-0.1262135922330097,0.06796116504854369,-0.1262135922330097
2012-08-05,-0.013605442176870748,-0.12244897959183673,0.04081632653061224,-0.21768707482993196
