fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold2_ens,,,,39.0,0.11281144294147925,0.0980505956282186,-1.163390582617866,,,,1.5665359353219555,0.11722320262695507,Ensemble,True
fold2_search10_ens,10.0,,,,0.08225760060073775,0.06338669753854854,-0.12204606049365752,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",,-0.1338420663357174,0.8935274623086655,Ensemble,True
fold2_search10_run1,10.0,1.0,RMSprop,44.0,0.1038704290986061,0.0787965059280395,-0.7891324226769434,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,1.0080595362672489,0.31342588151387285,,
fold2_search10_run10,10.0,10.0,RMSprop,44.0,0.1386649459600448,0.1246518567204475,-2.188540986698576,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,3.6778804483055167,0.00023518013715473352,,
fold2_search10_run2,10.0,2.0,RMSprop,44.0,0.1164159327745437,0.093509167432785,-1.247416216612709,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,1.7039093034246853,0.08839803265932544,,
fold2_search10_run3,10.0,3.0,RMSprop,44.0,0.115219697356224,0.0997509434819221,-1.201466754996328,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,1.815580461428211,0.06943475303364033,,
fold2_search10_run4,10.0,4.0,RMSprop,44.0,0.1029651015996933,0.082790695130825,-0.7580805376942379,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,1.008992207637233,0.3129783713096477,,
fold2_search10_run5,10.0,5.0,RMSprop,44.0,0.1137455999851226,0.0848405882716178,-1.145496764969348,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,1.4550236618879753,0.1456627109773967,,
fold2_search10_run6,10.0,6.0,RMSprop,44.0,0.1584718525409698,0.1279547065496444,-3.1645002166875074,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,2.741318716355908,0.006119311796810356,,
fold2_search10_run7,10.0,7.0,RMSprop,44.0,0.1317269057035446,0.1021412834525108,-1.877448733718058,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,2.3156960668576443,0.02057486931642849,,
fold2_search10_run8,10.0,8.0,RMSprop,44.0,0.2333316057920456,0.1908630281686782,-8.028295784876148,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,4.034499980027689,5.471869476703084e-05,,
fold2_search10_run9,10.0,9.0,RMSprop,44.0,0.0922063365578651,0.0722244009375572,-0.4098735076385693,0.0041491240262985,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.4021029529854661, 'lr': 0.000809035687167469, 'batch': 8}",26.0,0.42261440340682505,0.6725766161110396,,
fold2_search11_ens,11.0,,,,0.14000360460975608,0.12884770332175463,-2.3320158702295397,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",,3.6675535250665785,0.0002448822994702837,Ensemble,True
fold2_search11_run1,11.0,1.0,RMSprop,39.0,0.1038952395319938,0.0863062888383865,-0.8349319692328254,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,1.304634112384259,0.19201746679033693,,
fold2_search11_run10,11.0,10.0,RMSprop,39.0,0.1381990164518356,0.1151982843875885,-2.246673132117637,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,2.3187311417811074,0.020409618855155465,,
fold2_search11_run2,11.0,2.0,RMSprop,39.0,0.1139398664236068,0.0953276678919792,-1.206887150470016,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,1.564676266522783,0.11765883613445172,,
fold2_search11_run3,11.0,3.0,RMSprop,39.0,0.1370263993740081,0.1159237250685691,-2.1918113834843784,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,2.342518582930108,0.01915408010463482,,
fold2_search11_run4,11.0,4.0,RMSprop,39.0,0.1709463000297546,0.1504240483045578,-3.9676170797788224,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,4.533143868766798,5.811220518348037e-06,,
fold2_search11_run5,11.0,5.0,RMSprop,39.0,0.3431876003742218,0.3200198411941528,-19.021281073843216,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,9.204842506218005,0.0,,
fold2_search11_run6,11.0,6.0,RMSprop,39.0,0.1121451631188392,0.0979293063282966,-1.1379114891016116,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,1.5476000754296908,0.12171861325119382,,
fold2_search11_run7,11.0,7.0,RMSprop,39.0,0.2131045311689376,0.1838509738445282,-6.719940380863351,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,4.441306173433919,8.941446510757345e-06,,
fold2_search11_run8,11.0,8.0,RMSprop,39.0,0.1814210712909698,0.1634807586669922,-4.595051707591989,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,4.959601702146082,7.063785929517508e-07,,
fold2_search11_run9,11.0,9.0,RMSprop,39.0,0.1355067491531372,0.1110589057207107,-2.121407514149054,0.0049397288821637,"{'optimizer': 'RMSprop', 'lookback': 13, 'units': 16, 'dropout': 0.41114594951269523, 'lr': 0.000443244015950579, 'batch': 16}",77.0,2.264721288697992,0.02352978823574725,,
fold2_search12_ens,12.0,,,,0.14832215035389887,0.13488581554907408,-2.6481327821556917,0.0045493124052882,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 32, 'dropout': 0.4363467396693537, 'lr': 0.0007533072088683632, 'batch': 8}",,4.2953992377324175,1.7437922877450163e-05,Ensemble,True
fold2_search12_run1,12.0,1.0,RMSprop,44.0,0.0932416468858718,0.0730212703347206,-0.4417120371445395,0.0045493124052882,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 32, 'dropout': 0.4363467396693537, 'lr': 0.0007533072088683632, 'batch': 8}",32.0,0.4774132623779871,0.6330678720795337,,
fold2_search12_run10,12.0,10.0,RMSprop,44.0,0.1593647748231887,0.1405709683895111,-3.2115630006068496,0.0045493124052882,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 32, 'dropout': 0.4363467396693537, 'lr': 0.0007533072088683632, 'batch': 8}",32.0,5.023105407696881,5.084262193477684e-07,,
