fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold4_ens,,,,48.0,0.07050351117943046,0.05639228432687086,-0.24078584201500952,,,,2.527859704476018,0.011476019990570796,Ensemble,True
fold4_search10_ens,10.0,,,,0.07159997418605588,0.0562074875143325,-0.27967907550889426,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",,2.0035009472686487,0.04512354602226942,Ensemble,True
fold4_search10_run1,10.0,1.0,Adam,48.0,0.1034863144159317,0.0838860273361206,-1.6732601494926578,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,3.5951657918446065,0.00032418505909315165,,
fold4_search10_run10,10.0,10.0,Adam,48.0,0.086843691766262,0.0706075057387352,-0.8825732484846385,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,3.0797714391321303,0.0020715950422638407,,
fold4_search10_run2,10.0,2.0,Adam,48.0,0.0761255845427513,0.0610909052193164,-0.4465604192108066,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,2.656502337868007,0.007895590348734105,,
fold4_search10_run3,10.0,3.0,Adam,48.0,0.0814766809344291,0.0652095451951026,-0.6570742646344534,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,3.1780098332648055,0.001482897214903467,,
fold4_search10_run4,10.0,4.0,Adam,48.0,0.0791685879230499,0.0651404336094856,-0.5645202363608954,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,1.7884650297046285,0.07370101277198837,,
fold4_search10_run5,10.0,5.0,Adam,48.0,0.0794041603803634,0.0639612302184104,-0.5738447204140444,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,2.0977682795112345,0.03592561989992471,,
fold4_search10_run6,10.0,6.0,Adam,48.0,0.0911705121397972,0.0747853964567184,-1.0748377820765125,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,3.6197513210508743,0.00029488627908902387,,
fold4_search10_run7,10.0,7.0,Adam,48.0,0.0955818369984626,0.0737360790371894,-1.280479250861346,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,2.7558161354218296,0.005854589717954717,,
fold4_search10_run8,10.0,8.0,Adam,48.0,0.1127925366163253,0.0865467190742492,-2.175675061623342,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,3.3960947673724697,0.0006835468894710317,,
fold4_search10_run9,10.0,9.0,Adam,48.0,0.0862098336219787,0.0687702447175979,-0.855192443399539,0.0017364154336974,"{'optimizer': 'Adam', 'lookback': 13, 'units': 8, 'dropout': 0.1453215610747862, 'lr': 0.00044675642786693625, 'batch': 8}",67.0,2.800396667563622,0.005103984541223294,,
