date,mpe_index
2010-01-24,0.5
2010-01-31,0.09090909090909091
2010-02-07,0.0
2010-02-14,0.0
2010-02-21,-0.6
2010-02-28,0.0
2010-03-07,-0.25
2010-03-14,-0.2
2010-03-21,0.05
2010-03-28,0.2727272727272727
2010-04-04,0.0
2010-04-11,0.0
2010-04-25,0.0
2010-05-02,-0.07142857142857142
2010-05-09,0.4
2010-05-16,0.5
2010-05-23,0.3076923076923077
2010-05-30,-0.6666666666666666
2010-06-06,0.3333333333333333
2010-06-13,-0.3333333333333333
2010-06-20,-0.4
2010-06-27,-0.2
2010-07-04,0.7142857142857143
2010-07-11,-0.2857142857142857
2010-07-18,0.42857142857142855
2010-07-25,0.8888888888888888
2010-08-01,0.4166666666666667
2010-08-08,0.3333333333333333
2010-08-15,0.0851063829787234
2010-08-22,0.23076923076923078
2010-08-29,0.06666666666666667
2010-09-05,-0.1
2010-09-12,0.5
2010-09-19,0.0
2010-09-26,0.2
2010-10-03,0.16666666666666666
2010-10-10,0.375
2010-10-17,0.4666666666666667
2010-10-24,0.16
2010-10-31,-0.25
2010-11-07,0.359375
2010-11-14,0.26666666666666666
2010-11-21,0.1
2010-11-28,0.5714285714285714
2010-12-05,0.375
2010-12-12,0.35714285714285715
2010-12-19,-0.13043478260869565
2010-12-26,0.2
2011-01-02,0.0
2011-01-09,0.0
2011-01-16,-0.125
2011-01-23,0.07692307692307693
2011-01-30,0.15
2011-02-06,-0.15789473684210525
2011-02-13,0.16666666666666666
2011-02-20,-0.14285714285714285
2011-02-27,0.9146825396825162
2011-03-06,0.037037037037037035
2011-03-13,-0.375
2011-03-20,-0.15384615384615385
2011-03-27,-0.07692307692307693
2011-04-03,-0.4090909090909091
2011-04-10,-0.07692307692307693
2011-04-17,-0.23076923076923078
2011-04-24,0.47058823529411764
2011-05-01,0.02040816326530612
2011-05-08,-0.25
2011-05-15,-0.14285714285714285
2011-05-22,0.0
2011-05-29,0.0
2011-06-05,0.4642857142857143
2011-06-12,0.18181818181818182
2011-06-19,0.05
2011-06-26,0.13043478260869565
2011-07-03,0.06896551724137931
2011-07-10,-0.07142857142857142
2011-07-17,0.009708737864077669
2011-07-24,0.05357142857142857
2011-07-31,-0.08
2011-08-07,-0.04878048780487805
2011-08-14,0.234375
2011-08-21,-0.00980392156862745
2011-08-28,-0.03418803418803419
2011-09-04,0.275
2011-09-11,0.20754716981132076
2011-09-18,0.32558139534883723
2011-09-25,0.05673758865248227
2011-10-02,0.22448979591836735
2011-10-09,0.10344827586206896
2011-10-16,0.05454545454545454
2011-10-23,0.02631578947368421
2011-10-30,0.22916666666666666
2011-11-06,0.1267605633802817
2011-11-13,-0.12
2011-11-20,-0.029411764705882353
2011-11-27,0.08108108108108109
2011-12-04,0.18518518518518517
2011-12-11,0.13636363636363635
2011-12-18,0.08064516129032258
2011-12-25,0.12121212121212122
2012-01-01,0.0
2012-01-08,0.10256410256410256
2012-01-15,-0.057692307692307696
2012-01-22,0.18181818181818182
2012-01-29,0.3619047619047619
2012-02-05,-0.06521739130434782
2012-02-12,0.045454545454545456
2012-02-19,0.1206896551724138
2012-02-26,0.030303030303030304
2012-03-04,0.056338028169014086
2012-03-11,0.20689655172413793
2012-03-18,0.2247191011235955
2012-03-25,0.15384615384615385
2012-04-01,0.21818181818181817
2012-04-08,0.18518518518518517
2012-04-15,0.2222222222222222
2012-04-22,0.02
2012-04-29,0.012345679012345678
2012-05-06,0.0
2012-05-13,0.075
2012-05-20,0.15
2012-05-27,0.21212121212121213
2012-06-03,0.35064935064935066
2012-06-10,0.175
2012-06-17,-0.046153846153846156
2012-06-24,0.23741007194244604
2012-07-01,0.5
2012-07-08,0.15
2012-07-15,0.22857142857142856
2012-07-22,0.09090909090909091
2012-07-29,0.25
2012-08-05,0.08333333333333333
2012-08-12,0.18518518518518517
2012-08-19,0.20588235294117646
2012-08-26,0.25
2012-09-02,0.35064935064935066
2012-09-09,0.5121951219512195
2012-09-16,0.33544303797468356
2012-09-23,0.33962264150943394
2012-09-30,0.6086956521739131
2012-10-07,0.2857142857142857
2012-10-14,0.1
2012-10-21,0.23529411764705882
2012-10-28,0.21428571428571427
2012-11-04,0.23333333333333334
2012-11-11,0.2222222222222222
2012-11-18,0.07894736842105263
2012-11-25,0.0
2012-12-02,-0.17391304347826086
2012-12-09,0.09523809523809523
2012-12-16,0.17796610169491525
2012-12-23,0.043478260869565216
2012-12-30,0.07692307692307693
2013-01-06,0.10204081632653061
2013-01-13,0.125
2013-01-20,0.046511627906976744
2013-01-27,-0.08823529411764706
2013-02-03,0.1686746987951807
2013-02-10,0.09090909090909091
2013-02-17,0.07142857142857142
2013-02-24,0.016666666666666666
2013-03-03,0.12195121951219512
2013-03-10,0.1276595744680851
2013-03-17,0.030303030303030304
2013-03-24,0.12
2013-03-31,0.17708333333333334
2013-04-07,-0.05555555555555555
2013-04-14,0.19008264462809918
2013-04-21,0.16049382716049382
2013-04-28,0.24096385542168675
2013-05-05,0.16145833333333334
2013-05-12,0.35766423357664234
2013-05-19,0.06666666666666667
2013-05-26,0.11312217194570136
2013-06-02,0.028846153846153848
2013-06-09,0.10191082802547771
2013-06-16,0.08333333333333333
2013-06-23,-0.04310344827586207
2013-06-30,0.05853658536585366
2013-07-07,0.046511627906976744
2013-07-14,0.013333333333333334
2013-07-21,0.052884615384615384
2013-07-28,-0.042105263157894736
2013-08-04,0.047058823529411764
2013-08-11,0.02040816326530612
2013-08-18,-0.02564102564102564
2013-08-25,-0.05813953488372093
2013-09-01,0.058823529411764705
2013-09-08,0.11333333333333333
2013-09-15,0.05333333333333334
2013-09-22,0.1443850267379679
2013-09-29,0.014388489208633094
2013-10-06,0.022857142857142857
2013-10-13,0.10185185185185185
2013-10-20,0.17391304347826086
2013-10-27,0.21052631578947367
2013-11-03,0.04739336492890995
2013-11-10,0.1346153846153846
2013-11-17,0.2694300518134715
2013-11-24,-0.0421455938697318
2013-12-01,0.026785714285714284
2013-12-08,0.07719298245614035
2013-12-15,0.017777777777777778
2013-12-22,0.04597701149425287
2013-12-29,-0.10526315789473684
2014-01-05,0.16842105263157894
2014-01-12,0.037037037037037035
2014-01-19,-0.04597701149425287
2014-01-26,0.08
2014-02-02,-0.11764705882352941
2014-02-09,0.024875621890547265
