date,mpe_qwen_t03_all,mpe_qwen_t03_real,mpe_qwen_t03_dir
2010-01-17,0.0,,
2010-01-24,0.09090909090909091,0.5,1.0
2010-01-31,0.034482758620689655,0.09090909090909091,1.0
2010-02-07,0.0,0.0,
2010-02-14,0.0,0.0,
2010-02-21,-0.25,-0.6,-1.5
2010-02-28,0.0,0.0,0.0
2010-03-07,-0.037037037037037035,-0.25,-1.0
2010-03-14,-0.0625,-0.2,-1.0
2010-03-21,0.027777777777777776,0.05,0.2
2010-03-28,0.08823529411764706,0.2727272727272727,0.5
2010-04-04,0.0,0.0,
2010-04-11,0.0,0.0,
2010-04-18,0.0,,
2010-04-25,0.0,0.0,0.0
2010-05-02,-0.034482758620689655,-0.07142857142857142,-0.5
2010-05-09,0.09523809523809523,0.4,1.0
2010-05-16,0.1282051282051282,0.5,1.25
2010-05-23,0.10810810810810811,0.3076923076923077,0.8
2010-05-30,-0.125,-0.6666666666666666,-2.0
2010-06-06,0.07692307692307693,0.3333333333333333,1.0
2010-06-13,-0.02857142857142857,-0.3333333333333333,-1.0
2010-06-20,-0.07692307692307693,-0.4,-2.0
2010-06-27,-0.08823529411764706,-0.2,-0.5
2010-07-04,0.14705882352941177,0.7142857142857143,0.8333333333333334
2010-07-11,-0.08695652173913043,-0.2857142857142857,-0.6666666666666666
2010-07-18,0.13043478260869565,0.42857142857142855,1.0
2010-07-25,0.3076923076923077,0.8888888888888888,1.1428571428571428
2010-08-01,0.11627906976744186,0.4166666666666667,1.0
2010-08-08,0.14285714285714285,0.3333333333333333,1.25
2010-08-15,0.0625,0.0851063829787234,0.26666666666666666
2010-08-22,0.05555555555555555,0.23076923076923078,0.42857142857142855
2010-08-29,0.022727272727272728,0.06666666666666667,0.125
2010-09-05,-0.01639344262295082,-0.1,-0.3333333333333333
2010-09-12,0.15,0.5,1.5
2010-09-19,0.0,0.0,
2010-09-26,0.07547169811320754,0.2,0.4444444444444444
2010-10-03,0.04878048780487805,0.16666666666666666,0.2857142857142857
2010-10-10,0.1111111111111111,0.375,1.0
2010-10-17,0.3684210526315789,0.4666666666666667,1.1666666666666667
2010-10-24,0.07547169811320754,0.16,0.2857142857142857
2010-10-31,-0.08695652173913043,-0.25,-0.6666666666666666
2010-11-07,0.25842696629213485,0.359375,0.6764705882352942
2010-11-14,0.10256410256410256,0.26666666666666666,0.5
2010-11-21,0.0625,0.1,0.15384615384615385
2010-11-28,0.16666666666666666,0.5714285714285714,1.0
2010-12-05,0.225,0.375,1.2857142857142858
2010-12-12,0.14285714285714285,0.35714285714285715,1.0
2010-12-19,-0.06521739130434782,-0.13043478260869565,-0.3
2010-12-26,0.034482758620689655,0.2,1.0
2011-01-02,0.0,0.0,0.0
2011-01-09,0.0,0.0,0.0
2011-01-16,-0.05128205128205128,-0.125,-0.5
2011-01-23,0.02631578947368421,0.07692307692307693,0.3333333333333333
2011-01-30,0.04225352112676056,0.15,0.5
2011-02-06,-0.05084745762711865,-0.15789473684210525,-1.0
2011-02-13,0.08,0.16666666666666666,1.0
2011-02-20,-0.045454545454545456,-0.14285714285714285,-1.0
2011-02-27,0.16666666666666666,0.9146825396825162,2.0
2011-03-06,0.014492753623188406,0.037037037037037035,0.16666666666666666
2011-03-13,-0.05084745762711865,-0.375,-1.0
2011-03-20,-0.05263157894736842,-0.15384615384615385,-2.0
2011-03-27,-0.03125,-0.07692307692307693,-0.5
2011-04-03,-0.2571428571428571,-0.4090909090909091,-1.0
2011-04-10,-0.022222222222222223,-0.07692307692307693,-1.0
2011-04-17,-0.075,-0.23076923076923078,-0.75
2011-04-24,0.17777777777777778,0.47058823529411764,1.3333333333333333
2011-05-01,0.015873015873015872,0.02040816326530612,0.14285714285714285
2011-05-08,-0.05555555555555555,-0.25,-1.0
2011-05-15,-0.05,-0.14285714285714285,-0.3333333333333333
2011-05-22,0.0,0.0,0.0
2011-05-29,0.0,0.0,
2011-06-05,0.21666666666666667,0.4642857142857143,1.4444444444444444
2011-06-12,0.0898876404494382,0.18181818181818182,1.0
2011-06-19,0.012048192771084338,0.05,0.1
