date,weekly_avg_raw,index_0_100
2014-01-05,71.0,11.617612887764457
2014-01-12,71.0,11.617612887764457
2014-01-19,63.0,10.308586083509308
2014-01-26,80.0,13.090268042551502
2014-02-02,71.0,11.617612887764457
2014-02-09,69.0,11.29035618670067
2014-02-16,77.0,12.599382990955819
2014-02-23,84.0,13.744781444679075
2014-03-02,83.0,13.581153094147183
2014-03-09,73.0,11.944869588828245
2014-03-16,98.0,16.03557835212559
2014-03-23,79.0,12.926639692019608
2014-03-30,83.0,13.581153094147183
2014-04-06,84.0,13.744781444679075
2014-04-13,91.0,14.890179898402332
2014-04-20,86.0,14.072038145742864
2014-04-27,95.0,15.544693300529907
2014-05-04,94.0,15.381064949998013
2014-05-11,82.0,13.417524743615289
2014-05-18,72.0,11.781241238296351
2014-05-25,70.0,11.453984537232563
2014-06-01,71.0,11.617612887764457
2014-06-08,63.0,10.308586083509308
2014-06-15,70.0,11.453984537232563
2014-06-22,60.0,9.817701031913625
2014-06-29,62.0,10.144957732977414
2014-07-06,63.0,10.308586083509308
2014-07-13,64.0,10.4722144340412
2014-07-20,68.0,11.126727836168776
2014-07-27,66.0,10.799471135104989
2014-08-03,61.0,9.98132938244552
2014-08-10,58.0,9.490444330849838
2014-08-17,61.0,9.98132938244552
2014-08-24,60.0,9.817701031913625
2014-08-31,65.0,10.635842784573095
2014-09-07,73.0,11.944869588828245
2014-09-14,75.0,12.272126289892032
2014-09-21,69.0,11.29035618670067
2014-09-28,84.0,13.744781444679075
2014-10-05,75.0,12.272126289892032
2014-10-12,81.0,13.253896393083394
2014-10-19,85.0,13.90840979521097
2014-10-26,83.0,13.581153094147183
2014-11-02,83.0,13.581153094147183
2014-11-09,81.0,13.253896393083394
2014-11-16,86.0,14.072038145742864
2014-11-23,68.0,11.126727836168776
2014-11-30,85.0,13.90840979521097
2014-12-07,82.0,13.417524743615289
2014-12-14,76.0,12.435754640423927
2014-12-21,60.0,9.817701031913625
2014-12-28,56.0,9.163187629786052
2015-01-04,69.0,11.29035618670067
2015-01-11,77.0,12.599382990955819
2015-01-18,97.0,15.871950001593696
2015-01-25,80.0,13.090268042551502
2015-02-01,80.0,13.090268042551502
2015-02-08,82.0,13.417524743615289
2015-02-15,76.0,12.435754640423927
2015-02-22,91.0,14.890179898402332
2015-03-01,86.0,14.072038145742864
2015-03-08,81.0,13.253896393083394
2015-03-15,76.0,12.435754640423927
2015-03-22,83.0,13.581153094147183
2015-03-29,79.0,12.926639692019608
2015-04-05,82.0,13.417524743615289
2015-04-12,96.0,15.708321651061802
2015-04-19,92.0,15.053808248934226
2015-04-26,88.0,14.39929484680665
2015-05-03,92.0,15.053808248934226
2015-05-10,88.0,14.39929484680665
2015-05-17,77.0,12.599382990955819
2015-05-24,70.0,11.453984537232563
2015-05-31,67.0,10.963099485636882
2015-06-07,65.0,10.635842784573095
2015-06-14,67.0,10.963099485636882
2015-06-21,63.0,10.308586083509308
2015-06-28,66.0,10.799471135104989
2015-07-05,64.0,10.4722144340412
2015-07-12,61.0,9.98132938244552
2015-07-19,68.0,11.126727836168776
2015-07-26,64.0,10.4722144340412
2015-08-02,62.0,10.144957732977414
2015-08-09,65.0,10.635842784573095
2015-08-16,65.0,10.635842784573095
2015-08-23,65.0,10.635842784573095
2015-08-30,73.0,11.944869588828245
2015-09-06,77.0,12.599382990955819
2015-09-13,82.0,13.417524743615289
2015-09-20,76.0,12.435754640423927
2015-09-27,82.0,13.417524743615289
2015-10-04,80.0,13.090268042551502
2015-10-11,85.0,13.90840979521097
2015-10-18,83.0,13.581153094147183
2015-10-25,90.0,14.72655154787044
2015-11-01,83.0,13.581153094147183
2015-11-08,88.0,14.39929484680665
2015-11-15,94.0,15.381064949998013
2015-11-22,72.0,11.781241238296351
2015-11-29,100.0,16.362835053189375
2015-12-06,100.0,16.362835053189375
2015-12-13,98.0,16.03557835212559
2015-12-20,68.0,11.126727836168776
2015-12-27,66.0,10.799471135104989
2016-01-03,70.0,11.453984537232563
2016-01-10,75.0,12.272126289892032
2016-01-17,71.0,11.617612887764457
2016-01-24,78.0,12.763011341487713
2016-01-31,82.0,13.417524743615289
2016-02-07,86.0,14.072038145742864
2016-02-14,81.0,13.253896393083394
2016-02-21,94.0,15.381064949998013
2016-02-28,89.0,14.562923197338545
2016-03-06,80.0,13.090268042551502
2016-03-13,77.0,12.599382990955819
2016-03-20,76.0,12.435754640423927
2016-03-27,81.0,13.253896393083394
2016-04-03,94.0,15.381064949998013
2016-04-10,92.0,15.053808248934226
2016-04-17,96.0,15.708321651061802
2016-04-24,97.0,15.871950001593696
2016-05-01,95.0,15.544693300529907
2016-05-08,85.0,13.90840979521097
2016-05-15,76.0,12.435754640423927
2016-05-22,69.0,11.29035618670067
2016-05-29,59.0,9.654072681381733
2016-06-05,61.0,9.98132938244552
2016-06-12,57.0,9.326815980317944
2016-06-19,56.0,9.163187629786052
2016-06-26,57.0,9.326815980317944
2016-07-03,53.0,8.672302578190369
2016-07-10,56.0,9.163187629786052
2016-07-17,53.0,8.672302578190369
2016-07-24,54.0,8.835930928722263
2016-07-31,54.0,8.835930928722263
2016-08-07,53.0,8.672302578190369
2016-08-14,51.0,8.345045877126582
2016-08-21,55.0,8.999559279254157
2016-08-28,58.0,9.490444330849838
2016-09-04,59.0,9.654072681381733
2016-09-11,66.0,10.799471135104989
2016-09-18,70.0,11.453984537232563
2016-09-25,78.0,12.763011341487713
2016-10-02,77.0,12.599382990955819
2016-10-09,76.0,12.435754640423927
2016-10-16,85.0,13.90840979521097
2016-10-23,86.0,14.072038145742864
2016-10-30,85.0,13.90840979521097
2016-11-06,84.0,13.744781444679075
2016-11-13,94.0,15.381064949998013
2016-11-20,70.0,11.453984537232563
2016-11-27,97.0,15.871950001593696
2016-12-04,99.0,16.19920670265748
2016-12-11,94.0,15.381064949998013
2016-12-18,58.0,9.490444330849838
2016-12-25,50.0,8.181417526594688
2017-01-01,62.0,10.144957732977414
2017-01-08,73.0,11.944869588828245
2017-01-15,75.0,12.272126289892032
2017-01-22,82.0,13.417524743615289
2017-01-29,85.0,13.90840979521097
2017-02-05,90.0,14.72655154787044
2017-02-12,93.0,15.21743659946612
2017-02-19,87.0,14.235666496274758
2017-02-26,97.0,15.871950001593696
2017-03-05,92.0,15.053808248934226
2017-03-12,83.0,13.581153094147183
2017-03-19,87.0,14.235666496274758
2017-03-26,88.0,14.39929484680665
2017-04-02,88.0,14.39929484680665
2017-04-09,86.0,14.072038145742864
2017-04-16,91.0,14.890179898402332
2017-04-23,100.0,16.362835053189375
2017-04-30,96.0,15.708321651061802
2017-05-07,92.0,15.053808248934226
2017-05-14,70.0,11.453984537232563
2017-05-21,62.0,10.144957732977414
2017-05-28,63.0,10.308586083509308
2017-06-04,59.0,9.654072681381733
2017-06-11,61.0,9.98132938244552
2017-06-18,55.0,8.999559279254157
2017-06-25,56.0,9.163187629786052
2017-07-02,56.25,9.204094717419025
2017-07-09,60.0,9.817701031913625
2017-07-16,60.0,9.817701031913625
2017-07-23,58.75,9.613165593748759
2017-07-30,55.0,8.999559279254157
2017-08-06,56.25,9.204094717419025
2017-08-13,53.75,8.79502384108929
2017-08-20,52.5,8.590488402924423
2017-08-27,56.25,9.204094717419025
2017-09-03,56.25,9.204094717419025
2017-09-10,67.5,11.044913660902829
2017-09-17,75.0,12.272126289892032
2017-09-24,82.5,13.499338918881236
2017-10-01,81.25,13.294803480716368
2017-10-08,86.25,14.112945233375838
2017-10-15,91.25,14.931086986035305
2017-10-22,87.5,14.317480671540704
2017-10-29,88.75,14.522016109705572
2017-11-05,83.75,13.703874357046102
2017-11-12,92.5,15.135622424200173
2017-11-19,72.5,11.863055413562298
2017-11-26,96.25,15.749228738694775
2017-12-03,101.25,16.567370491354243
2017-12-10,98.75,16.15829961502451
2017-12-17,73.75,12.067590851727164
2017-12-24,61.25,10.022236470078493
2017-12-31,63.75,10.431307346408227
2018-01-07,77.5,12.681197166221766
2018-01-14,72.5,11.863055413562298
2018-01-21,87.5,14.317480671540704
2018-01-28,92.5,15.135622424200173
2018-02-04,113.75,18.612724873002914
2018-02-11,125.0,20.45354381648672
2018-02-18,90.0,14.72655154787044
2018-02-25,98.75,16.15829961502451
2018-03-04,93.75,15.340157862365041
2018-03-11,83.75,13.703874357046102
2018-03-18,88.75,14.522016109705572
2018-03-25,95.0,15.544693300529907
2018-04-01,92.5,15.135622424200173
2018-04-08,102.5,16.77190592951911
2018-04-15,97.5,15.953764176859641
2018-04-22,97.5,15.953764176859641
2018-04-29,98.75,16.15829961502451
2018-05-06,91.25,14.931086986035305
2018-05-13,85.0,13.90840979521097
2018-05-20,78.75,12.885732604386634
2018-05-27,68.75,11.249449099067697
2018-06-03,67.5,11.044913660902829
2018-06-10,70.0,11.453984537232563
2018-06-17,61.25,10.022236470078493
2018-06-24,60.0,9.817701031913625
2018-07-01,56.25,9.204094717419025
2018-07-08,63.75,10.431307346408227
2018-07-15,65.0,10.635842784573095
2018-07-22,71.25,11.65851997539743
2018-07-29,70.0,11.453984537232563
2018-08-05,65.0,10.635842784573095
2018-08-12,66.25,10.840378222737963
2018-08-19,70.0,11.453984537232563
2018-08-26,82.5,13.499338918881236
2018-09-02,77.5,12.681197166221766
2018-09-09,83.75,13.703874357046102
2018-09-16,82.5,13.499338918881236
2018-09-23,90.0,14.72655154787044
2018-09-30,96.25,15.749228738694775
2018-10-07,95.0,15.544693300529907
2018-10-14,90.0,14.72655154787044
2018-10-21,87.5,14.317480671540704
2018-10-28,97.5,15.953764176859641
2018-11-04,91.25,14.931086986035305
2018-11-11,92.5,15.135622424200173
2018-11-18,78.75,12.885732604386634
2018-11-25,102.5,16.77190592951911
2018-12-02,98.75,16.15829961502451
2018-12-09,98.75,16.15829961502451
2018-12-16,88.75,14.522016109705572
2018-12-23,60.0,9.817701031913625
2018-12-30,57.5,9.408630155583891
2019-01-06,78.36181265984655,12.822214150219962
2019-01-13,85.87595907928389,14.051741534487629
2019-01-20,82.65561061381074,13.52480122694434
2019-01-27,84.80250959079284,13.876094765306533
2019-02-03,89.09630754475704,14.578681842030916
2019-02-10,92.31665601023018,15.1056221495742
2019-02-17,92.31665601023018,15.1056221495742
2019-02-24,97.68390345268543,15.98385599547968
2019-03-03,95.53700447570333,15.632562457117487
2019-03-10,88.02285805626599,14.403035072849821
2019-03-17,93.39010549872123,15.281268918755295
2019-03-24,98.75735294117646,16.159502764660772
2019-03-31,97.68390345268543,15.98385599547968
2019-04-07,101.97770140664962,16.68644307220406
2019-04-14,91.24320652173913,14.929975380393104
2019-04-21,100.90425191815856,16.510796303022964
2019-04-28,105.19804987212277,17.21338337974735
2019-05-05,107.34494884910487,17.564676918109537
2019-05-12,91.24320652173913,14.929975380393104
2019-05-19,77.2883631713555,12.646567381038865
2019-05-26,70.84766624040921,11.592686765952294
2019-06-02,68.70076726342711,11.241393227590104
2019-06-09,68.70076726342711,11.241393227590104
2019-06-16,69.77421675191816,11.417039996771198
2019-06-23,65.48041879795396,10.714452920046817
2019-06-30,59.03972186700767,9.660572304960246
2019-07-07,69.77421675191816,11.417039996771198
2019-07-14,65.48041879795396,10.714452920046817
2019-07-21,67.62731777493606,11.065746458409008
2019-07-28,67.62731777493606,11.065746458409008
2019-08-04,59.03972186700767,9.660572304960246
2019-08-11,65.48041879795396,10.714452920046817
2019-08-18,69.77421675191816,11.417039996771198
2019-08-25,67.62731777493606,11.065746458409008
2019-09-01,65.48041879795396,10.714452920046817
2019-09-08,76.21491368286445,12.47092061185777
2019-09-15,89.09630754475704,14.578681842030916
2019-09-22,83.72906010230179,13.700447996125439
2019-09-29,88.02285805626599,14.403035072849821
2019-10-06,86.94940856777494,14.227388303668723
2019-10-13,89.09630754475704,14.578681842030916
2019-10-20,90.16975703324809,14.754328611212014
2019-10-27,91.24320652173913,14.929975380393104
2019-11-03,94.46355498721228,15.456915687936393
2019-11-10,92.31665601023018,15.1056221495742
2019-11-17,93.39010549872123,15.281268918755295
2019-11-24,81.58216112531969,13.349154457763246
2019-12-01,96.61045396419438,15.808209226298585
2019-12-08,96.61045396419438,15.808209226298585
2019-12-15,77.2883631713555,12.646567381038865
2019-12-22,64.40696930946291,10.538806150865721
2019-12-29,61.18662084398977,10.011865843322434
2020-01-05,72.99456521739131,11.943980304314485
2020-01-12,79.4352621483376,12.997860919401056
2020-01-19,81.58216112531969,13.349154457763246
2020-01-26,86.94940856777494,14.227388303668723
2020-02-02,86.94940856777494,14.227388303668723
2020-02-09,93.39010549872123,15.281268918755295
2020-02-16,92.31665601023018,15.1056221495742
2020-02-23,100.90425191815856,16.510796303022964
2020-03-01,94.46355498721228,15.456915687936393
2020-03-08,83.72906010230179,13.700447996125439
2020-03-15,74.06801470588235,12.119627073495579
2020-03-22,95.53700447570333,15.632562457117487
2020-03-29,93.39010549872123,15.281268918755295
2020-04-05,99.83080242966751,16.335149533841868
2020-04-12,95.53700447570333,15.632562457117487
2020-04-19,100.90425191815856,16.510796303022964
2020-04-26,98.75735294117646,16.159502764660772
2020-05-03,105.19804987212277,17.21338337974735
2020-05-10,91.24320652173913,14.929975380393104
2020-05-17,90.16975703324809,14.754328611212014
2020-05-24,74.06801470588235,12.119627073495579
2020-05-31,66.55386828644501,10.890099689227913
2020-06-07,74.06801470588235,12.119627073495579
2020-06-14,71.92111572890026,11.76833353513339
2020-06-21,72.99456521739131,11.943980304314485
2020-06-28,70.84766624040921,11.592686765952294
2020-07-05,76.05310695849631,12.444444444444445
2020-07-12,78.76928934987119,12.88888888888889
2020-07-19,81.48547174124604,13.333333333333332
2020-07-26,81.48547174124604,13.333333333333332
2020-08-02,81.48547174124604,13.333333333333332
2020-08-09,70.62074217574659,11.555555555555555
2020-08-16,70.62074217574659,11.555555555555555
2020-08-23,89.63401891537066,14.666666666666664
2020-08-30,86.91783652399579,14.222222222222221
2020-09-06,84.20165413262092,13.777777777777777
2020-09-13,89.63401891537066,14.666666666666664
2020-09-20,89.63401891537066,14.666666666666664
2020-09-27,86.91783652399579,14.222222222222221
2020-10-04,89.63401891537066,14.666666666666664
2020-10-11,84.20165413262092,13.777777777777777
2020-10-18,84.20165413262092,13.777777777777777
2020-10-25,84.20165413262092,13.777777777777777
2020-11-01,78.76928934987119,12.88888888888889
2020-11-08,86.91783652399579,14.222222222222221
2020-11-15,95.06638369812039,15.555555555555554
2020-11-22,78.76928934987119,12.88888888888889
2020-11-29,86.91783652399579,14.222222222222221
2020-12-06,105.93111326361986,17.333333333333332
2020-12-13,103.21493087224499,16.888888888888886
2020-12-20,73.33692456712144,11.999999999999998
2020-12-27,73.33692456712144,11.999999999999998
2021-01-03,81.48547174124604,13.333333333333332
2021-01-10,103.21493087224499,16.888888888888886
2021-01-17,100.49874848087013,16.444444444444443
2021-01-24,103.21493087224499,16.888888888888886
2021-01-31,100.49874848087013,16.444444444444443
2021-02-07,105.93111326361986,17.333333333333332
2021-02-14,114.07966043774448,18.666666666666668
2021-02-21,146.6738491342429,23.999999999999996
2021-02-28,138.5253019601183,22.666666666666668
2021-03-07,135.80911956874343,22.22222222222222
2021-03-14,119.51202522049421,19.555555555555557
2021-03-21,108.64729565499474,17.77777777777778
2021-03-28,105.93111326361986,17.333333333333332
2021-04-04,111.36347804636961,18.22222222222222
2021-04-11,122.22820761186908,20.0
2021-04-18,111.36347804636961,18.22222222222222
2021-04-25,122.22820761186908,20.0
2021-05-02,154.8223963083675,25.333333333333332
2021-05-09,252.60496239786275,41.33333333333333
2021-05-16,149.39003152561776,24.444444444444443
2021-05-23,135.80911956874343,22.22222222222222
2021-05-30,114.07966043774448,18.666666666666668
2021-06-06,157.53857869974237,25.77777777777778
2021-06-13,157.53857869974237,25.77777777777778
2021-06-20,111.36347804636961,18.22222222222222
2021-06-27,95.06638369812039,15.555555555555554
2021-07-04,92.35020130674553,15.11111111111111
2021-07-11,146.6738491342429,23.999999999999996
2021-07-18,116.79584282911934,19.11111111111111
2021-07-25,105.93111326361986,17.333333333333332
2021-08-01,89.63401891537066,14.666666666666664
2021-08-08,108.64729565499474,17.77777777777778
2021-08-15,97.78256608949526,16.0
2021-08-22,97.78256608949526,16.0
2021-08-29,89.63401891537066,14.666666666666664
2021-09-05,95.06638369812039,15.555555555555554
2021-09-12,119.51202522049421,19.555555555555557
2021-09-19,108.64729565499474,17.77777777777778
2021-09-26,122.22820761186908,20.0
2021-10-03,124.94439000324394,20.444444444444443
2021-10-10,168.40330826524183,27.555555555555554
2021-10-17,160.25476109111725,26.222222222222225
2021-10-24,165.68712587386696,27.11111111111111
